Ticker,Name,Sector,Start_Price,End_Price,Return%,Daily_Vol%,Annual_Vol%,Max_Drawdown%,Sharpe
NVDA,NVIDIA,AI,122.97,219.44,78.45,2.14,33.92,-20.22,1.89
MSFT,Microsoft,AI,445.85,412.66,-7.44,1.48,23.57,-33.91,-0.21
GOOGL,Google,AI,157.91,388.64,146.11,1.83,29.0,-20.37,3.28
META,Meta,AI,637.44,598.86,-6.05,2.2,34.91,-33.3,-0.01
AMZN,Amazon,AI,208.64,268.99,28.93,1.87,29.63,-21.74,1.01
CRM,Salesforce,AI,286.68,177.49,-38.09,2.19,34.74,-42.92,-1.22
PLTR,Palantir,AI,118.46,136.89,15.56,3.2,50.81,-38.19,0.54
AI,C3.ai,AI,24.2,9.48,-60.83,4.26,67.6,-73.39,-1.05
SNOW,Snowflake,AI,180.54,151.5,-16.09,3.35,53.16,-56.3,-0.07
IBM,IBM,AI,247.36,223.55,-9.63,2.09,33.1,-28.69,-0.14
SMCI,Super Micro Computer,AI,33.52,33.52,0.0,5.05,80.09,-66.18,0.41
ORCL,Oracle,AI,155.66,193.84,24.53,3.92,62.27,-58.25,0.64
AMD,AMD,Chip,108.12,458.79,324.33,4.04,64.11,-27.76,2.59
INTC,Intel,Chip,22.18,129.44,483.59,4.47,70.88,-24.17,2.86
TSM,TSMC,Chip,184.69,404.54,119.04,2.21,35.1,-18.14,2.43
AVGO,Broadcom,Chip,219.8,428.43,94.92,2.67,42.36,-28.67,1.8
QCOM,Qualcomm,Chip,148.64,237.53,59.8,2.5,39.71,-33.13,1.38
TXN,Texas Instruments,Chip,182.17,297.76,63.45,2.41,38.34,-29.57,1.48
MU,Micron,Chip,92.07,795.33,763.83,3.92,62.22,-30.28,3.81
MRVL,Marvell,Chip,64.33,170.84,165.57,3.62,57.4,-26.37,2.0
ARM,Arm Holdings,Chip,124.81,212.65,70.38,3.65,57.9,-41.47,1.21
ASML,ASML,Chip,744.37,1565.81,110.35,2.49,39.45,-17.85,2.1
TSLA,Tesla,NewEnergy,318.38,445.0,39.77,2.95,46.86,-29.93,0.96
ENPH,Enphase Energy,NewEnergy,47.94,37.65,-21.46,5.06,80.34,-48.17,0.09
SEDG,SolarEdge,NewEnergy,19.16,41.79,118.11,6.48,102.9,-37.26,1.29
FSLR,First Solar,NewEnergy,156.21,233.27,49.33,3.79,60.13,-35.1,0.97
RUN,Sunrun,NewEnergy,10.96,14.47,32.03,7.15,113.46,-55.02,0.86
PLUG,Plug Power,NewEnergy,0.9,3.52,291.11,7.11,112.81,-56.66,1.75
BE,Bloom Energy,NewEnergy,18.91,283.92,1401.43,6.67,105.89,-45.94,3.11
NEE,NextEra Energy,NewEnergy,67.68,94.84,40.13,1.55,24.59,-10.74,1.51
RIVN,Rivian,NewEnergy,14.64,14.08,-3.83,3.95,62.78,-38.84,0.23
LCID,Lucid,NewEnergy,26.2,6.03,-76.98,4.89,77.62,-81.6,-1.53
NIO,NIO,NewEnergy,4.2,6.07,44.52,3.85,61.13,-43.73,0.91
LI,Li Auto,NewEnergy,28.38,18.87,-33.51,2.39,37.9,-50.53,-0.9
XPEV,XPeng,NewEnergy,21.12,16.15,-23.53,3.58,56.9,-44.6,-0.19
^GSPC,SP500,Index,5844.19,7412.84,26.84,0.76,12.09,-9.1,2.04
^IXIC,NASDAQ,Index,18708.34,26274.12,40.44,1.03,16.37,-13.21,2.17
^DJI,DowJones,Index,42410.1,49704.47,17.2,0.77,12.29,-10.01,1.36
^RUT,Russell2000,Index,2092.2,2870.64,37.21,1.21,19.13,-11.21,1.76
^VIX,VIX,Index,18.39,18.38,-0.05,7.46,118.39,-49.02,0.58
^SOX,PHLX_Semiconductor,Index,4780.93,12081.04,152.69,2.06,32.72,-15.65,3.02
