Ticker,Name,Sector,Month,Return%
NVDA,NVIDIA,AI,2025-06,16.92
NVDA,NVIDIA,AI,2025-07,12.59
NVDA,NVIDIA,AI,2025-08,-2.07
NVDA,NVIDIA,AI,2025-09,7.13
NVDA,NVIDIA,AI,2025-10,8.53
NVDA,NVIDIA,AI,2025-11,-12.59
NVDA,NVIDIA,AI,2025-12,5.37
NVDA,NVIDIA,AI,2026-01,2.48
NVDA,NVIDIA,AI,2026-02,-7.29
NVDA,NVIDIA,AI,2026-03,-1.57
NVDA,NVIDIA,AI,2026-04,14.43
NVDA,NVIDIA,AI,2026-05,9.96
MSFT,Microsoft,AI,2025-06,8.05
MSFT,Microsoft,AI,2025-07,7.26
MSFT,Microsoft,AI,2025-08,-4.87
MSFT,Microsoft,AI,2025-09,2.22
MSFT,Microsoft,AI,2025-10,-0.03
MSFT,Microsoft,AI,2025-11,-4.81
MSFT,Microsoft,AI,2025-12,-1.71
MSFT,Microsoft,AI,2026-01,-11.03
MSFT,Microsoft,AI,2026-02,-8.52
MSFT,Microsoft,AI,2026-03,-5.75
MSFT,Microsoft,AI,2026-04,10.16
MSFT,Microsoft,AI,2026-05,1.2
GOOGL,Google,AI,2025-06,2.73
GOOGL,Google,AI,2025-07,8.89
GOOGL,Google,AI,2025-08,10.95
GOOGL,Google,AI,2025-09,14.28
GOOGL,Google,AI,2025-10,15.67
GOOGL,Google,AI,2025-11,13.87
GOOGL,Google,AI,2025-12,-2.18
GOOGL,Google,AI,2026-01,7.99
GOOGL,Google,AI,2026-02,-7.76
GOOGL,Google,AI,2026-03,-7.7
GOOGL,Google,AI,2026-04,33.82
GOOGL,Google,AI,2026-05,1.0
META,Meta,AI,2025-06,14.08
META,Meta,AI,2025-07,4.79
META,Meta,AI,2025-08,-4.49
META,Meta,AI,2025-09,-0.52
META,Meta,AI,2025-10,-11.71
META,Meta,AI,2025-11,-0.06
META,Meta,AI,2025-12,1.96
META,Meta,AI,2026-01,8.55
META,Meta,AI,2026-02,-9.53
META,Meta,AI,2026-03,-11.66
META,Meta,AI,2026-04,6.95
META,Meta,AI,2026-05,-2.13
AMZN,Amazon,AI,2025-06,7.01
AMZN,Amazon,AI,2025-07,6.71
AMZN,Amazon,AI,2025-08,-2.18
AMZN,Amazon,AI,2025-09,-4.12
AMZN,Amazon,AI,2025-10,11.23
AMZN,Amazon,AI,2025-11,-4.5
AMZN,Amazon,AI,2025-12,-1.03
AMZN,Amazon,AI,2026-01,3.67
AMZN,Amazon,AI,2026-02,-12.24
AMZN,Amazon,AI,2026-03,-0.82
AMZN,Amazon,AI,2026-04,27.27
AMZN,Amazon,AI,2026-05,1.48
CRM,Salesforce,AI,2025-06,2.92
CRM,Salesforce,AI,2025-07,-5.27
CRM,Salesforce,AI,2025-08,-0.8
CRM,Salesforce,AI,2025-09,-7.35
CRM,Salesforce,AI,2025-10,9.88
CRM,Salesforce,AI,2025-11,-11.47
CRM,Salesforce,AI,2025-12,15.1
CRM,Salesforce,AI,2026-01,-19.86
CRM,Salesforce,AI,2026-02,-8.25
