Ticker,Name,Sector,Annual_Return%,Annual_Vol%,Max_Drawdown%,Sharpe
NVDA,NVIDIA,AI,78.45,33.92,-20.22,1.89
MSFT,Microsoft,AI,-7.44,23.57,-33.91,-0.21
GOOGL,Google,AI,146.11,29.0,-20.37,3.28
META,Meta,AI,-6.05,34.91,-33.3,-0.01
AMZN,Amazon,AI,28.93,29.63,-21.74,1.01
CRM,Salesforce,AI,-38.09,34.74,-42.92,-1.22
PLTR,Palantir,AI,15.56,50.81,-38.19,0.54
AI,C3.ai,AI,-60.83,67.6,-73.39,-1.05
SNOW,Snowflake,AI,-16.09,53.16,-56.3,-0.07
IBM,IBM,AI,-9.63,33.1,-28.69,-0.14
SMCI,Super Micro Computer,AI,0.0,80.09,-66.18,0.41
ORCL,Oracle,AI,24.53,62.27,-58.25,0.64
AMD,AMD,Chip,324.33,64.11,-27.76,2.59
INTC,Intel,Chip,483.59,70.88,-24.17,2.86
TSM,TSMC,Chip,119.04,35.1,-18.14,2.43
AVGO,Broadcom,Chip,94.92,42.36,-28.67,1.8
QCOM,Qualcomm,Chip,59.8,39.71,-33.13,1.38
TXN,Texas Instruments,Chip,63.45,38.34,-29.57,1.48
MU,Micron,Chip,763.83,62.22,-30.28,3.81
MRVL,Marvell,Chip,165.57,57.4,-26.37,2.0
ARM,Arm Holdings,Chip,70.38,57.9,-41.47,1.21
ASML,ASML,Chip,110.35,39.45,-17.85,2.1
