Ticker,Name,Sector,Beta,Corr_SP500,Alpha%,Annual_Return%
NVDA,NVIDIA,AI,1.76,0.6286,20.59,78.45
MSFT,Microsoft,AI,0.86,0.4424,-26.29,-7.44
GOOGL,Google,AI,1.29,0.5364,63.28,146.11
META,Meta,AI,1.47,0.5097,-36.59,-6.05
AMZN,Amazon,AI,1.42,0.5806,-5.16,28.93
CRM,Salesforce,AI,0.69,0.2417,-59.37,-38.09
PLTR,Palantir,AI,1.82,0.4326,-17.34,15.56
AI,C3.ai,AI,2.64,0.4726,-136.23,-60.83
SNOW,Snowflake,AI,1.34,0.3037,-36.75,-16.09
IBM,IBM,AI,1.02,0.3738,-29.9,-9.63
SMCI,Super Micro Computer,AI,3.1,0.4679,-43.5,0.0
ORCL,Oracle,AI,1.64,0.3193,-0.49,24.53
AMD,AMD,Chip,2.65,0.499,100.65,324.33
INTC,Intel,Chip,2.37,0.4035,144.15,483.59
TSM,TSMC,Chip,1.91,0.658,38.07,119.04
AVGO,Broadcom,Chip,1.98,0.5642,27.4,94.92
QCOM,Qualcomm,Chip,1.65,0.5037,14.08,59.8
TXN,Texas Instruments,Chip,1.0,0.3159,31.98,63.45
MU,Micron,Chip,2.63,0.5117,172.25,763.83
MRVL,Marvell,Chip,2.26,0.4753,59.26,165.57
ARM,Arm Holdings,Chip,2.57,0.5374,6.61,70.38
ASML,ASML,Chip,1.99,0.6101,33.6,110.35
