Ticker,Name,Sector,Avg_Lead_Corr,Avg_Follow_Corr,Lead_Ratio,Strongest_Leads,Lead_Corr,Strongest_Follows,Follow_Corr
NVDA,NVIDIA,AI,0.0793,0.038,2.09,ASML,-0.1788,TXN,0.0912
MSFT,Microsoft,AI,0.0581,0.0642,0.9,ARM,-0.1122,NVDA,0.1387
GOOGL,Google,AI,0.0315,0.0308,1.02,AMZN,0.1307,ASML,-0.1045
META,Meta,AI,0.0523,0.0352,1.49,AMZN,-0.135,TXN,0.1085
AMZN,Amazon,AI,0.0589,0.0496,1.19,AI,-0.1483,META,-0.135
CRM,Salesforce,AI,0.0567,0.0387,1.47,INTC,-0.2068,SNOW,-0.0819
PLTR,Palantir,AI,0.0696,0.0404,1.73,TSM,-0.1546,IBM,0.1451
AI,C3.ai,AI,0.0541,0.0767,0.71,QCOM,-0.0964,CRM,-0.1542
SNOW,Snowflake,AI,0.0755,0.051,1.48,TSM,-0.2053,TXN,-0.1628
IBM,IBM,AI,0.0541,0.0341,1.59,PLTR,0.1451,TSM,-0.0857
SMCI,Super Micro Computer,AI,0.0662,0.0312,2.12,TSM,-0.161,SNOW,-0.1192
ORCL,Oracle,AI,0.0435,0.033,1.32,INTC,-0.1626,ASML,0.0666
AMD,AMD,Chip,0.059,0.0456,1.29,ASML,-0.1653,PLTR,-0.1221
INTC,Intel,Chip,0.0384,0.0901,0.43,NVDA,0.0776,CRM,-0.2068
TSM,TSMC,Chip,0.0462,0.0896,0.52,ASML,-0.0866,SNOW,-0.2053
AVGO,Broadcom,Chip,0.0418,0.0442,0.95,INTC,-0.095,SNOW,-0.124
QCOM,Qualcomm,Chip,0.0391,0.0509,0.77,AI,-0.1118,TXN,0.1067
TXN,Texas Instruments,Chip,0.0675,0.0268,2.52,INTC,0.2028,MSFT,0.0964
MU,Micron,Chip,0.0413,0.0509,0.81,TSM,-0.1489,NVDA,-0.1043
MRVL,Marvell,Chip,0.0312,0.0693,0.45,MSFT,0.0898,SNOW,-0.1388
ARM,Arm Holdings,Chip,0.0457,0.0897,0.51,SNOW,0.1157,SNOW,-0.1647
ASML,ASML,Chip,0.047,0.0771,0.61,GOOGL,-0.1045,NVDA,-0.1788
