Ticker,Name,Sector,Ann_Return%,Ann_Vol%,Max_DD%,VaR_95_Hist%,VaR_99_Hist%,VaR_95_Param%,VaR_99_Param%,Sharpe,Sortino,Calmar,Beta,Treynor
NVDA,NVIDIA,AI,64.15,33.92,-20.22,-3.37,-4.52,-3.26,-4.72,1.74,2.85,3.17,1.76,0.34
MSFT,Microsoft,AI,-4.99,23.57,-33.91,-2.46,-3.95,-2.46,-3.47,-0.42,-0.5,-0.15,0.86,-0.12
GOOGL,Google,AI,95.06,29.0,-20.37,-2.32,-3.33,-2.63,-3.87,3.11,6.43,4.67,1.29,0.7
META,Meta,AI,-0.23,34.91,-33.3,-2.7,-6.01,-3.62,-5.12,-0.15,-0.21,-0.01,1.47,-0.04
AMZN,Amazon,AI,29.99,29.63,-21.74,-2.56,-4.72,-2.95,-4.22,0.84,1.25,1.38,1.42,0.18
CRM,Salesforce,AI,-42.21,34.74,-42.92,-3.62,-6.54,-3.77,-5.26,-1.36,-1.8,-0.98,0.69,-0.68
PLTR,Palantir,AI,27.57,50.81,-38.19,-6.05,-8.66,-5.16,-7.34,0.44,0.6,0.72,1.82,0.12
AI,C3.ai,AI,-70.95,67.6,-73.39,-5.63,-10.52,-7.29,-10.19,-1.12,-1.48,-0.97,2.64,-0.29
SNOW,Snowflake,AI,-3.76,53.16,-56.3,-4.87,-8.9,-5.52,-7.8,-0.16,-0.23,-0.07,1.34,-0.07
IBM,IBM,AI,-4.63,33.1,-28.69,-2.84,-7.07,-3.45,-4.87,-0.29,-0.33,-0.16,1.02,-0.09
SMCI,Super Micro Computer,AI,33.07,80.09,-66.18,-6.4,-10.57,-8.17,-11.6,0.35,0.47,0.5,3.1,0.09
ORCL,Oracle,AI,40.13,62.27,-58.25,-5.41,-6.81,-6.29,-8.96,0.56,1.13,0.69,1.64,0.21
AMD,AMD,Chip,166.01,64.11,-27.76,-4.24,-7.61,-5.98,-8.73,2.51,4.38,5.98,2.65,0.61
INTC,Intel,Chip,202.59,70.88,-24.17,-5.13,-7.23,-6.54,-9.58,2.79,5.34,8.38,2.37,0.84
TSM,TSMC,Chip,85.26,35.1,-18.14,-3.11,-4.75,-3.3,-4.8,2.29,3.93,4.7,1.91,0.42
AVGO,Broadcom,Chip,76.23,42.36,-28.67,-3.84,-5.51,-4.09,-5.9,1.68,2.67,2.66,1.98,0.36
QCOM,Qualcomm,Chip,54.95,39.71,-33.13,-2.62,-6.11,-3.9,-5.6,1.26,2.12,1.66,1.65,0.3
TXN,Texas Instruments,Chip,56.72,38.34,-29.57,-2.68,-4.33,-3.75,-5.39,1.35,2.1,1.92,1.0,0.52
MU,Micron,Chip,237.31,62.22,-30.28,-4.8,-8.79,-5.51,-8.18,3.73,6.69,7.84,2.63,0.88
MRVL,Marvell,Chip,115.0,57.4,-26.37,-4.17,-7.21,-5.49,-7.95,1.92,2.98,4.36,2.26,0.49
ARM,Arm Holdings,Chip,70.18,57.9,-41.47,-4.98,-8.69,-5.72,-8.21,1.13,1.85,1.69,2.57,0.25
ASML,ASML,Chip,82.78,39.45,-17.85,-3.72,-5.57,-3.76,-5.45,1.97,3.36,4.64,1.99,0.39
TSLA,Tesla,NewEnergy,44.78,46.86,-29.93,-4.29,-6.72,-4.68,-6.69,0.85,1.28,1.5,2.06,0.19
ENPH,Enphase Energy,NewEnergy,7.17,80.34,-48.17,-5.99,-14.67,-8.3,-11.74,0.03,0.04,0.15,1.94,0.01
SEDG,SolarEdge,NewEnergy,132.46,102.9,-37.26,-8.63,-13.37,-10.14,-14.55,1.24,1.79,3.55,2.26,0.56
FSLR,First Solar,NewEnergy,58.31,60.13,-35.1,-4.3,-10.24,-6.0,-8.58,0.89,1.3,1.66,1.25,0.43
RUN,Sunrun,NewEnergy,97.22,113.46,-55.02,-7.56,-25.8,-11.37,-16.24,0.81,1.0,1.77,2.68,0.34
PLUG,Plug Power,NewEnergy,197.19,112.81,-56.66,-8.22,-10.7,-10.91,-15.75,1.7,4.0,3.48,2.67,0.72
BE,Bloom Energy,NewEnergy,328.87,105.89,-45.94,-9.78,-13.58,-9.67,-14.21,3.06,5.24,7.16,3.74,0.87
NEE,NextEra Energy,NewEnergy,37.05,24.59,-10.74,-2.19,-3.59,-2.4,-3.46,1.3,1.8,3.45,0.23,1.37
RIVN,Rivian,NewEnergy,14.67,62.78,-38.84,-5.19,-7.66,-6.45,-9.14,0.15,0.33,0.38,1.61,0.06
LCID,Lucid,NewEnergy,-119.07,77.62,-81.6,-7.5,-9.17,-8.52,-11.85,-1.6,-3.1,-1.46,2.04,-0.61
NIO,NIO,NewEnergy,55.49,61.13,-43.73,-5.34,-8.56,-6.11,-8.74,0.83,1.56,1.27,1.19,0.42
LI,Li Auto,NewEnergy,-33.96,37.9,-50.53,-3.65,-5.53,-4.06,-5.69,-1.03,-1.71,-0.67,0.85,-0.46
XPEV,XPeng,NewEnergy,-11.06,56.9,-44.6,-6.12,-8.27,-5.94,-8.38,-0.28,-0.47,-0.25,1.3,-0.12
