Date,Close,High,Low,Open,Volume
2025-05-12,24.2,24.73,23.77,24.66,3749900
2025-05-13,23.99,24.38,23.77,24.37,4748300
2025-05-14,23.88,24.69,23.68,24.13,4841800
2025-05-15,23.41,23.7,22.95,23.49,3349700
2025-05-16,24.16,24.26,23.33,23.58,3559900
2025-05-19,23.18,23.6,22.86,23.42,4297000
2025-05-20,23.15,23.31,22.6,23.07,4655100
2025-05-21,21.87,23.25,21.75,22.75,4153700
2025-05-22,22.73,23.18,21.83,21.98,5149600
2025-05-23,22.72,23.24,22.1,22.11,4022700
2025-05-27,23.92,24.43,23.26,23.47,7319800
2025-05-28,23.02,24.08,23.01,23.88,13115500
2025-05-29,27.8,30.24,26.21,26.59,54927100
2025-05-30,26.59,28.08,26.19,27.5,12003600
2025-06-02,24.97,26.43,24.86,26.31,10081300
2025-06-03,25.67,26.08,24.71,25.43,8179600
2025-06-04,26.26,26.34,25.02,25.85,6924400
2025-06-05,25.34,26.78,25.09,26.39,6770700
2025-06-06,25.95,26.63,25.66,25.85,6027300
2025-06-09,25.86,26.68,25.8,26.2,5144300
2025-06-10,25.61,26.52,25.56,25.86,4397700
2025-06-11,24.65,26.0,24.57,26.0,7109900
2025-06-12,24.36,24.87,24.25,24.56,4300200
2025-06-13,23.76,24.11,23.29,23.71,4682200
2025-06-16,24.45,24.47,23.79,24.06,4792500
2025-06-17,23.98,24.75,23.98,24.34,4799100
2025-06-18,24.16,24.46,23.82,24.01,4491200
2025-06-20,23.6,24.49,23.4,24.35,5750500
2025-06-23,23.41,23.83,22.88,22.93,4357600
2025-06-24,24.17,24.26,23.82,23.95,4596100
2025-06-25,23.64,24.45,23.49,24.28,4019400
2025-06-26,24.72,24.99,23.55,23.9,6696100
2025-06-27,24.24,25.06,23.86,25.06,6932000
2025-06-30,24.57,25.37,24.5,24.5,6781500
2025-07-01,24.57,24.69,23.87,24.33,3992100
2025-07-02,25.82,26.07,24.46,24.6,8633400
2025-07-03,25.75,26.43,25.64,26.15,4512200
2025-07-07,25.65,25.66,24.85,25.55,5191800
2025-07-08,26.37,26.88,25.91,25.91,5835000
2025-07-09,27.39,27.58,26.51,27.0,7016300
2025-07-10,26.81,27.78,26.45,27.67,5366300
2025-07-11,26.29,26.96,26.13,26.41,4222400
2025-07-14,26.8,27.25,25.76,26.0,5088100
2025-07-15,27.03,27.58,26.75,27.24,4982000
2025-07-16,27.23,27.27,26.08,27.13,4609900
2025-07-17,28.36,28.94,27.4,27.49,8433800
2025-07-18,28.71,29.47,28.14,29.27,8275300
2025-07-21,28.33,30.11,28.11,28.95,8133700
2025-07-22,28.49,28.71,27.45,28.37,4796000
2025-07-23,29.16,29.3,28.51,28.78,4714100
2025-07-24,26.0,27.9,25.99,27.58,19952400
2025-07-25,26.01,26.59,25.94,26.41,7322100
2025-07-28,25.79,26.42,25.64,26.16,6858900
2025-07-29,24.48,26.0,24.48,25.81,7324200
2025-07-30,24.22,24.84,23.84,24.51,6267400
2025-07-31,23.56,24.67,23.54,24.51,6026300
2025-08-01,22.43,23.08,22.16,22.82,7492500
2025-08-04,23.19,23.35,22.58,22.77,5354800
2025-08-05,23.29,23.76,23.0,23.4,5007200
2025-08-06,23.25,23.5,22.71,23.32,4677100
2025-08-07,22.66,23.68,22.22,23.5,6034300
2025-08-08,22.13,22.95,22.07,22.74,6485800
2025-08-11,16.47,17.29,14.7,15.17,66986300
2025-08-12,16.91,17.14,16.16,16.52,18085700
2025-08-13,18.6,18.64,16.94,17.0,22499700
2025-08-14,17.96,18.5,17.66,18.2,12387200
2025-08-15,17.85,18.19,17.72,18.08,7172400
2025-08-18,18.2,18.5,17.85,18.11,7615400
2025-08-19,17.38,18.25,17.26,18.14,7778700
2025-08-20,16.94,17.32,16.28,17.23,8397300
2025-08-21,16.86,16.92,16.56,16.9,4273200
2025-08-22,17.5,17.64,16.9,17.0,6985300
2025-08-25,17.09,17.68,17.05,17.55,5185900
2025-08-26,16.91,17.32,16.78,17.05,6184300
2025-08-27,17.31,17.36,16.99,17.02,5430700
2025-08-28,17.31,17.54,17.22,17.37,4493600
2025-08-29,16.91,17.51,16.72,17.33,6692000
2025-09-02,16.82,17.14,16.4,16.54,6869600
2025-09-03,16.68,17.06,16.46,16.93,17413900
2025-09-04,15.46,16.24,14.8,14.95,29778600
