Date,Close,High,Low,Open,Volume
2025-05-12,108.12,110.67,106.98,110.42,50543400
2025-05-13,112.46,113.13,109.0,109.6,55659500
2025-05-14,117.72,122.52,116.59,119.83,86743700
2025-05-15,114.99,117.5,114.01,117.02,43843200
2025-05-16,117.17,118.24,116.01,118.07,43419700
2025-05-19,114.74,115.53,114.06,115.02,37737400
2025-05-20,113.51,114.51,112.08,114.35,29030800
2025-05-21,112.06,116.1,111.09,113.85,43594600
2025-05-22,110.71,112.64,110.61,111.9,29252000
2025-05-23,110.31,111.02,107.67,108.09,30867300
2025-05-27,114.56,115.4,112.27,113.18,37885000
2025-05-28,112.86,114.95,112.66,114.92,27483700
2025-05-29,113.03,115.54,112.13,115.49,30501400
2025-05-30,110.73,112.11,108.62,111.58,36088500
2025-06-02,114.63,114.86,111.01,111.06,34078400
2025-06-03,117.31,117.68,113.28,114.5,37161500
2025-06-04,118.58,119.3,115.73,117.41,31025000
2025-06-05,115.69,119.24,114.71,118.95,34091000
2025-06-06,116.19,118.38,115.88,117.69,27042100
2025-06-09,121.73,122.37,119.04,119.18,55437700
2025-06-10,123.24,124.09,120.8,121.11,41691900
2025-06-11,121.14,124.47,119.88,124.44,32261900
2025-06-12,118.5,122.25,118.03,120.62,44718400
2025-06-13,116.16,117.88,115.06,116.05,39702700
2025-06-16,126.39,128.14,117.78,118.64,100968500
2025-06-17,127.1,130.7,126.58,127.93,86623900
2025-06-18,126.79,129.21,125.77,128.01,49627100
2025-06-20,128.24,132.81,127.55,129.0,79931000
2025-06-23,129.58,133.25,126.82,130.47,65152900
2025-06-24,138.43,138.79,132.93,133.43,78572000
2025-06-25,143.4,144.18,139.46,140.94,74607200
2025-06-26,143.68,146.0,141.91,145.97,58180100
2025-06-27,143.81,147.75,141.63,144.18,61937900
2025-06-30,141.9,146.0,141.01,144.0,42972500
2025-07-01,136.11,140.23,135.12,138.77,55257200
2025-07-02,138.52,139.78,135.22,135.53,39228000
2025-07-03,137.91,139.5,137.32,139.11,28646000
2025-07-07,134.8,137.44,133.5,136.56,37395000
2025-07-08,137.82,139.15,135.91,137.32,36124600
2025-07-09,138.41,140.65,137.59,138.69,37013100
2025-07-10,144.16,145.82,141.85,143.0,61101500
2025-07-11,146.42,147.4,141.6,142.6,50049200
2025-07-14,146.24,147.58,141.9,145.09,44718600
2025-07-15,155.61,158.68,153.56,153.75,93370100
2025-07-16,160.08,160.36,152.85,155.31,59492800
2025-07-17,160.41,161.96,158.68,161.81,50605100
2025-07-18,156.99,160.83,155.81,159.59,48859800
2025-07-21,157.0,160.34,156.92,157.62,39021100
2025-07-22,154.72,156.23,149.34,156.2,49028000
2025-07-23,158.65,159.45,156.0,156.32,41510900
2025-07-24,162.12,163.93,158.36,159.12,48440100
2025-07-25,166.47,167.18,162.36,163.51,53432300
2025-07-28,173.66,174.7,168.67,169.08,68267800
2025-07-29,177.44,182.31,174.68,175.21,108154800
2025-07-30,179.51,180.37,173.8,175.61,64820300
2025-07-31,176.31,182.5,173.0,182.02,71765300
2025-08-01,171.7,174.4,166.82,170.16,75396100
2025-08-04,176.78,177.86,173.56,174.61,52951000
2025-08-05,174.31,177.99,171.8,177.57,88808500
2025-08-06,163.12,166.18,157.8,165.05,133641800
2025-08-07,172.4,175.75,166.7,166.84,95448300
2025-08-08,172.76,176.48,170.52,174.04,68866700
2025-08-11,172.28,178.82,169.38,170.04,70651000
2025-08-12,174.95,175.16,168.5,173.32,52243500
2025-08-13,184.42,186.65,179.38,179.91,108305100
2025-08-14,180.95,185.44,179.56,179.83,66308800
2025-08-15,177.51,180.14,176.25,180.06,51543100
2025-08-18,176.14,178.8,174.36,176.76,35937500
