Date,Close,High,Low,Open,Volume
2025-05-12,124.81,125.45,121.3,121.64,7552600
2025-05-13,126.68,128.9,124.2,125.0,7630700
2025-05-14,133.45,134.97,128.81,128.97,8876000
2025-05-15,133.07,135.18,129.0,133.01,5357900
2025-05-16,135.96,136.15,132.9,133.35,4789900
2025-05-19,132.05,133.28,129.53,130.35,4195600
2025-05-20,131.04,132.04,129.7,131.84,3108500
2025-05-21,130.45,135.34,128.6,128.92,4810100
2025-05-22,129.28,131.14,128.96,129.6,2366200
2025-05-23,127.18,127.66,124.9,126.14,2966800
2025-05-27,133.96,135.99,129.73,130.05,5507500
2025-05-28,135.54,138.5,133.95,134.82,5937400
2025-05-29,128.1,138.59,126.75,138.5,7425900
2025-05-30,124.54,127.8,121.56,127.61,5786600
2025-06-02,126.06,127.48,123.59,124.8,3297500
2025-06-03,128.78,130.64,126.93,127.53,3445700
2025-06-04,130.36,130.68,127.33,129.4,2473400
2025-06-05,129.55,134.25,128.49,131.09,3549800
2025-06-06,133.11,135.16,129.93,129.93,3212500
2025-06-09,138.61,141.32,134.82,135.0,6864600
2025-06-10,140.63,141.58,135.87,138.8,4544100
2025-06-11,140.38,144.3,138.94,140.99,3594100
2025-06-12,138.62,140.63,137.21,137.44,3244800
2025-06-13,135.55,138.52,134.57,135.81,3307700
2025-06-16,142.04,143.58,137.25,137.25,4166300
2025-06-17,144.72,149.25,140.5,140.83,5883200
2025-06-18,146.05,147.98,143.18,145.16,3638400
2025-06-20,145.04,148.48,143.26,146.71,3798300
2025-06-23,149.33,149.59,142.6,143.0,4742300
2025-06-24,156.41,157.23,150.9,151.0,5587300
2025-06-25,157.31,159.88,156.68,157.11,4751000
2025-06-26,158.15,160.4,157.24,158.54,4519600
2025-06-27,165.46,166.36,158.76,159.0,7495500
2025-06-30,161.74,168.31,161.22,166.96,5531600
2025-07-01,156.33,161.75,153.52,160.0,6369800
2025-07-02,154.63,155.24,152.03,154.21,5027700
2025-07-03,155.09,157.42,154.16,155.86,2499300
2025-07-07,146.88,154.0,145.4,154.0,6964800
2025-07-08,147.79,150.0,147.05,148.93,4150300
2025-07-09,148.02,152.78,147.8,149.59,3848500
2025-07-10,148.55,149.0,145.62,149.0,3645400
2025-07-11,145.94,151.1,144.28,146.68,3954200
2025-07-14,144.54,145.96,140.7,145.94,5882800
2025-07-15,147.11,150.15,146.35,148.38,4182200
2025-07-16,153.9,155.04,148.21,151.32,7441300
2025-07-17,157.18,159.5,153.54,157.11,4891500
2025-07-18,156.74,161.95,156.38,158.5,4869500
2025-07-21,161.92,164.58,158.19,159.15,5462800
2025-07-22,156.5,162.13,153.24,161.0,5167900
2025-07-23,159.28,159.75,155.71,156.96,3398600
2025-07-24,159.99,161.75,157.9,160.0,2228400
2025-07-25,163.17,164.58,159.14,160.0,3151900
2025-07-28,164.37,166.88,162.04,165.02,4027900
2025-07-29,163.47,166.25,160.78,164.0,3546500
2025-07-30,163.32,165.25,161.36,162.32,4885300
2025-07-31,141.38,149.0,139.11,148.35,22624900
2025-08-01,137.58,140.06,135.25,137.99,7673400
2025-08-04,140.05,140.61,138.25,140.1,4866900
2025-08-05,137.23,140.88,135.21,140.5,4384600
2025-08-06,136.12,137.8,135.01,137.41,3241000
2025-08-07,135.57,139.68,134.61,137.77,4269200
2025-08-08,138.5,139.45,135.36,136.67,3483700
2025-08-11,141.05,146.43,139.25,139.52,5673400
2025-08-12,142.39,143.0,140.42,142.85,3996500
2025-08-13,141.6,145.2,141.39,143.45,3335800
2025-08-14,140.55,140.68,138.27,140.29,4927800
2025-08-15,138.91,141.78,137.77,140.55,3434500
2025-08-18,141.06,141.51,137.53,137.91,2892900
2025-08-19,134.01,142.8,133.7,140.93,4751600
2025-08-20,131.16,133.13,127.03,132.7,5838700
2025-08-21,133.28,133.63,130.21,130.89,4107200
2025-08-22,137.92,140.35,132.68,133.0,4041500
2025-08-25,137.78,139.0,136.0,138.29,1870900
2025-08-26,140.26,141.41,137.85,138.34,2515400
2025-08-27,140.66,141.96,138.83,140.27,2499500
2025-08-28,142.55,143.8,139.76,140.6,2882900
2025-08-29,138.31,140.78,137.31,140.67,3616000
2025-09-02,132.34,134.89,130.41,133.62,5833700
2025-09-03,131.42,134.1,130.71,133.65,3202100
2025-09-04,135.48,136.12,130.26,131.13,3274900
2025-09-05,138.17,138.82,135.35,138.0,2822400
2025-09-08,139.14,141.15,138.14,138.71,2573100
2025-09-09,140.8,141.74,139.1,139.14,2083400
2025-09-10,154.14,154.5,142.8,143.3,11219700
2025-09-11,154.7,158.89,152.85,152.85,6342200
2025-09-12,150.64,155.55,149.02,155.24,3605200
2025-09-15,153.86,154.98,151.02,151.25,2570400
2025-09-16,153.85,155.8,152.35,153.76,2385300
2025-09-17,153.37,154.66,150.1,153.0,2500000
2025-09-18,146.54,149.24,142.0,147.21,12215000
2025-09-19,142.91,145.8,142.38,145.8,8770200
2025-09-22,144.48,145.55,141.35,142.15,4705800
2025-09-23,140.99,146.16,140.28,145.41,4823900
2025-09-24,144.3,146.0,141.31,142.15,4545700
2025-09-25,140.65,142.8,138.0,141.5,4312200
2025-09-26,139.62,141.08,137.62,141.0,3757100
2025-09-29,139.8,142.3,139.34,141.22,2988900
2025-09-30,141.49,141.68,138.49,139.9,2550700
2025-10-01,150.38,151.25,142.36,142.41,7886800
2025-10-02,152.15,152.5,149.41,150.85,3573100
2025-10-03,152.64,154.55,150.66,152.88,2533600
2025-10-06,156.22,160.54,154.65,155.6,5095900
2025-10-07,159.35,161.0,154.35,157.0,5179100
2025-10-08,166.77,168.51,156.5,158.5,9048800
2025-10-09,170.66,171.86,161.21,164.51,8685600
2025-10-10,154.81,171.59,153.22,170.6,8384000
2025-10-13,171.94,175.0,157.0,160.8,11188200
2025-10-14,168.16,180.34,167.54,171.6,12821200
2025-10-15,170.67,174.0,167.1,172.06,7692800
2025-10-16,171.19,175.97,168.63,173.58,4581200
2025-10-17,165.61,169.73,163.61,169.73,4645300
2025-10-20,171.5,173.04,167.41,167.5,3654100
2025-10-21,169.38,173.85,167.06,170.53,4776100
2025-10-22,165.71,170.84,160.85,168.06,4302300
2025-10-23,166.6,169.29,164.07,164.56,2775700
2025-10-24,170.68,174.45,169.66,170.19,3665200
2025-10-27,178.62,183.16,174.27,174.49,6552400
2025-10-28,173.09,179.12,172.93,178.01,3335500
2025-10-29,170.39,177.25,169.37,175.27,3098300
2025-10-30,165.45,169.0,165.3,168.62,2856000
2025-10-31,169.82,171.88,166.93,168.5,3704400
2025-11-03,168.68,173.54,168.36,171.3,2230100
2025-11-04,160.73,166.14,160.4,162.0,3936600
2025-11-05,160.19,164.33,156.33,158.74,6941800
2025-11-06,158.25,167.48,155.18,167.0,7123700
2025-11-07,152.38,155.23,146.29,154.74,5794600
2025-11-10,154.84,159.32,154.55,158.48,3274200
2025-11-11,149.74,153.0,146.7,153.0,4075300
2025-11-12,148.75,152.48,146.85,151.07,2602100
2025-11-13,140.31,147.63,138.38,146.99,6496000
2025-11-14,139.77,143.74,135.1,136.91,3717900
2025-11-17,140.26,143.8,138.19,139.57,2977500
2025-11-18,136.04,139.54,133.24,138.18,3993000
2025-11-19,136.99,138.56,134.92,137.6,3499400
2025-11-20,132.53,143.32,131.85,142.28,4609700
2025-11-21,131.57,133.27,125.17,132.53,6166800
2025-11-24,134.71,136.01,132.55,132.82,3417600
2025-11-25,131.44,132.5,126.92,132.0,4858100
2025-11-26,132.61,134.65,132.36,133.5,2806700
2025-11-28,135.56,135.66,132.7,133.79,1559100
2025-12-01,135.01,136.58,133.0,133.43,2365000
2025-12-02,136.48,139.35,135.74,136.03,2184900
2025-12-03,139.19,139.56,135.81,137.36,2152000
2025-12-04,140.49,141.4,138.22,139.7,2390200
2025-12-05,141.31,144.25,140.49,143.21,2445200
2025-12-08,139.78,143.41,138.31,143.0,2168100
2025-12-09,141.93,142.22,138.36,139.57,2303400
2025-12-10,141.52,142.8,140.0,141.74,1765800
2025-12-11,136.14,138.26,133.09,137.99,4227500
2025-12-12,130.89,137.0,130.41,135.31,3965900
2025-12-15,124.37,128.74,123.14,126.38,6924800
2025-12-16,121.1,124.0,117.83,123.5,6198800
2025-12-17,114.58,121.64,112.63,121.57,8686600
2025-12-18,113.51,118.07,113.43,117.13,5194900
2025-12-19,114.03,115.21,113.42,114.21,7854500
2025-12-22,113.29,117.21,112.67,117.17,7754300
2025-12-23,112.02,112.9,110.29,112.72,7045300
2025-12-24,111.55,112.32,110.58,112.09,2160500
2025-12-26,110.27,111.6,110.1,111.46,3054300
2025-12-29,110.51,111.29,108.38,108.73,3347700
2025-12-30,110.86,112.0,110.39,111.13,3616900
2025-12-31,109.31,111.6,109.29,110.67,3455600
2026-01-02,114.73,116.29,112.83,112.83,6711800
2026-01-05,116.11,122.5,116.03,120.36,6859500
2026-01-06,115.53,117.97,114.99,117.52,3290100
2026-01-07,115.68,117.2,113.97,114.93,5117600
2026-01-08,113.08,116.28,110.55,115.82,4701000
2026-01-09,111.79,113.98,109.52,113.91,5292900
2026-01-12,111.14,111.61,109.25,110.94,4443100
2026-01-13,107.84,111.75,105.9,108.87,7749400
2026-01-14,104.99,106.49,102.01,106.37,7570100
2026-01-15,105.11,108.89,104.95,108.13,5775800
2026-01-16,105.78,107.96,105.19,106.66,5291100
2026-01-20,107.17,110.74,104.41,104.86,7318200
2026-01-21,113.92,117.28,111.07,111.07,13666000
2026-01-22,119.2,123.5,118.65,120.71,14162100
2026-01-23,116.07,121.85,114.58,120.88,6814500
2026-01-26,114.73,116.44,114.06,116.35,3716600
2026-01-27,114.88,117.39,114.24,116.15,4500600
2026-01-28,109.96,115.78,109.06,115.0,7947400
2026-01-29,108.43,110.4,104.11,110.06,6154700
2026-01-30,105.36,108.0,105.03,107.09,4950700
2026-02-02,106.93,108.12,104.01,104.58,5001100
2026-02-03,104.55,109.36,101.57,108.0,7058000
2026-02-04,104.9,108.18,103.0,105.0,12213700
2026-02-05,110.88,115.1,100.02,104.48,24625000
2026-02-06,123.7,124.31,112.53,112.71,15789000
2026-02-09,124.61,125.25,118.25,120.25,6817400
2026-02-10,125.95,130.9,124.25,124.37,8913500
2026-02-11,125.28,129.54,125.16,127.51,4145200
2026-02-12,122.19,128.24,120.82,125.28,5982000
2026-02-13,125.28,127.42,119.7,120.12,4417600
2026-02-17,126.89,127.0,120.58,124.5,4268900
2026-02-18,127.24,130.4,126.0,128.6,4275600
2026-02-19,126.93,126.99,122.65,125.86,3108800
2026-02-20,125.58,130.0,124.96,125.21,4056000
2026-02-23,123.78,126.71,121.91,123.71,3393800
2026-02-24,128.14,131.39,124.0,124.6,4273000
2026-02-25,131.74,133.28,128.35,128.35,4322700
2026-02-26,129.26,134.25,126.66,131.94,4136000
2026-02-27,127.45,128.89,126.01,126.14,3112500
2026-03-02,124.37,125.84,121.64,123.32,3832000
2026-03-03,121.72,122.15,116.39,119.28,5303800
2026-03-04,124.11,127.4,121.74,122.7,2984500
2026-03-05,120.62,124.35,118.77,122.85,3437800
2026-03-06,114.38,119.27,113.51,118.12,4331100
2026-03-09,117.63,118.14,111.26,112.55,3990700
2026-03-10,120.55,123.61,116.99,117.0,3659800
2026-03-11,120.1,123.2,119.33,120.83,2447700
2026-03-12,115.12,119.25,114.46,118.22,3451000
2026-03-13,115.75,118.06,115.05,115.8,2462500
2026-03-16,121.7,123.44,118.38,119.5,4407300
2026-03-17,127.31,128.8,124.8,125.17,5890700
2026-03-18,128.36,130.88,127.21,127.81,4206900
2026-03-19,129.82,130.73,124.5,125.0,3497600
2026-03-20,132.35,139.95,131.42,136.9,12450800
2026-03-23,136.89,138.85,133.12,133.43,7959800
2026-03-24,134.96,140.58,133.01,136.0,10924900
2026-03-25,157.07,166.69,148.25,148.26,29579900
2026-03-26,154.8,163.53,154.35,157.35,15671600
2026-03-27,144.13,152.75,142.21,151.53,10269000
2026-03-30,136.96,145.75,136.0,144.1,8033600
2026-03-31,151.28,151.59,139.9,139.9,10203700
2026-04-01,155.07,158.37,152.3,154.39,8306300
2026-04-02,149.11,152.07,145.82,149.77,8183200
2026-04-06,148.77,153.68,146.1,152.18,4137600
2026-04-07,143.86,145.5,137.58,143.82,7071000
2026-04-08,148.91,153.42,145.0,152.16,6480300
2026-04-09,149.79,150.4,145.27,148.23,5325700
2026-04-10,148.93,159.29,147.96,152.41,7431600
2026-04-13,157.58,157.77,147.5,147.78,4900100
2026-04-14,161.22,163.5,157.6,161.03,6294200
2026-04-15,159.34,161.74,156.21,161.22,3650300
2026-04-16,162.33,166.09,156.85,159.99,5748000
2026-04-17,166.73,168.35,162.73,167.34,5092600
2026-04-20,175.1,175.32,164.1,167.41,8564000
2026-04-21,175.49,179.4,173.3,175.37,6479900
2026-04-22,196.57,196.66,178.48,180.0,13932300
2026-04-23,204.61,210.8,192.18,194.42,16854100
2026-04-24,234.81,237.68,218.38,221.96,20481700
2026-04-27,215.88,227.3,210.0,224.49,13922800
2026-04-28,198.65,204.67,195.0,197.32,13367900
2026-04-29,201.69,203.5,193.91,202.6,6215500
2026-04-30,210.32,215.2,200.04,204.0,7730800
2026-05-01,211.18,216.35,207.16,208.15,4970300
2026-05-04,203.26,215.45,198.35,212.5,6725200
2026-05-05,208.84,214.39,204.32,210.1,7968900
2026-05-06,237.3,239.5,220.1,232.0,26272900
2026-05-07,213.31,232.23,210.23,222.4,22382800
2026-05-08,213.27,222.0,211.0,216.96,11500700
2026-05-11,212.65,215.5,206.08,206.54,10272191
