Date,Close,High,Low,Open,Volume
2025-05-12,744.37,744.68,723.71,724.74,2571500
2025-05-13,757.96,758.92,738.75,739.47,1815600
2025-05-14,762.93,767.68,758.33,759.05,1156100
2025-05-15,752.46,761.04,749.34,757.73,1511000
2025-05-16,742.28,747.59,736.44,747.03,1095100
2025-05-19,743.31,744.17,731.54,733.98,977900
2025-05-20,742.94,743.16,735.54,739.83,777200
2025-05-21,731.44,749.91,729.77,743.19,1058700
2025-05-22,734.94,741.4,728.44,730.59,863500
2025-05-23,726.79,730.27,716.9,718.97,1525200
2025-05-27,750.91,755.29,744.12,745.53,1385100
2025-05-28,740.71,750.51,739.02,746.29,1244000
2025-05-29,741.26,753.64,739.05,751.94,1166000
2025-05-30,731.04,740.16,717.38,739.22,1785400
2025-06-02,740.73,741.14,726.96,727.59,812600
2025-06-03,741.44,742.73,726.51,726.96,1085100
2025-06-04,737.0,746.92,734.65,745.34,1160000
2025-06-05,741.95,750.58,738.22,748.27,1506500
2025-06-06,747.16,756.17,746.95,750.18,1345100
2025-06-09,764.21,776.12,751.17,751.17,1769400
2025-06-10,778.87,782.16,770.45,773.05,1715500
2025-06-11,777.99,791.05,774.62,783.91,1365900
2025-06-12,780.1,783.43,776.26,779.33,999600
2025-06-13,755.08,766.92,753.96,760.93,1742900
2025-06-16,769.2,773.13,760.02,760.41,1454500
2025-06-17,753.95,767.2,752.31,760.82,1422800
2025-06-18,755.72,762.03,748.38,758.78,1372500
2025-06-20,750.65,763.03,730.53,762.4,2303900
2025-06-23,773.66,774.68,753.9,755.34,1302800
2025-06-24,807.04,807.13,780.0,780.0,2039600
2025-06-25,808.9,813.17,799.95,810.4,1400100
2025-06-26,791.88,794.65,780.38,793.54,1705800
2025-06-27,789.76,799.23,782.32,796.7,1201000
2025-06-30,795.16,796.2,787.87,790.29,1080400
2025-07-01,784.32,789.31,776.46,781.92,1065800
2025-07-02,793.37,794.28,766.85,770.2,1383000
2025-07-03,788.32,792.32,780.49,780.85,910700
2025-07-07,778.99,787.32,777.71,779.35,1363700
2025-07-08,787.93,792.18,772.67,776.57,1327800
2025-07-09,793.61,794.67,786.31,786.74,1334300
2025-07-10,795.85,804.79,791.8,802.64,1498900
2025-07-11,795.69,796.94,790.33,790.87,932400
2025-07-14,800.46,806.45,783.73,791.42,1456900
2025-07-15,816.62,820.13,807.88,816.58,2099600
2025-07-16,748.58,754.98,724.92,748.49,10789600
2025-07-17,739.12,750.97,736.23,741.01,4078500
2025-07-18,728.87,746.24,728.62,746.23,2567200
2025-07-21,714.08,727.2,713.73,725.32,2650300
2025-07-22,699.99,713.47,695.74,712.72,3425100
2025-07-23,711.36,714.37,702.62,709.65,3379400
2025-07-24,719.44,720.98,712.77,717.39,2037100
2025-07-25,705.72,707.6,701.11,703.63,2312100
2025-07-28,724.31,729.69,722.83,729.43,2253900
2025-07-29,714.71,723.1,711.94,718.93,2292900
2025-07-30,717.66,720.21,711.74,713.12,1407000
2025-07-31,691.06,703.82,687.58,702.69,2892200
2025-08-01,686.19,689.78,679.89,686.37,1627100
2025-08-04,695.68,695.77,689.26,691.92,1025600
2025-08-05,686.0,691.97,680.64,691.07,1261200
2025-08-06,687.33,688.79,681.84,684.03,1218700
2025-08-07,709.37,713.13,702.9,710.27,1723800
2025-08-08,718.52,719.7,706.71,708.66,1042900
2025-08-11,717.52,728.01,715.74,720.19,1179700
2025-08-12,737.89,739.44,719.68,721.71,1461800
2025-08-13,751.6,752.22,743.61,746.68,2011900
2025-08-14,751.24,753.02,740.64,743.35,1577400
2025-08-15,738.26,743.22,732.79,734.62,1635100
2025-08-18,743.62,744.07,735.55,735.78,1086400
2025-08-19,739.7,751.72,737.81,747.59,1121300
2025-08-20,745.55,749.48,734.3,746.85,1368400
2025-08-21,731.53,737.6,728.26,735.47,952700
2025-08-22,750.92,757.57,736.48,737.78,1456000
2025-08-25,750.49,754.27,748.14,750.78,731100
2025-08-26,759.19,759.49,751.93,754.78,860100
2025-08-27,765.95,766.53,753.81,756.0,1140700
2025-08-28,759.45,769.1,756.87,765.95,985400
2025-08-29,738.71,749.64,735.9,749.04,1317800
2025-09-02,722.03,723.38,712.43,713.44,1867400
2025-09-03,732.95,734.42,725.72,728.37,1330300
2025-09-04,749.47,752.92,731.56,733.17,1532700
2025-09-05,777.59,778.98,762.21,770.81,1887300
2025-09-08,792.06,794.5,782.61,785.5,1284500
2025-09-09,800.9,801.6,788.95,791.02,1324100
2025-09-10,788.97,805.34,786.86,802.58,1634300
2025-09-11,799.93,804.9,794.31,795.48,1297800
2025-09-12,809.59,811.49,802.06,804.27,1019700
2025-09-15,862.74,864.15,829.53,830.54,2702300
2025-09-16,873.8,876.82,863.01,875.31,1832400
2025-09-17,867.68,873.01,856.65,863.66,1553300
2025-09-18,922.92,933.74,911.21,923.79,3176100
2025-09-19,927.25,933.71,921.0,921.2,2410200
2025-09-22,952.76,959.47,948.58,955.87,1885000
2025-09-23,958.44,972.34,950.97,959.34,1664800
2025-09-24,941.96,948.59,936.0,944.73,1400700
2025-09-25,944.56,947.65,932.19,933.27,1272600
