Date,Close,High,Low,Open,Volume
2025-05-12,219.8,220.02,214.14,217.73,25437700
2025-05-13,230.55,233.39,220.22,220.22,28790500
2025-05-14,230.25,231.62,226.51,228.38,19751400
2025-05-15,230.77,232.58,226.24,228.31,18803700
2025-05-16,226.77,230.77,224.57,230.45,23094600
2025-05-19,228.78,229.39,219.82,220.07,15355500
2025-05-20,229.82,229.91,224.52,224.67,11787200
2025-05-21,227.88,234.6,226.0,226.55,17642900
2025-05-22,228.68,231.81,225.6,226.5,14340200
2025-05-23,226.88,228.8,224.36,225.12,15385600
2025-05-27,233.76,234.58,229.27,231.0,17941700
2025-05-28,237.51,239.05,232.55,235.24,20443000
2025-05-29,240.03,244.09,235.49,243.93,20743700
2025-05-30,240.12,241.22,233.01,239.28,27088600
2025-06-02,246.71,247.99,241.24,241.29,19197000
2025-06-03,254.79,255.81,247.4,248.07,30380200
2025-06-04,258.98,263.3,255.52,255.99,31536000
2025-06-05,257.84,262.76,256.98,260.84,41970900
2025-06-06,244.95,253.27,244.15,249.12,41146700
2025-06-09,242.32,246.18,239.17,243.08,25334100
2025-06-10,242.66,244.3,239.46,242.26,25491300
2025-06-11,250.88,252.72,241.84,244.38,24599000
2025-06-12,254.01,255.82,247.49,248.18,20410900
2025-06-13,246.7,251.96,246.35,248.65,19028400
2025-06-16,250.07,253.14,247.56,248.34,20363000
2025-06-17,247.37,251.92,245.93,248.93,22014300
2025-06-18,249.24,253.59,247.41,248.87,30435500
2025-06-20,248.56,252.07,242.78,251.77,42134900
2025-06-23,252.32,252.76,245.05,247.69,19747000
2025-06-24,262.27,264.35,257.29,257.29,32764900
2025-06-25,263.14,268.33,261.93,264.48,18894200
2025-06-26,268.63,270.12,262.62,263.57,23569600
2025-06-27,267.81,270.3,265.36,268.76,27477600
2025-06-30,274.08,276.13,270.58,273.16,24708400
2025-07-01,263.23,272.93,261.16,272.84,28847600
2025-07-02,268.36,270.45,261.23,262.48,17582100
2025-07-03,273.61,274.23,268.58,269.19,10592700
2025-07-07,272.62,275.98,271.11,273.56,16760600
2025-07-08,270.25,274.77,269.6,274.77,14869400
2025-07-09,276.32,277.86,271.16,271.4,20133000
2025-07-10,273.83,279.58,271.14,278.19,17891600
2025-07-11,272.82,274.89,270.34,272.58,14274700
2025-07-14,274.03,276.77,268.04,272.57,11934200
2025-07-15,279.34,281.74,276.27,278.21,17918400
2025-07-16,279.21,279.9,274.1,278.51,15031000
2025-07-17,284.82,286.64,278.31,279.54,17231100
2025-07-18,281.72,285.89,279.4,285.47,15012400
2025-07-21,286.57,288.88,282.01,282.34,17726800
2025-07-22,277.0,286.36,274.85,286.01,16564800
2025-07-23,282.07,282.38,271.44,275.2,20556200
2025-07-24,287.06,289.54,281.88,288.14,16413800
2025-07-25,288.53,290.92,285.63,286.43,12476200
2025-07-28,292.62,293.77,288.93,290.79,13683400
2025-07-29,295.72,300.47,293.19,295.8,19210800
2025-07-30,300.89,301.53,294.11,295.46,16738900
2025-07-31,292.03,305.2,288.57,301.07,25488500
2025-08-01,286.99,290.97,280.0,284.91,21428100
2025-08-04,296.02,296.78,289.74,290.53,17164600
2025-08-05,291.26,299.48,289.79,296.11,18477500
2025-08-06,299.95,301.08,290.24,291.23,17392100
2025-08-07,302.03,308.57,298.17,304.42,16319400
2025-08-08,303.23,306.11,300.82,302.32,12458700
2025-08-11,302.17,306.55,299.57,303.31,12396400
2025-08-12,311.05,311.65,302.93,304.88,17609600
2025-08-13,307.33,315.54,303.01,314.94,17371200
2025-08-14,309.46,312.38,305.25,305.26,15717600
2025-08-15,304.59,309.72,298.05,309.26,22806900
2025-08-18,304.02,304.42,297.29,300.97,14724700
2025-08-19,293.23,301.17,290.72,300.7,20149600
2025-08-20,289.51,293.8,280.26,293.78,23600500
2025-08-21,287.95,290.72,284.54,288.41,14946300
2025-08-22,292.32,298.38,287.36,290.09,16301300
2025-08-25,292.55,296.7,290.05,291.14,15124700
2025-08-26,296.31,298.54,292.31,292.67,25689100
2025-08-27,298.54,299.46,292.1,295.83,13830300
2025-08-28,306.89,309.23,300.61,301.2,18907100
2025-08-29,295.69,305.26,291.99,305.26,21610700
2025-09-02,296.54,297.01,285.53,287.69,19693000
2025-09-03,300.67,302.71,294.71,300.57,18529400
2025-09-04,304.35,307.02,300.53,303.32,31220800
2025-09-05,332.98,354.31,329.53,353.75,78401600
2025-09-08,343.68,352.15,339.3,340.8,43535600
2025-09-09,334.75,348.98,333.91,347.56,26972300
2025-09-10,367.46,370.84,348.55,349.52,51086800
2025-09-11,357.58,372.1,356.71,369.06,29430900
2025-09-12,357.82,362.31,355.12,360.84,31949800
2025-09-15,362.01,363.42,354.31,357.82,21792200
2025-09-16,357.95,363.6,354.95,363.35,21306500
2025-09-17,344.2,357.88,339.55,356.8,45197100
2025-09-18,343.38,348.7,341.83,348.0,24663900
2025-09-19,342.97,344.3,334.51,342.68,41240100
2025-09-22,337.44,345.28,336.59,341.06,28660000
2025-09-23,337.58,343.84,335.67,338.88,21944100
2025-09-24,337.95,338.72,332.48,338.4,19677300
2025-09-25,334.76,336.71,325.99,331.66,21678200
2025-09-26,333.19,337.72,329.26,336.08,15464700
2025-09-29,326.59,339.69,326.24,334.66,21336000
2025-09-30,328.59,329.73,323.31,328.8,20109500
2025-10-01,332.06,336.6,323.2,326.84,21122700
2025-10-02,336.83,346.22,333.91,346.22,19917600
2025-10-03,337.02,343.02,334.4,340.13,14749100
2025-10-06,334.15,342.75,333.22,334.58,18465700
2025-10-07,335.06,336.76,325.27,335.68,18086700
2025-10-08,344.12,345.15,331.29,332.49,21478300
2025-10-09,343.64,345.92,339.04,344.37,17643700
2025-10-10,323.33,349.2,322.75,344.01,28941000
2025-10-13,355.27,357.94,342.15,351.36,45984300
2025-10-14,342.75,349.27,338.29,348.73,22078000
2025-10-15,349.92,357.96,346.11,353.05,23918500
2025-10-16,352.73,361.79,348.09,355.37,20317200
2025-10-17,347.93,349.57,339.42,348.21,20937900
2025-10-20,347.84,355.16,346.45,352.39,15640200
2025-10-21,341.29,349.7,339.95,348.6,16092600
2025-10-22,338.94,346.62,334.17,345.91,19268800
2025-10-23,342.91,345.18,339.04,339.04,12859200
2025-10-24,352.71,356.87,349.48,351.1,16143700
2025-10-27,360.6,361.3,353.66,360.09,20065800
2025-10-28,371.48,372.56,361.08,361.17,21056000
2025-10-29,384.44,384.93,371.7,371.7,24975200
2025-10-30,374.96,384.85,368.58,384.85,24295300
2025-10-31,368.15,377.31,363.64,376.76,21598400
2025-11-03,361.1,373.35,360.53,370.51,17198900
2025-11-04,350.53,367.47,349.6,357.09,24047500
2025-11-05,357.54,363.41,348.69,349.49,17087600
2025-11-06,354.17,362.05,351.3,358.67,19896900
2025-11-07,348.03,353.08,335.92,352.77,21903200
2025-11-10,356.96,358.56,353.19,356.47,16409000
2025-11-11,350.55,360.44,348.27,357.53,16446800
2025-11-12,353.8,357.43,350.27,356.61,12190500
2025-11-13,338.62,352.14,332.82,350.17,22616600
2025-11-14,341.09,343.36,327.74,330.14,18500800
2025-11-17,341.28,350.79,336.17,338.46,14799600
2025-11-18,339.14,346.58,334.17,341.83,21726800
2025-11-19,353.0,358.25,336.45,339.35,21851900
2025-11-20,345.43,374.58,343.8,364.54,28867000
2025-11-21,338.84,347.21,330.47,343.78,30280300
2025-11-24,376.45,380.47,346.27,346.34,47262400
2025-11-25,383.49,386.58,370.26,383.39,33507600
2025-11-26,395.98,398.27,381.73,384.01,28693000
2025-11-28,401.35,401.39,395.57,397.75,13365500
2025-12-01,384.54,393.84,383.56,393.27,23252000
2025-12-02,380.04,391.93,378.27,386.76,22207000
2025-12-03,379.09,380.77,369.17,378.48,21336400
2025-12-04,379.51,382.35,375.02,379.16,15845900
2025-12-05,388.68,391.96,383.61,384.63,24779900
2025-12-08,399.5,405.66,395.81,400.87,30410600
2025-12-09,404.67,405.3,393.93,397.16,24546000
2025-12-10,411.32,412.95,397.96,400.59,31531000
2025-12-11,404.74,407.66,392.61,403.21,45681600
2025-12-12,358.49,380.47,353.73,378.44,95588500
2025-12-15,338.45,360.55,336.16,360.44,65894900
2025-12-16,339.94,346.11,333.72,334.68,58061100
2025-12-17,324.72,345.22,320.13,345.22,73300900
2025-12-18,328.56,334.69,322.34,334.66,54501900
2025-12-19,339.0,342.08,331.25,332.01,159095200
2025-12-22,340.74,345.52,336.51,345.31,28739600
2025-12-23,348.59,349.38,337.83,340.1,28232600
2025-12-24,349.49,352.12,346.41,349.96,11424400
2025-12-26,351.39,352.51,347.02,350.33,15028100
2025-12-29,348.66,349.6,343.97,347.99,21946900
2025-12-30,349.12,351.94,348.57,349.24,16633600
2025-12-31,345.38,349.15,344.7,349.0,15346100
2026-01-02,346.89,359.91,344.84,352.04,25398600
2026-01-05,342.7,354.29,335.8,354.0,31136000
