Date,Close,High,Low,Open,Volume
2025-05-12,18.91,19.19,18.45,18.61,6689100
2025-05-13,19.16,19.48,18.76,19.2,4949000
2025-05-14,20.25,20.28,19.3,19.35,6761700
2025-05-15,19.82,20.16,19.18,20.07,4106000
2025-05-16,20.11,20.23,19.69,20.0,6557300
2025-05-19,19.23,19.53,18.78,19.25,4543800
2025-05-20,19.11,19.58,18.92,19.29,3205400
2025-05-21,18.21,18.94,18.08,18.74,3482200
2025-05-22,18.37,18.39,17.01,17.68,4648500
2025-05-23,19.48,19.58,17.85,18.0,5067200
2025-05-27,19.76,19.84,19.33,19.73,4052600
2025-05-28,19.59,19.95,19.17,19.8,2561800
2025-05-29,18.57,19.81,18.47,19.77,4624200
2025-05-30,18.47,18.79,18.16,18.43,3325300
2025-06-02,18.28,18.72,18.12,18.55,3497800
2025-06-03,20.41,20.62,18.39,18.78,7376700
2025-06-04,20.25,21.35,20.06,20.6,6535900
2025-06-05,20.45,21.12,19.97,20.34,5330000
2025-06-06,21.78,21.82,20.81,20.82,5254100
2025-06-09,21.43,22.15,21.36,22.0,3603700
2025-06-10,21.63,22.23,21.42,21.6,4701000
2025-06-11,22.53,22.72,21.61,21.73,4465600
2025-06-12,22.25,22.41,21.82,22.02,3998100
2025-06-13,21.95,22.17,21.41,21.5,2815600
2025-06-16,22.91,23.0,22.07,22.36,5358800
2025-06-17,21.34,22.25,21.27,21.61,4143000
2025-06-18,21.5,21.82,20.93,21.02,5149400
2025-06-20,21.75,21.84,21.41,21.71,2972700
2025-06-23,22.56,22.79,21.43,21.81,3685300
2025-06-24,22.95,23.07,22.09,22.94,4609700
2025-06-25,21.6,23.0,21.55,23.0,4071900
2025-06-26,22.33,22.33,21.5,21.84,4175300
2025-06-27,22.18,22.78,21.86,22.65,5084100
2025-06-30,23.92,24.91,23.55,24.65,11413300
2025-07-01,22.13,23.7,21.52,23.42,10357400
2025-07-02,22.56,23.21,21.88,22.33,5431800
2025-07-03,24.24,24.62,22.81,22.81,4391000
2025-07-07,24.36,24.84,23.75,23.99,6809300
2025-07-08,24.3,24.85,23.94,24.22,4644300
2025-07-09,28.71,29.44,25.84,26.08,21937400
2025-07-10,25.85,26.76,25.25,26.26,18557300
2025-07-11,25.4,26.08,24.94,25.73,7239800
2025-07-14,25.96,26.35,25.3,25.6,7162800
2025-07-15,25.31,26.49,25.11,26.35,7000800
2025-07-16,24.69,25.38,24.14,25.23,6370400
2025-07-17,24.31,25.42,24.31,24.69,5813200
2025-07-18,24.99,25.02,24.04,24.44,4998900
2025-07-21,25.36,26.37,25.2,25.38,6665600
2025-07-22,25.93,26.03,24.39,25.31,5071000
2025-07-23,26.89,26.93,25.74,26.27,6069100
2025-07-24,33.06,33.91,29.9,30.45,39241200
2025-07-25,34.34,34.78,33.21,33.55,16435600
2025-07-28,34.78,34.9,33.51,34.9,12965200
2025-07-29,34.75,35.56,34.0,34.49,9682500
2025-07-30,37.62,38.08,34.54,35.09,16357500
2025-07-31,37.39,39.09,36.81,37.0,18527500
2025-08-01,36.72,38.03,32.52,32.74,17502400
2025-08-04,36.1,37.8,35.0,37.72,7913800
2025-08-05,37.61,39.15,36.38,36.51,12722200
2025-08-06,38.86,39.75,37.8,38.01,9392500
2025-08-07,36.8,39.85,35.85,39.35,9586800
2025-08-08,36.8,37.86,36.47,37.16,4753500
2025-08-11,37.65,38.57,36.8,37.12,5760400
2025-08-12,41.25,41.72,38.18,38.52,13302200
2025-08-13,44.08,46.5,42.65,43.0,17088500
2025-08-14,45.11,45.18,41.42,41.46,9761100
2025-08-15,45.28,47.21,43.72,46.11,12431900
2025-08-18,46.5,47.12,44.75,45.4,9804600
2025-08-19,43.1,46.3,41.92,45.98,12378500
2025-08-20,44.51,44.88,40.56,41.8,14718500
2025-08-21,44.83,45.8,43.62,43.76,9620700
2025-08-22,48.54,48.97,44.64,44.8,13924000
2025-08-25,49.35,49.83,47.83,48.45,10668100
2025-08-26,49.94,51.01,48.94,49.01,9307900
2025-08-27,50.85,50.97,49.25,49.46,6844400
2025-08-28,54.8,55.07,51.02,51.95,13062600
2025-08-29,52.94,54.52,52.59,53.88,10197400
2025-09-02,51.35,52.12,48.87,50.0,10226500
2025-09-03,52.45,53.35,50.05,51.88,7663300
2025-09-04,54.91,55.25,52.75,52.75,9831900
2025-09-05,57.07,57.33,54.37,56.44,9229200
2025-09-08,53.44,58.75,53.32,57.48,8561100
2025-09-09,55.0,55.8,52.0,54.0,10151300
2025-09-10,62.96,65.63,60.0,60.13,21924000
2025-09-11,67.29,68.74,63.85,64.11,12241400
2025-09-12,67.26,67.26,62.62,66.01,13499600
2025-09-15,67.02,68.55,63.94,68.0,11143600
2025-09-16,73.29,73.42,69.94,71.85,14054600
2025-09-17,79.67,80.71,72.35,73.75,16355500
2025-09-18,80.97,84.02,77.61,80.5,15379800
2025-09-19,84.93,85.4,81.61,84.0,16593600
2025-09-22,86.27,86.89,81.0,83.73,10907700
2025-09-23,77.38,86.0,75.6,82.0,22135800
2025-09-24,69.18,69.57,64.27,69.28,33315700
2025-09-25,68.69,69.49,61.37,63.0,17712800
2025-09-26,70.32,71.46,66.62,67.25,9355500
2025-09-29,73.6,75.55,71.92,72.91,10757900
2025-09-30,84.57,85.67,70.89,72.6,25107900
2025-10-01,90.19,91.23,82.67,82.67,20299800
2025-10-02,88.0,92.16,85.03,89.14,15349200
2025-10-03,90.29,93.8,86.5,88.96,14071000
2025-10-06,86.97,95.69,86.27,92.99,12271400
2025-10-07,86.06,92.34,83.47,88.83,10816900
2025-10-08,87.58,90.0,85.5,88.15,7972900
2025-10-09,86.65,89.44,85.08,87.71,8237100
2025-10-10,86.87,92.73,85.11,86.1,13482600
2025-10-13,109.91,115.21,102.34,105.99,28744800
2025-10-14,114.06,116.88,101.55,107.58,14160900
2025-10-15,116.58,125.75,115.93,120.81,16734900
2025-10-16,115.09,122.9,112.72,119.44,13382000
2025-10-17,111.5,114.21,106.35,112.4,10327200
2025-10-20,109.06,119.6,108.21,116.14,8369800
2025-10-21,104.38,108.92,98.46,108.35,9655100
2025-10-22,94.37,103.62,88.23,100.68,16244400
2025-10-23,101.42,103.81,93.23,94.24,8228100
2025-10-24,110.38,111.37,104.25,106.0,10390200
2025-10-27,108.53,113.17,103.0,112.66,9114400
2025-10-28,113.28,113.52,105.84,108.0,12989300
2025-10-29,133.71,144.2,122.22,129.3,26830400
2025-10-30,127.85,137.04,127.11,131.96,18005500
2025-10-31,132.16,135.01,121.3,131.69,17365300
2025-11-03,142.37,147.82,131.5,132.52,17283300
2025-11-04,129.05,139.88,128.01,132.52,17492400
2025-11-05,141.41,146.45,133.3,133.85,14957900
2025-11-06,136.86,144.42,133.83,141.01,10155300
2025-11-07,135.21,135.94,123.24,131.71,15642000
2025-11-10,139.23,147.86,135.51,141.97,10819600
2025-11-11,127.07,136.75,125.55,136.64,11211900
2025-11-12,126.72,131.01,118.64,130.34,10322400
