Date,Close,High,Low,Open,Volume
2025-05-12,286.68,286.83,281.13,282.89,5937400
2025-05-13,287.03,290.57,286.79,288.84,6711600
2025-05-14,288.59,293.86,287.12,291.33,7926200
2025-05-15,288.61,289.81,285.82,287.43,4635600
2025-05-16,288.99,290.01,287.57,288.93,3846000
2025-05-19,285.5,287.75,284.78,285.97,5781200
2025-05-20,285.93,286.3,283.1,285.96,4032300
2025-05-21,280.19,285.5,279.03,282.3,5689800
2025-05-22,281.32,284.23,278.95,280.41,6642700
2025-05-23,271.11,278.66,269.64,276.93,8887800
2025-05-27,275.14,276.52,268.29,271.15,10958000
2025-05-28,273.99,276.74,271.55,275.65,12758600
2025-05-29,264.94,265.81,252.61,261.64,28053100
2025-05-30,263.4,267.74,258.77,266.09,12388500
2025-06-02,259.68,261.84,257.22,261.16,9213500
2025-06-03,262.51,262.79,259.42,260.06,7838500
2025-06-04,261.22,263.53,259.68,262.23,7372500
2025-06-05,265.16,266.76,261.69,261.76,8642900
2025-06-06,272.48,272.86,266.22,267.97,7507000
2025-06-09,270.23,272.17,267.66,270.83,5728300
2025-06-10,266.23,271.72,264.86,270.05,6309700
2025-06-11,263.94,267.51,263.44,266.51,6568100
2025-06-12,264.93,267.03,261.45,262.74,8054000
2025-06-13,256.49,263.73,256.09,261.53,7659300
2025-06-16,261.93,262.02,258.03,258.46,7177000
2025-06-17,260.81,268.5,260.16,261.9,9110100
2025-06-18,257.99,263.53,255.97,263.26,7628000
2025-06-20,259.11,261.34,257.75,259.17,12859200
2025-06-23,261.87,263.2,257.24,259.12,9283800
2025-06-24,269.59,271.79,263.89,264.16,9713900
2025-06-25,266.2,272.4,265.42,270.41,6074300
2025-06-26,269.16,269.43,263.61,267.21,6708000
2025-06-27,271.83,272.57,267.86,270.27,21741400
2025-06-30,271.1,274.77,268.82,272.86,8541900
2025-07-01,270.32,272.4,269.06,270.49,6256800
2025-07-02,267.64,270.12,264.1,269.94,6115200
2025-07-03,270.56,273.13,267.75,268.13,5031800
2025-07-07,268.23,272.4,266.65,269.93,6283500
2025-07-08,272.05,275.19,268.16,269.21,6661200
2025-07-09,269.34,273.95,267.8,272.76,6373600
2025-07-10,262.43,269.91,261.67,269.32,7244600
2025-07-11,256.56,261.42,255.76,261.05,7011200
2025-07-14,258.17,260.7,256.0,257.09,6533900
2025-07-15,256.08,260.28,255.73,259.48,5201500
2025-07-16,256.45,257.47,253.04,257.42,5649500
2025-07-17,258.36,258.68,255.15,256.49,5837400
2025-07-18,260.85,261.45,257.61,258.78,6381200
2025-07-21,260.75,262.77,260.11,262.08,6714700
2025-07-22,262.05,264.34,260.47,261.47,5001400
2025-07-23,265.66,266.91,260.97,262.38,5620700
2025-07-24,266.14,267.73,264.09,266.42,5877100
2025-07-25,267.54,269.52,265.45,266.45,4015400
2025-07-28,268.67,268.76,265.03,267.93,4533700
2025-07-29,265.83,272.4,265.75,270.02,5137100
2025-07-30,263.27,266.21,261.79,265.31,3928200
2025-07-31,256.82,263.49,256.36,263.45,7340300
2025-08-01,249.28,254.5,248.67,253.5,7646900
2025-08-04,250.85,252.02,249.18,249.54,4403500
2025-08-05,246.05,251.81,245.57,251.53,6761000
2025-08-06,247.72,248.8,245.58,247.92,5834700
2025-08-07,239.47,251.53,235.59,249.23,10010200
2025-08-08,239.11,241.53,236.44,239.88,8812000
2025-08-11,231.32,240.46,230.22,237.53,10740100
2025-08-12,230.31,232.31,225.16,231.64,13178000
2025-08-13,235.65,235.97,228.27,231.65,10209200
2025-08-14,232.01,235.62,231.51,235.62,7544800
2025-08-15,241.03,243.07,233.26,234.77,12942800
2025-08-18,242.55,243.09,238.09,238.37,8809200
2025-08-19,244.56,247.05,242.03,243.57,8642200
2025-08-20,245.01,246.13,243.02,244.27,8195100
2025-08-21,244.4,244.85,238.62,243.61,5646800
2025-08-22,246.84,248.07,242.69,244.35,6694300
2025-08-25,246.42,247.92,245.35,247.92,4957700
2025-08-26,242.32,247.38,241.43,245.26,8862300
2025-08-27,248.7,248.91,244.18,244.32,6506900
2025-08-28,253.05,254.16,248.83,251.01,8461200
2025-08-29,254.76,256.14,251.39,253.91,7363200
