Date,Close,High,Low,Open,Volume
2025-05-12,42410.1,42418.05,41899.05,41899.05,653810000
2025-05-13,42140.43,42507.33,42132.04,42507.33,729860000
2025-05-14,42051.06,42254.75,41952.86,42150.09,660230000
2025-05-15,42322.75,42351.42,41777.98,41777.98,736430000
2025-05-16,42654.74,42663.68,42232.56,42356.2,621250000
2025-05-19,42792.07,42842.04,42337.71,42542.81,536830000
2025-05-20,42677.24,42800.04,42485.37,42735.11,441530000
2025-05-21,41860.44,42439.27,41785.22,42354.46,607900000
2025-05-22,41859.09,42090.42,41714.43,41763.68,476080000
2025-05-23,41603.07,41788.61,41354.09,41525.7,497060000
2025-05-27,42343.65,42350.66,41849.04,41849.04,501340000
2025-05-28,42098.7,42448.72,42042.26,42361.63,518840000
2025-05-29,42215.73,42266.0,41828.35,42190.02,665310000
2025-05-30,42270.07,42376.08,41906.16,42192.35,796200000
2025-06-02,42305.48,42317.0,41853.62,42199.94,454680000
2025-06-03,42519.64,42568.38,42186.44,42304.5,504410000
2025-06-04,42427.74,42645.0,42427.74,42574.13,409600000
2025-06-05,42319.74,42601.45,42211.69,42487.89,532850000
2025-06-06,42762.87,42924.56,42582.55,42631.82,414540000
2025-06-09,42761.76,42893.09,42567.55,42786.19,485780000
2025-06-10,42866.87,42925.94,42710.09,42738.27,446850000
2025-06-11,42865.77,43115.69,42738.62,42882.86,467260000
2025-06-12,42967.62,42970.4,42606.42,42737.36,455760000
2025-06-13,42197.79,42602.48,42081.09,42579.48,485930000
2025-06-16,42515.09,42707.73,42300.13,42300.13,467040000
2025-06-17,42215.8,42530.83,42132.65,42358.62,423070000
2025-06-18,42171.66,42510.07,42118.23,42236.03,485440000
2025-06-20,42206.82,42432.19,42089.99,42291.09,859840000
2025-06-23,42581.78,42609.47,41981.14,42178.55,496750000
2025-06-24,43089.02,43183.48,42794.08,42807.13,516060000
2025-06-25,42982.43,43130.33,42871.5,43130.33,527460000
2025-06-26,43386.84,43430.99,43084.07,43084.07,536710000
2025-06-27,43819.27,43966.37,43505.6,43505.6,921330000
2025-06-30,44094.77,44138.69,43889.16,44020.66,623630000
2025-07-01,44494.94,44604.15,44013.54,44061.49,593600000
2025-07-02,44484.42,44557.82,44354.01,44455.66,499870000
2025-07-03,44828.53,44885.83,44550.42,44565.75,346620000
2025-07-07,44406.36,44803.36,44160.32,44803.36,442350000
2025-07-08,44240.76,44436.96,44201.37,44378.58,445670000
2025-07-09,44458.3,44556.68,44225.88,44327.13,531790000
2025-07-10,44650.64,44775.47,44372.92,44427.75,452340000
2025-07-11,44371.51,44480.77,44275.25,44480.77,474090000
2025-07-14,44459.65,44472.13,44237.28,44346.15,410250000
2025-07-15,44023.29,44504.27,44002.39,44459.84,496270000
2025-07-16,44254.78,44260.19,43758.98,44152.74,450190000
