Date,Close,High,Low,Open,Volume
2025-05-12,47.94,54.43,47.24,54.17,14879500
2025-05-13,45.63,47.19,43.93,45.27,18298800
2025-05-14,48.27,48.73,45.49,45.6,8374700
2025-05-15,49.73,50.29,46.57,47.33,6505200
2025-05-16,50.4,51.88,49.1,49.95,6249600
2025-05-19,48.78,49.3,47.75,48.87,5521300
2025-05-20,49.04,50.53,48.67,48.78,4367400
2025-05-21,47.29,48.48,46.94,48.35,5738600
2025-05-22,38.01,40.5,37.59,37.8,30803200
2025-05-23,39.64,39.98,37.6,37.77,10168300
2025-05-27,40.22,40.8,39.5,40.15,6167300
2025-05-28,38.96,40.12,38.94,40.09,4880700
2025-05-29,39.24,39.9,38.6,39.46,6357900
2025-05-30,41.39,41.81,38.15,38.99,9516500
2025-06-02,41.32,41.72,40.34,41.39,5034900
2025-06-03,43.75,43.86,40.39,40.88,6100400
2025-06-04,43.16,44.14,42.8,44.07,4167900
2025-06-05,41.3,43.17,41.06,43.13,7286000
2025-06-06,41.18,41.96,41.01,41.68,6994700
2025-06-09,43.26,44.4,41.52,41.75,6755700
2025-06-10,45.08,46.4,43.95,44.84,6139100
2025-06-11,45.28,46.24,45.03,45.67,3956300
2025-06-12,44.7,45.84,44.02,45.55,3755300
2025-06-13,45.6,46.94,44.1,44.34,6456400
2025-06-16,45.93,46.62,44.36,46.5,6310800
2025-06-17,34.92,36.31,33.01,36.13,34627900
2025-06-18,36.38,36.74,34.72,34.82,14579500
2025-06-20,35.85,37.39,35.69,36.45,13064900
2025-06-23,34.56,36.21,34.46,35.84,8131100
2025-06-24,38.38,38.56,34.35,34.76,11605400
2025-06-25,38.11,38.76,36.6,38.3,9841600
2025-06-26,43.0,43.27,40.0,40.5,15876800
2025-06-27,40.88,42.88,39.38,42.48,12193400
2025-06-30,39.65,40.77,38.36,39.91,11507100
2025-07-01,40.91,42.85,38.56,39.81,12436200
2025-07-02,40.97,42.59,40.75,40.9,6690200
2025-07-03,42.57,43.89,41.52,41.56,7032100
2025-07-07,42.46,42.77,40.95,41.85,5969900
2025-07-08,40.94,41.61,39.21,40.42,9639400
2025-07-09,42.85,43.34,39.76,39.79,10322900
2025-07-10,42.97,43.65,42.46,42.93,4876400
2025-07-11,41.86,42.88,41.09,42.55,4969800
2025-07-14,41.98,43.24,41.46,41.99,5653300
2025-07-15,40.25,42.37,39.76,41.1,7465300
2025-07-16,39.03,40.67,38.82,40.58,6633200
2025-07-17,38.74,39.88,38.56,39.17,6687600
2025-07-18,39.58,39.89,38.66,39.09,6584400
2025-07-21,39.66,40.88,39.13,39.83,8711900
2025-07-22,42.5,43.25,39.97,40.17,18220100
2025-07-23,36.48,40.3,35.9,40.03,28643400
2025-07-24,35.52,37.27,35.03,36.65,10703800
2025-07-25,35.41,35.82,34.96,35.66,9321600
2025-07-28,34.95,35.95,34.52,35.79,6579600
2025-07-29,33.48,34.92,33.42,34.84,7021500
2025-07-30,33.4,34.3,32.86,33.41,7748100
2025-07-31,32.36,33.32,31.98,33.1,7546900
2025-08-01,31.43,32.93,31.13,32.45,7597200
2025-08-04,31.69,32.12,31.2,31.52,5741100
2025-08-05,31.91,32.35,31.25,31.76,4593700
2025-08-06,30.11,31.88,29.89,31.69,8119900
2025-08-07,31.79,32.18,30.65,31.13,10498700
2025-08-08,32.44,32.54,31.58,32.08,8055100
2025-08-11,32.57,34.3,32.35,33.44,7807800
2025-08-12,33.56,33.7,32.18,32.87,6678800
2025-08-13,34.22,34.77,32.86,33.25,6994100
2025-08-14,32.22,33.49,31.3,33.24,10133800
2025-08-15,34.84,37.07,32.21,32.21,20906400
2025-08-18,35.77,37.39,35.64,36.15,13654600
2025-08-19,36.23,36.96,35.4,35.74,9284100
2025-08-20,35.68,36.79,35.5,36.0,5392400
2025-08-21,34.58,36.09,34.04,35.75,6432900
2025-08-22,38.18,38.45,34.8,35.07,10315300
2025-08-25,38.23,38.48,37.25,37.6,5366700
2025-08-26,37.96,39.57,37.84,38.5,7133000
2025-08-27,37.56,38.42,37.4,37.65,4556200
2025-08-28,37.58,38.23,37.16,38.09,3874600
2025-08-29,37.7,38.7,37.19,37.6,4036800
2025-09-02,36.98,37.3,35.91,36.46,5709300
2025-09-03,37.08,38.02,37.04,37.04,4386800
2025-09-04,36.52,37.08,35.56,37.08,5562200
2025-09-05,39.65,39.85,37.3,37.3,10718100
2025-09-08,38.81,39.64,37.95,39.58,7661600
2025-09-09,37.94,39.47,36.88,38.92,9337300
2025-09-10,37.12,39.18,36.87,38.49,5559800
2025-09-11,37.32,39.09,37.11,37.25,6648600
2025-09-12,37.63,38.4,37.22,37.54,6466100
2025-09-15,37.98,38.62,37.0,37.86,6694700
2025-09-16,38.99,39.5,37.5,38.31,7011000
2025-09-17,38.72,40.86,38.12,39.12,8156800
2025-09-18,38.44,39.6,37.45,39.6,8642500
2025-09-19,38.42,39.02,37.52,38.42,41411900
2025-09-22,40.5,40.74,38.53,38.75,9081200
2025-09-23,37.36,41.28,37.28,41.28,9101500
2025-09-24,37.99,39.05,37.53,37.68,6014700
2025-09-25,37.08,37.16,36.11,37.1,6379000
2025-09-26,36.5,36.99,35.56,36.99,5254500
2025-09-29,36.08,36.91,35.88,36.76,6910300
2025-09-30,35.39,36.26,35.06,36.13,5887900
2025-10-01,37.01,37.39,35.88,35.94,6579800
2025-10-02,37.74,38.2,37.07,37.8,5043900
2025-10-03,36.8,38.68,36.63,37.59,5365500
2025-10-06,37.16,37.74,36.76,37.02,5463200
2025-10-07,36.27,37.9,36.15,37.57,5645000
2025-10-08,36.03,36.48,35.63,36.42,6198400
2025-10-09,36.71,39.22,36.17,36.2,9935300
2025-10-10,34.27,37.14,33.57,37.0,10034000
2025-10-13,34.82,35.85,34.57,34.85,5662300
2025-10-14,36.44,37.02,34.17,34.59,6739900
2025-10-15,37.54,39.55,37.05,37.44,8496800
2025-10-16,37.56,38.18,36.71,37.62,5821100
2025-10-17,36.56,37.19,36.03,37.11,5645400
2025-10-20,37.58,38.41,36.95,37.25,5142100
2025-10-21,37.09,38.05,36.84,37.87,4130600
2025-10-22,36.08,37.0,34.87,36.45,5653700
2025-10-23,35.64,35.95,34.69,35.21,5574800
2025-10-24,36.23,37.29,36.1,36.36,5645700
2025-10-27,36.81,37.55,36.23,37.01,6076400
2025-10-28,36.7,37.16,36.2,37.0,13887500
2025-10-29,31.14,33.44,30.81,31.7,26459500
