Date,Close,High,Low,Open,Volume
2025-05-12,157.91,158.55,155.71,156.95,44138800
2025-05-13,158.98,160.02,155.62,158.24,42382100
2025-05-14,164.8,166.42,159.06,159.41,48755900
2025-05-15,163.39,165.64,161.81,165.27,33146700
2025-05-16,165.62,168.76,165.05,167.15,42846900
2025-05-19,165.96,166.06,163.65,163.94,30426100
2025-05-20,163.41,167.92,162.34,165.85,46607700
2025-05-21,167.98,172.54,162.99,163.12,73416000
2025-05-22,170.28,176.16,170.12,171.26,74864400
2025-05-23,167.89,169.37,167.31,168.48,35211400
2025-05-27,172.3,172.57,169.41,169.57,37995700
2025-05-28,171.76,174.66,171.32,172.56,34784000
2025-05-29,171.27,173.82,170.04,173.4,29317300
2025-05-30,171.15,171.61,166.86,170.76,52639900
2025-06-02,168.45,169.28,166.81,167.26,38612300
2025-06-03,165.61,167.9,164.71,166.91,45084900
2025-06-04,167.47,167.64,165.79,166.16,26900800
2025-06-05,167.63,170.34,167.01,169.75,36379100
2025-06-06,173.08,173.9,170.24,170.24,35731800
2025-06-09,175.69,176.07,173.98,174.15,28935900
2025-06-10,178.2,180.7,174.52,175.8,61766100
2025-06-11,176.95,179.96,176.35,179.37,31646800
2025-06-12,175.3,176.32,174.36,175.78,20941900
2025-06-13,174.28,176.73,172.0,172.05,27663100
2025-06-16,176.37,176.54,174.26,174.34,27389200
2025-06-17,175.55,176.96,174.19,175.3,24973000
2025-06-18,172.93,176.16,172.81,175.61,28707500
2025-06-20,166.27,173.95,165.09,173.56,75659900
2025-06-23,164.82,166.96,161.64,165.9,57671000
2025-06-24,166.39,167.84,165.76,166.54,40524300
2025-06-25,170.3,171.97,167.17,167.25,35479000
2025-06-26,173.15,173.3,169.56,172.04,31796700
2025-06-27,178.13,178.28,171.34,173.15,108140200
2025-06-30,175.83,180.82,174.19,180.37,63378900
2025-07-01,175.44,175.69,173.14,175.34,35904500
2025-07-02,178.24,178.46,174.68,175.15,29128900
2025-07-03,179.13,179.27,176.65,178.1,21689700
2025-07-07,176.39,178.9,175.28,178.66,34175600
2025-07-08,173.97,177.55,172.42,177.45,40442500
2025-07-09,176.22,179.04,172.38,174.86,43025600
2025-07-10,177.22,178.03,173.99,175.24,29252400
2025-07-11,179.78,181.02,176.08,176.39,34282900
2025-07-14,181.15,183.26,179.28,180.6,32536600
2025-07-15,181.59,183.81,181.19,182.4,33448300
2025-07-16,182.56,183.92,181.62,182.83,33104200
2025-07-17,183.17,183.65,180.07,181.73,31992600
2025-07-18,184.64,186.0,183.3,184.98,34014500
2025-07-21,189.67,189.86,185.73,185.83,45803100
2025-07-22,190.91,191.22,187.04,191.07,44660200
2025-07-23,189.8,192.1,188.75,191.07,58681900
2025-07-24,191.74,197.5,190.57,196.59,74881700
2025-07-25,192.75,193.89,190.83,191.55,39785900
2025-07-28,192.15,193.61,190.41,193.21,38139500
2025-07-29,195.31,195.48,191.65,192.0,41389200
