Date,Close,High,Low,Open,Volume
2025-05-12,247.36,247.48,238.55,246.2,4609500
2025-05-13,252.14,253.11,246.57,248.08,3521400
2025-05-14,251.39,254.05,249.83,251.18,3634700
2025-05-15,260.03,260.76,252.16,252.55,4856300
2025-05-16,260.11,261.3,257.99,259.71,3817900
2025-05-19,261.72,262.43,258.47,258.83,3198600
2025-05-20,260.29,262.56,259.0,260.73,2437900
2025-05-21,254.36,259.02,253.92,258.36,3753900
2025-05-22,251.93,254.75,251.48,254.27,3091300
2025-05-23,252.18,253.39,249.41,252.13,2722600
2025-05-27,256.67,257.21,253.16,254.49,3284200
2025-05-28,253.75,258.39,253.46,256.6,2318400
2025-05-29,252.24,254.62,250.37,254.25,2295000
2025-05-30,252.6,253.63,250.69,252.3,9668900
2025-06-02,257.32,257.4,250.81,251.42,2831900
2025-06-03,258.59,258.94,256.03,256.78,2494700
2025-06-04,258.9,260.34,258.19,258.29,2588600
2025-06-05,260.2,260.84,258.49,258.59,2658400
2025-06-06,262.16,263.43,260.86,261.31,2495200
2025-06-09,265.29,266.65,260.06,261.41,4331500
2025-06-10,269.35,270.55,265.76,266.38,5163500
2025-06-11,274.5,274.72,268.25,269.8,4656000
2025-06-12,274.02,276.0,272.85,274.51,3418000
2025-06-13,270.31,272.86,268.95,271.27,3243800
2025-06-16,274.8,277.4,271.72,272.34,3685300
2025-06-17,275.99,277.69,273.99,274.14,3069600
2025-06-18,276.15,279.75,275.88,277.89,3534100
2025-06-20,273.96,277.03,270.29,272.32,7677000
2025-06-23,281.97,282.36,273.22,274.63,3786200
2025-06-24,286.46,287.0,281.22,283.22,4219100
2025-06-25,283.8,288.77,282.28,287.15,3862300
2025-06-26,284.65,285.61,282.93,284.52,3621100
2025-06-27,282.48,285.81,281.32,285.66,3562500
2025-06-30,287.43,287.46,282.77,283.67,3495400
2025-07-01,283.94,287.75,282.85,287.2,3272800
2025-07-02,280.48,282.95,279.75,282.77,3257500
2025-07-03,284.69,285.03,280.72,280.76,1853300
2025-07-07,285.18,287.86,283.12,285.21,4488100
2025-07-08,283.18,288.24,282.27,285.79,2925300
2025-07-09,282.9,284.33,281.43,284.12,2971300
2025-07-10,280.26,281.7,275.17,281.7,3487800
2025-07-11,276.52,280.26,275.86,277.9,3790700
2025-07-14,276.71,277.82,274.68,275.78,2857100
2025-07-15,275.65,277.06,273.73,276.69,2864100
2025-07-16,274.89,276.79,272.89,275.7,2804800
2025-07-17,274.97,276.39,273.89,274.48,3337200
2025-07-18,278.74,280.0,275.18,276.31,4478200
2025-07-21,277.61,280.55,277.29,279.15,3051800
2025-07-22,274.93,277.78,274.24,277.64,4824200
2025-07-23,274.98,280.9,274.42,277.21,8105900
2025-07-24,254.01,255.51,246.45,254.73,22647700
2025-07-25,253.24,254.3,249.96,253.54,7758700
2025-07-28,256.65,257.42,253.14,253.81,5192500
2025-07-29,255.87,259.17,254.51,257.71,4627300
2025-07-30,253.77,255.47,252.44,255.08,3718300
2025-07-31,246.84,253.51,245.93,253.1,6739100
2025-08-01,243.81,245.21,239.48,245.14,9683400
2025-08-04,245.7,245.79,241.92,244.79,5280600
2025-08-05,244.42,246.5,242.79,245.72,5823000
2025-08-06,245.99,247.98,243.06,245.26,3692100
2025-08-07,243.92,248.64,242.67,246.51,6251300
2025-08-08,237.83,244.9,237.22,244.31,6828400
2025-08-11,231.96,238.69,230.39,237.8,9382000
2025-08-12,230.46,233.59,229.08,232.19,8792800
2025-08-13,235.67,236.42,231.87,231.87,5663600
2025-08-14,232.76,234.62,231.3,233.88,4556700
2025-08-15,235.32,236.21,232.43,233.25,4344300
2025-08-18,235.06,236.99,234.73,235.17,3569600
2025-08-19,236.85,238.37,235.1,235.6,3328300
2025-08-20,238.1,238.42,235.93,237.67,3240100
2025-08-21,235.01,238.05,234.27,237.77,2991900
2025-08-22,237.65,239.21,235.81,236.32,3134900
2025-08-25,235.04,238.12,235.04,238.12,3513300
2025-08-26,238.18,240.49,235.97,236.6,5386600
2025-08-27,240.35,241.45,237.56,238.41,3698400
2025-08-28,241.22,241.37,238.9,240.93,2820800
2025-08-29,239.02,240.96,237.29,240.73,2967600
2025-09-02,237.07,237.12,233.88,236.48,3469500
2025-09-03,239.62,239.77,235.02,235.62,3163200
2025-09-04,242.65,244.71,238.39,240.92,4765100
2025-09-05,243.97,244.46,240.95,243.68,3147500
2025-09-08,251.39,252.43,242.49,244.07,6940300
2025-09-09,254.36,255.88,250.2,251.42,4931100
2025-09-10,252.17,255.31,249.89,254.89,5185400
2025-09-11,252.29,253.81,250.97,252.83,3576000
2025-09-12,248.79,252.53,247.8,252.24,3433300
2025-09-15,251.54,254.3,249.34,249.36,4028400
2025-09-16,252.8,253.27,249.74,251.56,2719900
2025-09-17,254.33,256.17,252.29,252.78,3974800
2025-09-18,260.14,260.36,252.09,254.11,4988400
2025-09-19,261.51,262.96,258.8,261.17,9858100
2025-09-22,266.39,267.31,261.12,261.73,5030500
2025-09-23,267.25,268.29,264.33,267.7,5394100
2025-09-24,262.62,268.63,262.4,267.62,3159900
2025-09-25,276.28,279.02,266.18,267.93,11506200
2025-09-26,279.09,283.55,274.97,275.36,9063900
2025-09-29,274.67,280.75,274.53,280.75,6022100
2025-09-30,276.98,280.77,275.37,275.73,5926900
2025-10-01,281.23,281.33,275.01,275.06,4381300
2025-10-02,281.46,283.25,277.6,280.55,3814200
2025-10-03,283.08,287.94,282.03,282.23,4375100
2025-10-06,284.11,286.1,282.52,283.32,2881900
2025-10-07,288.48,295.52,287.91,290.13,7190100
2025-10-08,284.15,288.8,281.21,288.76,5297000
2025-10-09,282.94,284.81,278.12,284.5,4912400
2025-10-10,272.72,285.06,272.41,283.67,4508500
2025-10-13,272.13,277.26,269.6,274.66,4333800
2025-10-14,271.08,272.44,267.55,270.47,3058100
2025-10-15,275.6,280.21,271.92,273.27,3346800
2025-10-16,270.91,277.38,270.54,275.95,2956900
2025-10-17,276.12,278.2,270.3,271.08,5309600
2025-10-20,278.45,280.26,275.81,276.09,3494300
2025-10-21,276.88,280.08,276.43,278.11,4081000
2025-10-22,282.24,283.86,276.19,276.82,10538500
2025-10-23,279.77,280.34,258.72,260.09,16676400
2025-10-24,301.82,305.05,277.03,278.56,16914200
2025-10-27,307.35,307.75,297.32,302.15,9868200
2025-10-28,306.84,313.49,305.7,306.86,6044800
2025-10-29,302.56,308.56,301.88,307.05,4135900
2025-10-30,304.37,307.99,299.42,301.02,4694300
2025-10-31,301.77,307.75,296.1,306.28,7697500
2025-11-03,299.14,306.41,298.65,302.35,4958000
2025-11-04,295.33,297.61,290.57,294.5,5677300
2025-11-05,301.14,301.56,294.21,295.85,4650400
2025-11-06,306.69,309.65,295.57,301.12,6818500
2025-11-07,300.76,304.31,297.08,304.0,5070800
2025-11-10,305.13,305.93,300.3,302.85,2975200
2025-11-11,309.66,313.8,304.44,305.0,4381900
2025-11-12,310.91,320.7,310.46,315.75,6042700
2025-11-13,300.92,310.53,299.75,308.25,5310200
2025-11-14,301.74,303.74,293.74,296.12,3592500
2025-11-17,293.33,302.04,292.67,301.64,3909700
2025-11-18,286.2,293.16,286.17,293.16,4861900
2025-11-19,284.8,287.34,284.34,286.74,3595900
2025-11-20,286.64,296.82,286.41,290.83,5597000
2025-11-21,293.59,296.59,288.11,289.68,5710900
2025-11-24,300.19,303.21,293.66,295.31,6050600
2025-11-25,300.54,302.04,293.22,300.2,2825300
2025-11-26,299.29,302.63,297.74,301.23,2196400
2025-11-28,304.59,305.18,299.67,300.13,1689000
2025-12-01,301.72,303.15,298.88,302.55,3166600
2025-12-02,297.88,306.45,297.67,303.03,4261100
2025-12-03,298.71,300.04,295.04,298.96,3953400
2025-12-04,304.01,305.61,298.63,298.96,2962500
2025-12-05,303.96,307.8,303.21,304.6,2344700
2025-12-08,305.18,311.27,303.97,305.62,3630200
2025-12-09,306.46,309.91,304.76,305.63,2935300
2025-12-10,308.63,310.62,302.68,306.22,3411500
2025-12-11,306.72,309.39,304.41,307.96,2755700
2025-12-12,305.24,307.03,299.41,306.55,2953400
2025-12-15,304.67,307.33,302.39,304.99,3566700
2025-12-16,299.26,303.4,296.53,303.35,3366900
2025-12-17,299.4,302.29,299.16,299.86,3131000
2025-12-18,296.56,300.51,291.88,299.23,5411700
2025-12-19,297.09,302.89,295.23,296.47,11031000
2025-12-22,298.87,299.26,294.46,297.14,2612100
2025-12-23,299.85,301.18,296.76,297.44,2923000
2025-12-24,300.62,301.2,298.39,299.83,1210600
2025-12-26,301.14,301.8,299.74,300.75,2814700
2025-12-29,301.79,305.99,299.82,300.71,4664500
2025-12-30,298.14,302.28,298.09,302.19,1883700
2025-12-31,292.38,297.95,292.04,297.86,3430100
2026-01-02,287.73,293.72,285.26,293.71,4662800
2026-01-05,291.15,295.32,290.44,291.94,4190000
2026-01-06,298.56,299.12,290.61,291.18,4147300
2026-01-07,292.89,300.37,292.52,298.59,2833300
2026-01-08,298.8,299.74,291.18,291.18,3343300
2026-01-09,300.29,303.03,298.09,298.7,2718800
2026-01-12,308.14,308.29,296.08,298.71,3895200
2026-01-13,299.24,308.76,297.97,307.57,4507800
2026-01-14,305.03,305.19,297.6,299.57,3779000
2026-01-15,294.1,307.85,293.2,305.0,4932500
2026-01-16,301.72,303.47,296.89,297.11,6199600
2026-01-20,287.58,297.7,286.41,297.45,7275500
2026-01-21,293.69,293.82,288.73,288.97,5185000
2026-01-22,290.86,297.04,289.73,295.55,3670200
2026-01-23,288.66,290.53,286.04,290.27,3298400
2026-01-26,292.5,292.98,289.35,289.37,3726900
2026-01-27,290.06,293.48,289.48,293.32,2954900
2026-01-28,290.36,292.12,287.49,290.37,5790300
2026-01-29,305.24,315.76,299.54,313.75,10124900
2026-01-30,302.73,303.8,295.85,303.62,5940700
2026-02-02,310.66,312.54,302.45,303.53,4581200
2026-02-03,290.5,308.93,280.18,308.36,11466500
2026-02-04,285.31,287.64,275.35,287.64,8708000
2026-02-05,286.14,288.04,281.41,282.4,5532800
2026-02-06,295.06,296.01,286.9,288.72,3744300
2026-02-09,292.51,293.87,287.65,292.08,4627800
2026-02-10,289.63,295.44,288.21,292.83,3837300
2026-02-11,270.82,291.36,270.37,290.2,7628200
2026-02-12,257.62,269.32,255.34,268.33,12565400
2026-02-13,260.46,262.73,254.76,258.1,6842600
2026-02-17,256.42,258.8,252.79,257.31,4929700
2026-02-18,258.88,259.2,254.38,256.75,3949200
2026-02-19,254.41,256.39,251.66,254.13,4948700
2026-02-20,255.28,257.15,251.95,253.34,4708600
2026-02-23,221.72,253.33,219.11,252.51,19522900
2026-02-24,227.64,234.86,222.0,226.14,13379800
2026-02-25,235.8,237.8,229.53,231.52,8569700
2026-02-26,240.24,245.68,237.2,237.96,7343100
2026-02-27,238.45,238.45,232.86,236.33,6642200
2026-03-02,237.62,239.02,232.07,233.98,6220300
2026-03-03,243.49,244.29,232.58,234.62,6960400
2026-03-04,248.23,249.02,243.17,243.95,6085000
2026-03-05,254.68,258.48,247.18,247.5,9894600
2026-03-06,256.96,257.5,250.37,254.57,6234400
2026-03-09,251.48,256.19,249.73,253.51,6126600
2026-03-10,248.37,251.59,244.75,251.41,4938000
2026-03-11,247.05,251.87,245.39,248.18,4008500
2026-03-12,245.87,248.22,243.85,245.29,5547700
2026-03-13,244.48,247.9,242.92,245.86,4338400
2026-03-16,247.43,250.36,244.3,246.06,5674200
2026-03-17,254.24,254.52,248.17,248.68,5840100
2026-03-18,249.76,256.39,248.33,252.3,5177000
2026-03-19,248.54,250.35,246.44,247.61,4249500
2026-03-20,240.0,248.45,240.0,247.18,11314100
2026-03-23,246.62,249.51,242.92,244.7,4972000
2026-03-24,238.83,245.3,236.26,244.65,4151500
2026-03-25,239.63,244.39,236.26,241.82,4207900
2026-03-26,239.9,244.87,238.05,238.8,3606800
2026-03-27,234.61,237.69,232.04,237.1,4853700
2026-03-30,235.52,238.45,234.4,236.06,3882600
2026-03-31,240.62,241.08,234.65,238.51,4750300
2026-04-01,241.36,244.46,238.39,240.35,4228700
2026-04-02,246.35,246.4,239.73,241.22,3350900
2026-04-06,244.94,247.08,242.95,246.33,3376000
2026-04-07,243.28,243.96,239.34,243.53,2356100
2026-04-08,239.97,248.17,239.04,246.81,4771500
2026-04-09,235.45,239.97,232.05,239.12,5078600
2026-04-10,229.07,237.52,228.83,237.44,5869400
2026-04-13,236.08,236.33,230.01,231.92,5349600
2026-04-14,238.51,239.78,236.38,237.01,3777300
2026-04-15,243.01,244.26,239.23,240.48,3879500
2026-04-16,249.17,249.38,244.33,246.93,4817500
2026-04-17,251.62,253.78,249.21,252.81,5671500
2026-04-20,251.86,256.61,250.71,253.14,5157700
2026-04-21,253.81,256.2,250.03,252.14,5584900
2026-04-22,250.02,255.66,245.4,252.65,12190200
2026-04-23,229.39,231.21,220.11,230.57,22297800
2026-04-24,230.29,231.1,223.36,230.24,9816900
2026-04-27,226.38,229.63,225.46,228.27,8060700
2026-04-28,231.34,231.85,226.79,228.82,5162900
2026-04-29,225.44,229.79,225.16,228.66,6443700
2026-04-30,229.29,229.91,223.26,224.87,6283300
2026-05-01,230.5,234.23,230.06,232.84,3582100
2026-05-04,227.8,232.38,226.95,230.3,4003100
2026-05-05,227.36,229.31,225.49,228.48,4221900
2026-05-06,224.09,227.33,222.74,227.08,7673200
2026-05-07,229.62,230.13,225.75,225.84,5485500
2026-05-08,229.76,230.71,224.83,229.73,5325800
2026-05-11,223.55,230.23,222.55,228.66,5435347
