Date,Close,High,Low,Open,Volume
2025-05-12,22.18,22.67,21.88,22.18,94578700
2025-05-13,22.56,22.88,22.3,22.36,76850400
2025-05-14,21.52,22.46,21.46,22.35,91584800
2025-05-15,21.55,21.63,21.19,21.23,66705500
2025-05-16,21.66,21.76,21.35,21.53,55795100
2025-05-19,21.38,21.56,21.05,21.18,64279100
2025-05-20,21.27,21.41,21.12,21.33,48497400
2025-05-21,20.69,21.63,20.59,21.19,62904700
2025-05-22,20.55,20.9,20.51,20.73,56077500
2025-05-23,20.05,20.27,19.94,20.16,68206100
2025-05-27,20.55,20.67,20.18,20.44,69504600
2025-05-28,20.37,20.64,20.33,20.57,46096500
2025-05-29,20.25,20.6,20.1,20.54,66372200
2025-05-30,19.55,20.26,19.31,20.26,114281900
2025-06-02,19.74,19.82,19.37,19.48,67885500
2025-06-03,20.29,20.41,19.4,19.75,80401900
2025-06-04,20.25,20.5,20.01,20.34,71166500
2025-06-05,19.99,20.55,19.85,20.27,72458400
2025-06-06,20.06,20.44,20.03,20.17,70072800
2025-06-09,20.48,20.96,20.22,20.22,92893900
2025-06-10,22.08,22.44,20.28,20.5,171457000
2025-06-11,20.68,21.83,20.38,21.78,146784500
2025-06-12,20.77,20.98,20.41,20.5,78175900
2025-06-13,20.14,20.6,20.1,20.33,87655900
2025-06-16,20.74,20.93,20.3,20.41,86745100
2025-06-17,20.8,21.48,20.62,20.63,87512200
2025-06-18,21.49,21.6,20.66,20.81,94200600
2025-06-20,21.08,21.89,20.88,21.7,133472800
2025-06-23,21.19,21.58,20.73,21.07,81461000
2025-06-24,22.55,22.69,21.33,21.34,130368700
2025-06-25,22.2,22.77,22.13,22.58,64975100
2025-06-26,22.5,22.62,22.21,22.4,63229300
2025-06-27,22.69,23.38,22.42,22.71,95542400
2025-06-30,22.4,22.97,22.27,22.97,77102400
2025-07-01,22.85,23.16,22.28,22.33,79094900
2025-07-02,21.88,22.77,21.52,22.53,138245300
2025-07-03,22.49,22.63,21.99,22.15,61176000
2025-07-07,22.0,22.39,21.86,22.21,80725200
2025-07-08,23.59,23.79,22.13,22.18,119545500
2025-07-09,23.44,23.53,23.13,23.29,70247700
2025-07-10,23.82,24.04,23.48,23.63,54599800
2025-07-11,23.43,23.66,23.16,23.56,49367900
2025-07-14,23.3,23.4,22.88,23.24,48420500
2025-07-15,22.92,23.78,22.9,23.57,66099400
2025-07-16,22.69,23.13,22.25,22.99,58865900
2025-07-17,22.8,23.05,22.59,22.66,49384000
2025-07-18,23.1,23.59,22.9,23.22,60195600
2025-07-21,23.26,23.83,23.16,23.4,61658000
2025-07-22,23.24,23.54,23.08,23.34,53969800
2025-07-23,23.49,23.62,22.92,23.26,68711700
2025-07-24,22.63,23.58,22.6,23.49,131963300
2025-07-25,20.7,21.05,20.36,20.68,245077700
2025-07-28,20.68,21.29,20.65,20.82,86105600
2025-07-29,20.41,20.85,20.34,20.69,100831500
2025-07-30,20.34,20.62,20.08,20.43,67420300
2025-07-31,19.8,20.23,19.66,20.17,90665200
2025-08-01,19.31,19.55,18.97,19.5,86496100
2025-08-04,19.5,19.59,19.35,19.52,69249400
2025-08-05,20.19,20.54,19.68,19.7,97338200
2025-08-06,20.41,20.48,19.87,20.12,67074200
2025-08-07,19.77,20.44,19.6,20.0,131382800
2025-08-08,19.95,20.02,19.61,20.0,75415000
2025-08-11,20.65,21.6,20.44,20.45,175545600
2025-08-12,21.81,21.86,20.76,21.2,134153600
2025-08-13,22.22,22.3,21.36,21.62,86024400
2025-08-14,23.86,24.2,21.9,21.99,188052500
2025-08-15,24.56,25.65,24.11,25.01,310161100
2025-08-18,23.66,24.9,23.21,24.0,212515600
2025-08-19,25.31,26.53,24.94,24.94,297659200
2025-08-20,23.54,24.93,23.33,24.9,161149400
2025-08-21,23.5,23.57,22.78,23.53,97718300
2025-08-22,24.8,25.23,23.65,23.65,200266800
2025-08-25,24.55,25.88,24.44,25.5,156825600
2025-08-26,24.35,24.74,24.1,24.58,78558200
2025-08-27,24.85,24.99,24.05,24.19,90934400
2025-08-28,24.93,25.14,24.61,24.96,60035100
2025-08-29,24.35,24.97,24.28,24.76,63734400
2025-09-02,24.21,24.24,23.68,23.88,57661800
2025-09-03,24.0,24.09,23.72,24.09,47822900
2025-09-04,24.61,24.64,23.75,23.85,59056500
2025-09-05,24.49,24.71,24.17,24.6,55975300
2025-09-08,24.48,24.74,24.12,24.48,51122100
2025-09-09,24.44,24.81,24.27,24.53,42146200
2025-09-10,24.77,24.87,24.28,24.42,61600700
2025-09-11,24.61,24.93,24.57,24.76,55536900
2025-09-12,24.08,24.63,24.05,24.61,52672800
2025-09-15,24.77,25.46,24.22,24.33,83951600
