Date,Close,High,Low,Open,Volume
2025-05-12,18708.34,18710.22,18472.71,18674.56,10717670000
2025-05-13,19010.09,19065.96,18745.5,18761.23,9242230000
2025-05-14,19146.81,19174.55,19023.61,19074.72,11744820000
2025-05-15,19112.32,19207.22,18967.78,19031.24,10546350000
2025-05-16,19211.1,19213.42,19038.48,19151.54,10509820000
2025-05-19,19215.46,19227.22,18937.42,18937.42,13080030000
2025-05-20,19142.71,19186.69,19015.63,19132.06,9047100000
2025-05-21,18872.64,19241.41,18799.2,19002.94,11112460000
2025-05-22,18925.74,19061.11,18840.34,18888.05,8289710000
2025-05-23,18737.21,18841.52,18599.69,18622.38,8730370000
2025-05-27,19199.16,19210.95,18961.69,19014.44,93974540000
2025-05-28,19100.94,19276.83,19084.38,19232.62,8087530000
2025-05-29,19175.87,19389.39,19091.54,19389.39,11016850000
2025-05-30,19113.77,19157.78,18847.74,19131.22,9042260000
2025-06-02,19242.61,19252.71,18985.3,19063.06,7779940000
2025-06-03,19398.96,19459.28,19224.7,19288.66,7990230000
2025-06-04,19460.49,19493.45,19359.09,19434.94,7695660000
2025-06-05,19298.45,19610.51,19226.22,19518.2,8782360000
2025-06-06,19529.95,19593.18,19464.84,19526.99,7291590000
2025-06-09,19591.24,19637.56,19531.1,19573.14,9538700000
2025-06-10,19714.99,19730.38,19539.09,19620.11,11221560000
2025-06-11,19615.88,19800.46,19551.35,19779.36,10214190000
2025-06-12,19662.49,19690.61,19553.56,19578.87,16308730000
2025-06-13,19406.83,19591.87,19367.42,19450.93,9001850000
2025-06-16,19701.21,19733.31,19550.75,19550.75,9619130000
2025-06-17,19521.09,19666.56,19485.44,19627.08,8519930000
2025-06-18,19546.27,19660.77,19489.56,19526.92,7818790000
2025-06-20,19447.41,19696.11,19380.58,19639.41,9969140000
2025-06-23,19630.97,19643.7,19334.98,19427.01,9088000000
2025-06-24,19912.53,19946.72,19795.29,19809.62,8330090000
2025-06-25,19973.55,20052.78,19918.08,20013.95,8256120000
2025-06-26,20167.91,20187.15,19982.48,20062.19,8383380000
2025-06-27,20273.46,20311.51,20095.05,20217.26,10951070000
2025-06-30,20369.73,20418.31,20266.36,20360.15,8220420000
2025-07-01,20202.89,20339.05,20105.41,20290.61,8631710000
2025-07-02,20393.13,20397.22,20181.74,20184.37,8378750000
2025-07-03,20601.1,20624.51,20480.22,20497.66,6177910000
2025-07-07,20412.52,20511.82,20323.02,20490.55,8345710000
2025-07-08,20418.46,20480.89,20377.36,20466.93,8437480000
2025-07-09,20611.34,20645.41,20486.38,20522.09,9978310000
2025-07-10,20630.66,20655.39,20495.14,20636.48,9781380000
2025-07-11,20585.53,20647.97,20509.75,20562.88,8135800000
2025-07-14,20640.33,20672.34,20492.63,20592.56,8010060000
2025-07-15,20677.8,20836.04,20670.58,20822.76,8399060000
2025-07-16,20730.49,20751.05,20507.06,20717.81,9056640000
2025-07-17,20885.65,20911.83,20735.55,20760.32,9994550000
2025-07-18,20895.65,20980.56,20846.12,20959.57,9354580000
2025-07-21,20974.18,21077.37,20957.44,20960.33,12046970000
2025-07-22,20892.69,20985.34,20750.9,20982.21,10583710000
2025-07-23,21020.02,21023.85,20870.67,20966.47,10972770000
2025-07-24,21057.96,21113.1,21001.68,21083.82,12741070000
2025-07-25,21108.32,21159.8,21036.85,21059.94,11028310000
2025-07-28,21178.58,21202.18,21122.12,21176.4,10612580000
2025-07-29,21098.29,21303.96,21081.69,21286.72,10040610000
2025-07-30,21129.67,21230.88,21016.92,21140.4,9311770000
2025-07-31,21122.45,21457.48,21078.67,21457.48,9917220000
2025-08-01,20650.13,20865.63,20560.17,20830.64,9667420000
2025-08-04,21053.58,21055.24,20833.86,20853.91,7355970000
2025-08-05,20916.55,21138.72,20893.29,21092.1,7982940000
2025-08-06,21169.42,21183.88,20937.49,20955.22,8580020000
2025-08-07,21242.7,21408.15,21090.05,21325.01,8979190000
2025-08-08,21450.02,21464.53,21284.97,21316.37,8669200000
2025-08-11,21385.4,21549.73,21346.62,21459.65,9099730000
2025-08-12,21681.9,21689.68,21386.25,21507.44,8382820000
2025-08-13,21713.14,21803.75,21645.14,21764.55,8763080000
2025-08-14,21710.67,21766.29,21627.13,21649.21,9110860000
2025-08-15,21622.98,21716.18,21567.46,21709.34,8158830000
2025-08-18,21629.77,21651.5,21559.33,21616.82,8260970000
2025-08-19,21314.95,21610.24,21277.71,21607.45,8461660000
2025-08-20,21172.86,21269.67,20905.99,21269.67,7810310000
2025-08-21,21100.31,21198.76,21013.53,21112.52,6530580000
2025-08-22,21496.54,21545.43,21092.36,21139.83,9401300000
2025-08-25,21449.29,21572.18,21400.09,21466.47,8443200000
2025-08-26,21544.27,21550.93,21389.1,21443.63,9087930000
2025-08-27,21590.14,21616.17,21476.3,21526.33,8040510000
2025-08-28,21705.16,21742.46,21534.94,21619.27,7807080000
2025-08-29,21455.55,21631.15,21397.98,21630.33,7715430000
2025-09-02,21279.63,21293.69,21033.05,21086.57,8183410000
2025-09-03,21497.73,21553.98,21370.98,21461.63,7488290000
2025-09-04,21707.69,21711.96,21469.4,21539.91,7282150000
2025-09-05,21700.39,21878.81,21534.72,21860.44,8413730000
2025-09-08,21798.7,21885.62,21776.24,21806.22,8435850000
2025-09-09,21879.49,21891.42,21731.48,21858.17,7877410000
2025-09-10,21886.06,22000.97,21810.84,21980.6,9090550000
2025-09-11,22043.07,22059.71,21908.81,21977.52,10025020000
2025-09-12,22141.1,22182.34,22031.62,22078.63,9023140000
2025-09-15,22348.75,22352.25,22233.0,22243.2,8904030000
2025-09-16,22333.96,22397.5,22308.78,22397.5,8592240000
2025-09-17,22261.33,22339.54,22058.92,22333.02,9325980000
2025-09-18,22470.72,22540.93,22358.48,22439.11,10478450000
2025-09-19,22631.48,22645.11,22497.71,22554.31,14632360000
2025-09-22,22788.98,22801.9,22590.86,22606.59,9736270000
2025-09-23,22573.47,22785.13,22539.04,22782.72,9822620000
2025-09-24,22497.86,22657.45,22397.0,22656.02,9184030000
2025-09-25,22384.7,22456.78,22185.87,22318.77,9960330000
2025-09-26,22484.07,22488.18,22285.44,22403.27,8488400000
2025-09-29,22591.15,22704.9,22536.05,22605.3,9046720000
2025-09-30,22660.01,22671.39,22493.96,22580.36,8928070000
2025-10-01,22755.16,22782.58,22516.74,22530.95,10043980000
2025-10-02,22844.05,22900.6,22729.75,22885.9,9633200000
2025-10-03,22780.51,22925.43,22695.82,22886.16,10515730000
2025-10-06,22941.67,22991.72,22827.56,22894.35,10468830000
2025-10-07,22788.36,23006.07,22718.76,22972.37,10375920000
2025-10-08,23043.38,23045.14,22845.42,22852.32,10925520000
2025-10-09,23024.63,23062.62,22899.16,23045.33,10713200000
2025-10-10,22204.43,23119.91,22193.07,23043.52,11635030000
2025-10-13,22694.61,22718.75,22499.49,22578.67,9018770000
2025-10-14,22521.7,22691.07,22213.73,22388.04,9776720000
2025-10-15,22670.08,22841.69,22427.79,22738.5,11374850000
2025-10-16,22562.54,22886.87,22404.69,22764.4,11343620000
2025-10-17,22679.97,22736.01,22396.65,22489.81,9552150000
2025-10-20,22990.54,23031.87,22841.0,22844.82,9440620000
2025-10-21,22953.67,23010.35,22894.42,22984.55,10845130000
2025-10-22,22740.4,22978.4,22514.08,22940.79,14361150000
2025-10-23,22941.8,22983.46,22732.18,22751.33,10363600000
2025-10-24,23204.87,23261.26,23127.96,23143.23,10308620000
2025-10-27,23637.46,23658.66,23493.96,23537.32,10757830000
2025-10-28,23827.49,23901.36,23675.19,23766.46,10640830000
2025-10-29,23958.47,24019.99,23763.99,23987.29,10089540000
2025-10-30,23581.14,23846.13,23578.47,23793.08,10564160000
2025-10-31,23724.96,23946.23,23628.82,23941.78,10909250000
2025-11-03,23834.72,23976.84,23764.87,23951.91,10360170000
2025-11-04,23348.64,23644.15,23333.32,23458.21,10227700000
2025-11-05,23499.8,23636.53,23286.87,23358.07,10026890000
2025-11-06,23053.99,23469.55,23011.06,23461.29,11085130000
2025-11-07,23004.54,23009.91,22563.42,22892.92,10141910000
2025-11-10,23527.17,23569.62,23290.05,23354.85,9297320000
2025-11-11,23468.3,23508.44,23315.28,23407.72,7756810000
2025-11-12,23406.46,23564.09,23278.3,23563.84,8449920000
2025-11-13,22870.36,23264.27,22796.07,23262.64,11351410000
2025-11-14,22900.59,23073.18,22436.79,22544.72,10841540000
2025-11-17,22708.07,23044.55,22559.51,22788.32,9744800000
2025-11-18,22432.85,22643.01,22231.15,22565.9,8606260000
2025-11-19,22564.23,22821.24,22385.22,22459.27,8434200000
2025-11-20,22078.05,23147.33,22043.2,23057.0,10548620000
2025-11-21,22273.08,22531.84,21898.29,22162.83,9931240000
2025-11-24,22872.01,22916.4,22478.27,22482.16,9232160000
2025-11-25,23025.59,23070.09,22587.11,22802.85,8498500000
2025-11-26,23214.69,23280.58,23074.39,23163.19,7291400000
2025-11-28,23365.69,23365.79,23250.51,23291.59,4541070000
2025-12-01,23275.92,23363.85,23110.21,23172.34,7859560000
2025-12-02,23413.67,23526.23,23286.46,23379.75,7588580000
2025-12-03,23454.09,23499.93,23271.83,23315.58,7962730000
2025-12-04,23505.14,23528.53,23372.33,23527.3,7456860000
2025-12-05,23578.13,23680.03,23506.0,23567.77,8248280000
2025-12-08,23545.9,23698.93,23455.05,23638.22,8533670000
2025-12-09,23576.49,23616.46,23449.73,23504.61,7192600000
2025-12-10,23654.15,23704.08,23435.17,23536.0,7987900000
2025-12-11,23593.86,23606.7,23308.95,23509.22,8337770000
2025-12-12,23195.17,23554.89,23094.51,23488.87,8724070000
2025-12-15,23057.41,23345.56,23012.0,23330.04,8649240000
2025-12-16,23111.46,23162.6,22920.66,22981.82,7759960000
2025-12-17,22693.32,23159.2,22692.0,23135.61,8616140000
2025-12-18,23006.36,23149.61,22906.23,23012.06,7977920000
2025-12-19,23307.62,23307.91,23106.19,23121.9,12874560000
2025-12-22,23428.83,23476.5,23362.93,23450.53,7244910000
2025-12-23,23561.84,23563.46,23377.49,23407.7,7518190000
2025-12-24,23613.31,23621.72,23527.97,23555.95,3885190000
2025-12-26,23593.1,23665.15,23567.86,23645.91,5170300000
2025-12-29,23474.35,23531.02,23397.52,23414.68,6527530000
2025-12-30,23419.08,23521.05,23414.83,23465.67,6769300000
2025-12-31,23241.99,23445.26,23237.78,23420.85,5895130000
2026-01-02,23235.63,23585.96,23119.49,23481.49,7331460000
2026-01-05,23395.82,23476.51,23332.23,23449.67,8737320000
2026-01-06,23547.17,23559.15,23389.57,23446.96,9012640000
2026-01-07,23584.28,23723.37,23504.21,23544.89,8396920000
2026-01-08,23480.02,23558.17,23353.46,23548.88,7723140000
2026-01-09,23671.35,23721.15,23426.48,23496.21,8124420000
2026-01-12,23733.9,23804.04,23562.97,23576.88,8707170000
2026-01-13,23709.87,23813.3,23607.59,23735.12,9416400000
2026-01-14,23471.75,23590.2,23306.66,23563.92,12165220000
2026-01-15,23530.02,23721.11,23502.18,23693.97,9740630000
2026-01-16,23515.39,23664.26,23446.81,23639.69,9514500000
2026-01-20,22954.32,23236.05,22916.83,23142.69,9469480000
2026-01-21,23224.82,23383.24,22927.88,23017.68,9162740000
2026-01-22,23436.02,23503.16,23335.15,23440.71,9034850000
2026-01-23,23501.24,23610.74,23374.26,23440.92,8228760000
2026-01-26,23601.36,23688.94,23486.08,23529.28,7505250000
2026-01-27,23817.1,23865.26,23694.38,23734.75,8026050000
2026-01-28,23857.45,23988.27,23775.49,23965.11,8151580000
2026-01-29,23685.12,23840.55,23232.78,23830.92,8782210000
2026-01-30,23461.82,23662.25,23351.55,23578.96,9255930000
2026-02-02,23592.11,23686.83,23356.4,23370.54,8882530000
2026-02-03,23255.19,23691.6,23027.21,23667.44,10306320000
2026-02-04,22904.58,23270.07,22684.51,23217.02,10862000000
2026-02-05,22540.59,22841.28,22461.14,22604.02,10109230000
2026-02-06,23031.21,23088.46,22586.4,22625.3,9054400000
2026-02-09,23238.67,23314.67,22878.37,22952.24,8174050000
2026-02-10,23102.47,23310.73,23089.1,23271.22,8513440000
2026-02-11,23066.47,23320.62,22902.01,23278.29,9927010000
2026-02-12,22597.15,23161.6,22548.02,23142.87,8855290000
2026-02-13,22546.67,22742.06,22402.38,22561.46,7964830000
2026-02-17,22578.38,22690.83,22256.76,22394.76,7654300000
2026-02-18,22753.63,22895.96,22597.77,22629.85,7705590000
2026-02-19,22682.73,22768.83,22583.61,22639.88,6984780000
2026-02-20,22886.07,22948.87,22539.05,22542.28,8063070000
2026-02-23,22627.27,22893.22,22547.12,22840.97,8263920000
2026-02-24,22863.68,22895.48,22528.26,22641.6,7932270000
2026-02-25,23152.08,23169.68,23004.69,23005.01,8427450000
2026-02-26,22878.38,23109.46,22670.8,23100.58,9033470000
2026-02-27,22668.21,22735.78,22538.3,22615.43,9552610000
2026-03-02,22748.86,22802.8,22306.08,22322.12,8303030000
2026-03-03,22516.69,22601.59,22124.78,22292.37,9705500000
