Date,Close,High,Low,Open,Volume
2025-05-12,26.2,27.25,25.3,26.0,17356240
2025-05-13,26.5,26.9,25.8,26.35,11800940
2025-05-14,27.6,28.5,26.5,26.6,14006380
2025-05-15,26.9,27.65,26.5,27.2,9403000
2025-05-16,28.4,28.7,27.0,27.1,12235920
2025-05-19,26.8,27.8,26.1,27.4,14280060
2025-05-20,29.6,30.0,26.9,27.05,19982120
2025-05-21,27.7,29.6,27.5,29.3,14398180
2025-05-22,26.6,27.7,26.4,27.6,11417790
2025-05-23,25.6,26.1,25.2,26.1,8656950
2025-05-27,26.4,26.6,25.3,26.4,10063670
2025-05-28,26.3,27.0,26.0,27.0,7323830
2025-05-29,24.1,26.5,23.7,26.3,26196120
2025-05-30,22.3,23.9,22.1,23.9,25918060
2025-06-02,22.0,22.6,21.2,22.6,20171700
2025-06-03,21.9,22.35,21.6,22.0,16596600
2025-06-04,22.3,22.5,21.3,22.0,12386070
2025-06-05,21.3,22.1,20.8,22.1,25286140
2025-06-06,21.5,21.9,21.2,21.6,13052840
2025-06-09,22.3,22.7,21.6,21.65,14883690
2025-06-10,21.9,22.6,21.8,22.6,9664530
2025-06-11,21.8,22.4,21.5,22.05,11326110
2025-06-12,21.6,21.8,21.3,21.6,6599660
2025-06-13,21.0,21.7,21.0,21.25,10293080
2025-06-16,21.5,22.7,21.3,21.3,13931020
2025-06-17,21.5,22.4,21.4,21.5,14330570
2025-06-18,22.2,22.4,21.4,21.65,9265900
2025-06-20,21.9,22.9,21.6,22.35,12170340
2025-06-23,21.6,22.1,21.2,21.7,16373530
2025-06-24,21.7,22.2,21.6,22.0,10620900
2025-06-25,21.4,22.0,21.3,21.85,14024730
2025-06-26,22.0,22.3,21.3,21.6,14717760
2025-06-27,21.2,22.1,21.0,22.0,20074060
2025-06-30,21.1,21.7,21.0,21.4,10402810
2025-07-01,20.3,21.1,19.8,21.0,21292060
2025-07-02,20.5,20.7,20.1,20.4,12261620
2025-07-03,21.6,22.3,20.6,20.7,21139470
2025-07-07,21.1,21.3,20.6,21.25,13735290
2025-07-08,23.0,23.6,21.1,21.15,21619430
2025-07-09,22.8,23.8,22.6,22.9,13921110
2025-07-10,23.3,23.4,22.5,22.9,9793660
2025-07-11,22.9,23.5,22.7,23.2,8525670
2025-07-14,22.7,23.1,22.5,22.9,7494100
2025-07-15,23.3,23.7,22.8,22.8,9086450
2025-07-16,22.9,23.4,22.3,23.35,7974520
2025-07-17,31.2,33.7,28.3,30.0,94068340
2025-07-18,30.4,32.1,28.7,30.1,29446440
2025-07-21,28.2,31.2,27.6,30.6,24268130
2025-07-22,31.3,31.5,27.5,27.6,25931610
2025-07-23,30.8,33.1,30.4,31.55,18151140
2025-07-24,29.9,30.7,29.1,30.4,9327400
2025-07-25,29.2,30.1,28.6,29.82,7518850
2025-07-28,27.9,29.6,27.7,29.4,7655630
2025-07-29,25.6,27.8,25.4,27.7,11922730
2025-07-30,25.0,25.9,24.7,25.5,11196400
2025-07-31,24.6,25.3,24.6,25.0,6524890
2025-08-01,24.2,24.4,23.2,23.8,9196910
2025-08-04,24.1,24.85,23.9,24.85,7263600
2025-08-05,24.2,24.7,23.9,24.7,9077580
2025-08-06,21.85,22.6,21.6,22.4,13652330
2025-08-07,21.7,22.2,21.5,22.05,6116170
2025-08-08,21.3,21.8,21.3,21.7,6887210
2025-08-11,21.9,22.7,21.4,21.55,11729450
2025-08-12,22.7,22.9,21.7,22.1,7500210
2025-08-13,23.4,23.5,22.2,22.9,7055880
2025-08-14,22.5,23.4,22.4,22.9,4029390
2025-08-15,21.8,22.7,21.8,22.6,5436110
2025-08-18,21.8,22.3,21.6,22.05,5582600
2025-08-19,21.3,22.1,21.2,21.9,6374150
2025-08-20,20.9,21.4,20.6,21.3,7885940
2025-08-21,20.9,21.1,20.7,21.0,5200890
2025-08-22,20.3,21.0,19.8,20.5,14507420
2025-08-25,20.8,21.1,20.2,20.35,7875500
2025-08-26,21.1,21.9,20.8,20.9,8714790
2025-08-27,20.8,21.5,20.7,21.15,7118880
2025-08-28,20.7,21.1,20.3,20.8,8344920
2025-08-29,19.8,20.8,19.7,20.6,12997360
2025-09-02,17.66,19.41,17.36,18.93,21813800
2025-09-03,16.78,18.48,16.76,17.81,23414200
2025-09-04,16.16,16.67,15.25,16.66,24281100
2025-09-05,18.41,18.74,16.3,16.34,33386900
2025-09-08,18.44,18.58,17.65,18.0,11496800
2025-09-09,19.39,19.65,18.35,18.35,13441600
2025-09-10,19.44,19.95,19.13,19.33,7666200
2025-09-11,19.9,20.29,19.36,19.5,8926300
2025-09-12,19.27,19.76,18.8,19.68,7605900
2025-09-15,19.84,20.0,19.1,19.42,6899700
2025-09-16,19.72,20.4,19.62,19.81,6951300
2025-09-17,20.36,21.4,19.44,19.67,14043300
2025-09-18,20.5,20.93,20.37,20.52,6632500
2025-09-19,21.1,21.2,20.21,20.5,7979200
2025-09-22,22.44,22.45,20.74,21.08,9807500
2025-09-23,22.24,23.93,22.23,22.47,13959400
2025-09-24,22.98,23.5,21.91,22.63,9248700
2025-09-25,23.04,23.52,22.1,22.46,8625800
2025-09-26,23.96,24.53,23.0,23.12,12387800
2025-09-29,24.11,24.49,23.73,24.16,9197200
2025-09-30,23.79,24.43,23.08,24.07,7688200
2025-10-01,24.3,24.36,23.76,23.88,11891700
2025-10-02,24.1,24.89,23.58,24.35,8409900
2025-10-03,24.77,25.07,23.65,24.14,11207200
2025-10-06,24.02,25.23,23.91,24.82,7562800
2025-10-07,22.01,23.78,21.5,23.76,14351500
2025-10-08,22.52,22.6,21.66,21.9,10055100
2025-10-09,21.69,22.3,21.26,22.24,7483400
2025-10-10,20.98,22.19,20.94,21.71,8437700
2025-10-13,21.39,21.57,20.93,21.15,5276400
2025-10-14,21.92,22.35,20.66,21.1,6708300
2025-10-15,21.67,22.42,21.26,22.08,6014300
2025-10-16,20.53,21.85,20.52,21.6,6292100
2025-10-17,19.63,20.61,19.6,20.44,8375000
2025-10-20,19.89,20.16,19.63,19.88,5209600
2025-10-21,19.69,20.31,19.64,19.85,6408500
2025-10-22,18.5,19.81,18.23,19.65,8890600
2025-10-23,18.65,19.28,18.36,18.57,7514500
2025-10-24,18.48,19.05,18.46,18.91,7713000
2025-10-27,18.1,18.75,18.1,18.66,7136600
2025-10-28,18.11,19.48,17.72,18.11,20515300
2025-10-29,18.02,19.25,17.85,19.0,16267800
2025-10-30,17.53,17.91,17.43,17.82,7328200
2025-10-31,17.75,17.94,17.49,17.6,6746700
2025-11-03,16.64,17.72,16.47,17.72,12250900
2025-11-04,16.36,16.78,16.16,16.33,7374700
