Date,Close,High,Low,Open,Volume
2025-05-12,28.38,28.48,27.71,28.17,7229700
2025-05-13,27.96,28.11,27.68,28.0,3666200
2025-05-14,28.72,28.75,28.36,28.68,3775300
2025-05-15,28.55,28.59,28.1,28.33,2271600
2025-05-16,28.82,29.03,28.71,28.76,1978900
2025-05-19,28.34,28.37,27.98,28.2,1816100
2025-05-20,28.25,28.56,28.16,28.39,1610300
2025-05-21,29.12,29.73,28.38,29.26,9548900
2025-05-22,28.67,28.83,28.41,28.71,3568400
2025-05-23,28.91,28.92,28.44,28.69,2313500
2025-05-27,28.24,28.45,28.09,28.33,3772700
2025-05-28,27.9,28.19,27.67,27.89,3774400
2025-05-29,28.49,29.35,27.97,28.02,8539500
2025-05-30,28.34,28.58,28.06,28.45,3122600
2025-06-02,27.82,28.03,27.65,27.92,3228200
2025-06-03,29.51,29.88,29.27,29.68,7238300
2025-06-04,29.46,29.92,29.44,29.52,4365400
2025-06-05,29.27,29.66,29.12,29.62,3222700
2025-06-06,29.52,29.58,29.24,29.5,3248400
2025-06-09,30.15,30.55,29.98,30.5,6225600
2025-06-10,29.08,29.58,28.74,29.58,5516400
2025-06-11,29.4,29.76,29.29,29.51,2967900
2025-06-12,28.87,29.24,28.83,28.84,2345000
2025-06-13,27.76,28.03,27.64,28.0,2960700
2025-06-16,28.2,28.74,28.18,28.18,2747700
2025-06-17,26.94,27.64,26.8,27.6,4282900
2025-06-18,26.42,26.53,26.18,26.51,2944100
2025-06-20,26.01,26.45,25.88,26.45,3803300
2025-06-23,28.08,28.16,27.18,27.23,7057300
2025-06-24,28.53,28.67,28.15,28.46,3268800
2025-06-25,28.11,28.45,27.88,28.42,2061100
2025-06-26,28.01,28.6,28.0,28.5,5838600
2025-06-27,27.47,27.48,26.8,27.24,4892600
2025-06-30,27.11,27.41,26.97,27.06,4822800
2025-07-01,26.83,26.98,26.57,26.57,4024400
2025-07-02,26.14,26.5,25.65,26.5,6846300
2025-07-03,25.94,26.41,25.81,26.09,2791000
2025-07-07,26.74,27.35,26.59,27.09,6714300
2025-07-08,26.98,27.26,26.8,26.95,3466800
2025-07-09,27.18,27.25,26.61,26.83,3637700
2025-07-10,27.2,27.4,26.97,27.3,3603000
2025-07-11,27.66,28.43,27.55,27.55,11003800
2025-07-14,28.65,28.84,28.24,28.4,4990500
2025-07-15,28.91,28.95,28.3,28.71,2213700
2025-07-16,29.4,29.41,28.61,28.91,4797600
2025-07-17,31.36,31.78,30.75,31.19,9236200
2025-07-18,31.8,32.03,31.56,31.76,5869100
2025-07-21,30.5,31.36,30.42,31.29,5306700
2025-07-22,30.84,31.06,30.55,30.71,2775300
2025-07-23,30.42,31.06,30.33,30.86,2523100
2025-07-24,29.59,30.12,29.48,30.1,3623200
2025-07-25,29.58,29.64,29.28,29.49,1922100
2025-07-28,29.19,29.6,29.08,29.5,2906900
2025-07-29,27.38,31.1,27.0,30.97,23704200
2025-07-30,26.45,26.72,26.32,26.62,6081500
2025-07-31,26.1,26.57,25.64,26.14,6298400
2025-08-01,25.24,25.49,25.02,25.25,4796800
