Date,Close,High,Low,Open,Volume
2025-05-12,637.44,638.4,619.1,628.96,21965100
2025-05-13,653.99,658.86,640.83,643.53,18570800
2025-05-14,657.31,660.61,652.28,659.15,12348200
2025-05-15,641.88,655.27,636.59,652.25,14341800
2025-05-16,638.35,638.45,624.2,635.98,18519000
2025-05-19,638.44,641.0,625.85,626.3,9592400
2025-05-20,635.12,637.36,630.29,634.03,6743500
2025-05-21,633.52,644.6,628.21,629.83,11464600
2025-05-22,634.59,641.25,628.75,632.08,8228400
2025-05-23,625.11,630.48,620.71,622.06,8454100
2025-05-27,640.32,641.08,630.78,633.43,9508400
2025-05-28,641.58,648.86,640.55,640.6,9042900
2025-05-29,643.04,651.29,637.51,649.62,8858800
2025-05-30,645.48,647.39,630.81,640.5,16241000
2025-06-02,668.81,671.17,642.26,642.39,15766300
2025-06-03,664.78,673.48,662.96,669.36,11585000
2025-06-04,685.81,686.86,666.49,667.24,14031900
2025-06-05,682.49,692.22,680.13,689.51,13083100
2025-06-06,695.54,700.62,689.72,694.0,11728000
2025-06-09,691.9,703.0,691.78,696.29,12773200
2025-06-10,700.22,701.04,689.41,699.17,10850100
2025-06-11,691.98,706.67,689.84,701.52,9582500
2025-06-12,691.2,693.22,684.86,691.14,7322700
2025-06-13,680.75,692.41,678.89,685.81,9274400
2025-06-16,700.47,705.49,691.89,697.69,13720300
2025-06-17,695.6,704.32,694.43,700.36,10066100
2025-06-18,694.14,699.95,693.27,696.54,10068300
2025-06-20,680.75,700.18,677.08,699.11,22538600
2025-06-23,696.89,697.41,677.16,682.09,11080100
2025-06-24,710.53,711.52,700.46,703.24,13823200
2025-06-25,707.02,714.9,703.73,711.65,9320400
2025-06-26,724.39,726.51,709.38,712.69,13964800
2025-06-27,731.91,733.71,724.16,724.82,18775700
2025-06-30,736.36,746.15,732.53,742.81,15402100
2025-07-01,717.53,736.02,713.69,735.15,13431200
2025-07-02,711.9,718.61,711.13,713.65,9336700
2025-07-03,717.33,727.32,712.75,724.91,8601700
2025-07-07,716.67,725.3,711.84,715.92,9457100
2025-07-08,718.98,721.22,713.14,719.88,7770700
2025-07-09,731.06,735.8,721.03,721.03,11418000
2025-07-10,725.54,734.08,717.91,729.84,9913600
2025-07-11,715.83,723.46,708.04,720.81,10873900
2025-07-14,719.23,726.29,714.87,715.92,8939400
2025-07-15,708.73,722.77,708.16,722.2,11529500
2025-07-16,701.26,712.3,697.63,711.7,13067600
2025-07-17,699.77,704.25,695.48,702.74,11803300
2025-07-18,702.63,703.06,690.03,700.54,12779800
2025-07-21,711.3,715.32,704.11,705.14,9404400
2025-07-22,703.16,714.92,699.77,714.51,8921100
2025-07-23,711.91,712.96,703.28,704.71,8771600
2025-07-24,713.13,721.92,712.33,715.37,10920800
2025-07-25,711.01,718.96,710.23,715.24,8271700
2025-07-28,715.95,723.04,711.01,713.52,8715700
2025-07-29,698.36,722.77,698.27,718.31,13267000
2025-07-30,693.58,706.84,689.58,706.43,27077300
2025-07-31,771.63,782.91,763.72,773.38,38831100
2025-08-01,748.25,764.21,743.56,758.95,19028700
2025-08-04,774.55,775.03,756.63,758.22,15801700
2025-08-05,761.67,781.3,761.21,774.63,11640300
2025-08-06,770.18,771.83,758.68,768.2,9733900
2025-08-07,760.05,773.18,757.77,771.68,9019700
2025-08-08,767.5,768.1,756.8,760.96,7320800
2025-08-11,764.08,771.65,762.88,768.28,7612000
2025-08-12,788.15,791.81,770.62,771.19,14563100
2025-08-13,778.25,793.6,776.41,789.3,8811800
2025-08-14,780.3,785.96,770.7,776.06,8116200
2025-08-15,783.39,794.38,778.99,782.31,13375400
2025-08-18,765.57,773.99,754.79,773.27,16513700
2025-08-19,749.72,765.37,747.6,765.32,12286700
2025-08-20,745.97,748.44,729.29,745.82,11898200
2025-08-21,737.37,743.75,731.39,742.97,8876300
2025-08-22,753.02,755.13,732.67,737.5,10612700
2025-08-25,751.53,757.1,748.37,753.05,6861200
2025-08-26,752.33,753.1,746.19,749.04,7601800
2025-08-27,745.63,752.38,741.1,750.54,8315400
2025-08-28,749.35,751.29,739.06,742.26,7468000
2025-08-29,736.97,745.39,733.63,743.53,9070500
2025-09-02,733.39,734.28,720.04,724.34,9350900
2025-09-03,735.32,738.52,732.27,734.28,7699300
2025-09-04,746.9,759.38,744.07,746.82,11439100
2025-09-05,750.69,756.17,743.28,750.86,9663400
2025-09-08,750.54,764.71,750.26,754.23,13087800
2025-09-09,763.91,764.5,751.66,755.72,10999000
2025-09-10,750.22,763.91,749.24,763.34,12478300
2025-09-11,749.14,755.33,746.62,752.88,7923300
2025-09-12,753.82,755.79,742.02,746.98,8248600
2025-09-15,762.91,772.26,750.23,755.7,10533800
2025-09-16,777.17,779.53,763.31,765.2,11782500
2025-09-17,773.9,781.45,764.51,778.16,9400900
2025-09-18,778.42,786.93,771.55,778.92,10955000
2025-09-19,776.56,788.95,767.39,784.58,23696800
2025-09-22,763.88,784.42,763.19,780.54,11706900
2025-09-23,754.14,769.31,749.82,767.97,10872600
2025-09-24,759.39,759.84,751.27,756.24,8828200
2025-09-25,747.66,755.51,743.31,752.19,10591100
2025-09-26,742.51,750.67,736.12,748.75,9696300
2025-09-29,742.16,749.53,737.92,747.47,9246800
2025-09-30,733.15,741.73,725.09,741.01,16226800
2025-10-01,716.14,720.64,709.01,720.29,20419600
2025-10-02,725.84,726.55,716.94,721.37,11415300
2025-10-03,709.37,729.78,708.99,728.41,16154300
2025-10-06,714.47,715.68,689.36,704.01,21654700
2025-10-07,711.89,717.3,704.57,716.52,12062900
2025-10-08,716.64,718.45,706.63,712.26,10790600
2025-10-09,732.29,732.29,711.25,717.08,12717200
2025-10-10,704.12,734.04,703.33,729.7,16980100
2025-10-13,714.51,718.74,706.46,711.82,9251800
2025-10-14,707.47,714.36,698.16,706.6,8829800
2025-10-15,716.35,722.69,708.33,715.86,10246800
2025-10-16,710.88,724.28,702.7,716.35,9017000
2025-10-17,715.72,717.34,704.94,705.9,12232400
2025-10-20,730.95,732.54,718.98,719.99,8900200
2025-10-21,732.05,737.27,727.53,734.79,7647300
2025-10-22,732.19,739.36,722.82,732.6,8734500
2025-10-23,732.77,741.17,731.88,733.47,9856000
2025-10-24,737.13,739.97,729.93,735.56,9151300
2025-10-27,749.57,754.49,746.76,748.48,11321100
2025-10-28,750.19,757.13,744.28,751.37,12193800
2025-10-29,750.41,757.89,741.27,753.49,26818600
2025-10-30,665.36,679.82,649.08,668.03,88440100
2025-10-31,647.27,673.76,644.49,673.38,56953200
2025-11-03,636.65,658.23,635.12,654.9,33003600
2025-11-04,626.27,640.67,624.96,626.99,27356600
2025-11-05,634.89,641.16,625.49,631.25,20219900
2025-11-06,617.91,634.94,616.97,634.79,23628800
2025-11-07,620.67,621.09,600.2,615.46,29946800
2025-11-10,630.71,633.94,617.08,630.04,19245000
2025-11-11,626.03,628.51,618.36,626.95,13302200
2025-11-12,607.99,627.94,606.76,627.08,24493300
2025-11-13,608.87,616.62,601.99,612.05,20973800
2025-11-14,608.44,612.66,594.21,600.79,20724100
2025-11-17,601.0,610.67,594.41,608.02,16501300
2025-11-18,596.69,602.65,582.81,590.61,25500600
2025-11-19,589.33,594.34,580.28,592.73,24744700
2025-11-20,588.17,605.71,582.38,602.49,20603000
2025-11-21,593.26,597.12,580.89,587.52,21052600
2025-11-24,612.03,615.67,596.63,597.72,23554900
2025-11-25,635.16,635.99,617.27,622.96,25213000
2025-11-26,632.55,637.29,630.58,636.63,15209500
2025-11-28,646.87,646.97,634.44,635.02,11033200
2025-12-01,639.8,644.24,636.7,638.48,13029900
2025-12-02,646.02,646.79,637.0,641.27,11640900
2025-12-03,638.53,647.77,636.49,643.33,11134300
2025-12-04,660.43,674.97,658.95,674.87,29874600
2025-12-05,672.3,673.56,661.28,662.89,21207900
2025-12-08,665.69,675.58,663.96,668.22,13161000
2025-12-09,655.86,663.37,652.25,662.66,12997100
2025-12-10,649.04,653.42,642.33,648.86,16910900
2025-12-11,651.62,654.19,639.73,642.22,13056700
2025-12-12,643.15,709.81,637.54,648.72,14016900
2025-12-15,646.96,652.44,638.15,645.15,15549100
2025-12-16,656.59,661.97,642.65,642.95,14309100
2025-12-17,648.94,660.66,648.64,655.05,15598500
2025-12-18,663.88,669.99,655.9,656.47,20260300
2025-12-19,658.21,670.43,657.62,665.85,49977100
2025-12-22,660.93,673.0,656.09,661.08,15659400
2025-12-23,664.37,665.43,657.69,659.49,8486800
2025-12-24,666.98,667.61,661.63,661.96,5627500
2025-12-26,662.72,668.38,660.75,667.49,7133800
2025-12-29,658.13,659.69,653.83,657.45,8506500
2025-12-30,665.38,671.64,657.28,658.13,9187500
2025-12-31,659.53,664.43,658.88,664.18,7940400
2026-01-02,649.85,663.82,642.95,662.16,13726500
2026-01-05,658.23,663.97,647.2,650.45,12213700
2026-01-06,660.05,664.95,651.34,659.01,11074400
2026-01-07,648.14,658.59,644.26,655.08,12846300
2026-01-08,645.51,646.55,635.18,645.33,11921700
2026-01-09,652.5,654.39,642.3,644.89,11634900
2026-01-12,641.42,653.41,640.68,651.97,14797200
2026-01-13,630.55,641.72,623.57,641.72,18030400
2026-01-14,614.99,627.91,614.29,625.96,15527900
2026-01-15,620.27,623.64,613.7,617.95,13076100
2026-01-16,619.72,628.54,619.55,623.65,17012500
2026-01-20,603.6,610.88,599.49,607.36,15169600
2026-01-21,612.44,617.74,599.57,606.22,14494700
2026-01-22,647.08,660.0,626.01,628.81,21394700
2026-01-23,658.2,665.92,643.9,644.22,22797700
