Date,Close,High,Low,Open,Volume
2025-05-12,64.33,64.93,63.01,64.55,20383100
2025-05-13,65.3,66.86,64.23,64.87,19733700
2025-05-14,65.72,66.74,64.77,66.47,11472600
2025-05-15,65.02,65.78,63.77,64.92,9962500
2025-05-16,63.59,64.96,63.33,64.92,18712900
2025-05-19,62.39,62.8,60.48,60.94,20323500
2025-05-20,61.25,61.25,59.64,60.79,22326200
2025-05-21,59.95,62.28,59.52,60.79,14022800
2025-05-22,61.68,62.69,59.16,59.25,16653100
2025-05-23,60.53,61.13,59.84,59.99,17443200
2025-05-27,63.65,65.34,62.29,62.77,25511700
2025-05-28,64.42,65.72,64.33,64.63,23421200
2025-05-29,63.56,67.41,63.16,67.18,38742400
2025-05-30,60.03,60.82,58.45,60.64,48347500
2025-06-02,61.3,62.13,59.37,59.59,18270300
2025-06-03,62.19,63.34,60.99,61.86,19286600
2025-06-04,66.12,66.85,61.69,62.87,26990200
2025-06-05,64.98,67.41,64.64,67.09,23426600
2025-06-06,68.17,69.59,66.13,66.79,22926300
2025-06-09,68.95,71.05,68.77,69.28,19351800
2025-06-10,68.65,70.39,67.88,69.74,14948700
2025-06-11,68.06,70.05,67.46,69.2,13885500
2025-06-12,69.45,69.87,67.59,67.76,11862600
2025-06-13,67.01,68.78,66.79,67.88,14159800
2025-06-16,70.23,71.09,67.86,68.34,19706100
2025-06-17,69.8,72.55,68.98,70.03,25313400
2025-06-18,74.75,77.44,73.53,74.33,55359800
2025-06-20,73.31,77.11,73.1,76.85,46009100
2025-06-23,70.59,72.98,68.99,72.79,26862100
2025-06-24,75.01,75.24,71.72,72.19,26999800
2025-06-25,75.73,76.28,74.4,76.16,19426700
2025-06-26,79.75,80.9,77.24,78.82,37440600
2025-06-27,76.95,78.79,76.2,78.64,27254000
2025-06-30,77.19,78.23,76.5,78.19,17072900
2025-07-01,76.03,77.57,74.84,76.52,16702100
2025-07-02,74.05,78.88,73.58,75.98,39388500
2025-07-03,74.98,75.14,73.93,74.63,10218000
2025-07-07,71.36,74.61,71.26,74.23,22050900
2025-07-08,71.76,73.3,71.61,72.13,16356800
2025-07-09,72.07,73.29,71.11,72.31,18453500
2025-07-10,73.16,73.36,71.2,72.2,11542400
2025-07-11,72.57,73.04,71.98,72.43,10136000
2025-07-14,72.37,72.81,70.35,71.97,12029400
2025-07-15,72.27,73.87,71.98,73.61,15683100
2025-07-16,70.72,70.89,67.87,70.0,26477200
2025-07-17,71.87,72.99,69.99,70.97,15030000
2025-07-18,74.51,75.12,71.02,72.21,16914800
2025-07-21,72.92,73.41,72.06,73.35,15595300
2025-07-22,71.85,73.01,70.17,72.83,12192300
2025-07-23,73.13,73.57,72.1,72.43,11239000
2025-07-24,73.9,73.98,72.25,73.53,10641400
2025-07-25,74.07,74.41,72.96,73.86,9830300
2025-07-28,75.77,76.44,74.52,75.01,13267400
2025-07-29,76.2,78.61,75.83,76.26,14717200
2025-07-30,81.59,85.11,80.42,82.95,45527600
2025-07-31,80.22,83.09,79.47,82.59,26433200
2025-08-01,74.31,77.01,73.28,76.93,28877000
2025-08-04,76.39,76.75,74.68,75.56,11882900
2025-08-05,76.49,77.85,74.82,76.77,11920800
2025-08-06,75.18,76.31,73.84,75.94,14469700
2025-08-07,75.71,77.1,74.05,76.36,14628000
2025-08-08,77.19,77.24,75.47,76.06,9971300
2025-08-11,77.13,79.86,77.04,77.8,11843600
2025-08-12,77.66,77.82,74.7,76.21,15547900
2025-08-13,79.17,79.91,77.88,78.25,11740200
2025-08-14,78.89,79.48,77.19,77.88,10127800
2025-08-15,76.05,79.27,76.03,79.27,13212900
2025-08-18,76.6,76.94,75.15,75.94,10192500
2025-08-19,71.93,76.3,71.67,76.26,16963400
2025-08-20,71.09,71.69,68.41,71.6,19895200
2025-08-21,71.08,71.86,69.92,70.33,9854100
2025-08-22,72.86,74.59,70.55,71.21,14435900
2025-08-25,72.81,73.74,72.12,72.85,10057700
2025-08-26,74.12,75.0,72.85,72.85,12302300
2025-08-27,74.65,74.89,73.68,74.06,11373500
2025-08-28,77.08,77.93,74.92,75.78,36895300
2025-08-29,62.75,65.37,62.5,64.41,96830800
2025-09-02,64.48,64.54,61.69,61.84,36275600
2025-09-03,62.19,64.4,61.6,63.93,34297300
2025-09-04,63.98,64.41,61.32,62.02,27726400
2025-09-05,63.21,64.47,62.35,63.86,25793100
2025-09-08,65.88,66.01,62.95,63.5,24466600
2025-09-09,66.71,67.31,65.07,65.74,17226000
2025-09-10,66.97,68.39,66.55,67.79,23751400
2025-09-11,66.46,68.07,66.24,66.87,13912400
2025-09-12,67.22,67.62,66.02,67.42,14868600
2025-09-15,67.3,67.98,66.21,67.32,17340800
2025-09-16,68.73,69.05,67.23,67.71,15931000
2025-09-17,70.85,72.27,68.23,68.73,29593100
2025-09-18,74.09,74.86,72.35,72.61,28894800
2025-09-19,74.12,75.23,73.18,74.61,31788100
2025-09-22,75.39,75.79,73.21,73.21,20037700
2025-09-23,74.48,76.21,73.88,75.25,21403700
2025-09-24,79.94,81.57,74.93,76.82,50429500
2025-09-25,83.65,84.3,76.18,77.96,43286000
2025-09-26,83.01,83.71,81.39,82.31,26715100
2025-09-29,82.24,84.93,82.17,83.53,20468300
2025-09-30,83.91,84.27,81.25,81.55,18751700
2025-10-01,83.73,83.95,81.2,82.25,20038400
2025-10-02,86.04,87.15,84.27,84.91,21698700
2025-10-03,86.06,87.11,84.92,86.12,15679200
2025-10-06,88.75,90.08,88.08,88.68,20580500
2025-10-07,86.81,90.72,85.87,88.8,17609500
2025-10-08,92.33,92.5,87.46,88.22,20451000
2025-10-09,90.51,92.48,90.35,91.77,14868400
2025-10-10,85.51,94.54,85.26,92.86,30545700
2025-10-13,89.28,89.76,86.53,89.36,20563500
2025-10-14,86.11,88.71,85.23,86.69,15447600
2025-10-15,88.78,89.35,86.48,88.06,15202200
2025-10-16,88.12,91.09,86.92,89.6,12988900
2025-10-17,87.84,88.84,85.61,86.72,13244000
2025-10-20,85.74,88.61,85.35,86.53,16137500
2025-10-21,84.16,85.83,83.0,85.59,13242100
2025-10-22,80.95,83.47,78.96,81.13,19218600
2025-10-23,82.67,83.35,80.43,80.9,10335800
2025-10-24,84.03,85.69,82.6,83.78,11661400
2025-10-27,88.6,89.27,85.1,85.94,16331600
2025-10-28,88.35,89.87,87.68,88.85,13029300
2025-10-29,90.04,91.4,88.94,90.65,13399900
2025-10-30,88.46,90.35,88.25,89.17,11903800
2025-10-31,93.63,97.45,90.85,93.29,29320800
2025-11-03,90.26,94.72,89.9,93.28,14308700
2025-11-04,87.48,90.73,87.11,87.65,13630000
2025-11-05,92.79,95.27,88.04,88.22,17194500
2025-11-06,93.22,98.01,92.31,96.09,28022500
2025-11-07,90.81,92.07,85.01,91.57,20898700
2025-11-10,93.12,94.35,92.09,93.06,14570700
2025-11-11,89.22,92.56,88.41,91.92,13538500
2025-11-12,89.22,92.76,88.76,90.45,11846700
2025-11-13,87.41,88.34,84.61,87.48,17226600
2025-11-14,86.34,88.89,83.23,84.37,12414100
2025-11-17,83.35,86.61,81.76,85.33,16548600
2025-11-18,78.58,81.65,78.34,80.37,23426900
2025-11-19,81.22,81.79,78.68,78.99,13688200
2025-11-20,76.59,84.34,75.99,83.3,23315900
2025-11-21,77.36,78.82,73.53,76.67,16211000
2025-11-24,83.69,84.48,77.9,78.39,23945100
2025-11-25,83.33,83.71,80.43,82.4,11667900
2025-11-26,87.61,89.2,83.93,84.49,15019100
2025-11-28,89.29,89.42,84.42,85.8,11235600
2025-12-01,90.99,92.63,88.19,89.03,18143400
2025-12-02,92.78,93.75,91.35,92.55,38231100
2025-12-03,100.08,101.99,95.67,99.92,52833700
2025-12-04,98.07,102.64,97.06,99.29,23981800
2025-12-05,98.79,102.51,97.19,100.28,22219900
2025-12-08,91.89,92.68,88.81,90.34,40731000
2025-12-09,88.79,91.58,87.93,91.48,23037400
2025-12-10,92.36,92.74,90.04,91.22,22573600
2025-12-11,89.32,91.63,87.4,90.87,16593500
2025-12-12,84.33,88.89,83.79,87.52,21576300
2025-12-15,84.16,85.75,83.57,84.77,11953300
2025-12-16,83.97,84.35,82.13,83.48,9483800
2025-12-17,81.6,87.07,81.08,86.39,16662700
2025-12-18,84.37,84.93,82.55,84.38,12732100
2025-12-19,83.99,86.11,83.6,83.95,21722200
2025-12-22,84.7,87.24,84.35,86.47,9871000
2025-12-23,87.57,87.94,84.19,84.3,12334100
2025-12-24,86.38,87.66,86.0,87.14,5335300
2025-12-26,86.23,87.09,85.87,86.99,5001000
2025-12-29,85.66,86.0,84.1,85.23,9677700
2025-12-30,86.65,87.99,85.62,85.66,9583000
2025-12-31,84.88,86.81,84.84,86.69,7234100
2026-01-02,89.28,89.97,86.49,86.63,14987500
2026-01-05,90.12,93.86,88.01,92.91,21328400
2026-01-06,88.12,94.09,86.66,92.59,24322700
2026-01-07,84.54,86.43,83.49,86.41,17230800
2026-01-08,83.35,84.82,82.78,84.6,10695900
2026-01-09,83.18,84.41,82.15,83.99,13486300
2026-01-12,82.85,83.71,82.04,82.38,10146600
2026-01-13,83.01,84.02,82.71,83.47,9133500
2026-01-14,81.17,82.96,79.23,82.92,15295700
2026-01-15,80.34,82.9,79.96,82.68,16593500
2026-01-16,80.42,82.44,80.26,81.41,15011200
2026-01-20,79.76,83.44,78.98,79.27,18688000
2026-01-21,82.51,84.25,80.36,80.36,17134300
2026-01-22,83.06,85.31,82.7,84.43,12997600
2026-01-23,80.19,81.98,79.68,81.18,13924600
2026-01-26,81.73,83.4,79.52,79.78,12464600
2026-01-27,82.89,83.7,81.26,82.83,11307900
2026-01-28,83.58,85.43,82.66,84.54,10311000
2026-01-29,81.3,82.4,78.26,81.9,13944900
2026-01-30,78.88,81.66,78.14,80.01,12581400
