Date,Close,High,Low,Open,Volume
2025-05-12,445.85,445.96,436.44,442.55,22821900
2025-05-13,445.73,447.25,441.98,444.38,23618800
2025-05-14,449.5,450.45,444.74,444.74,19902800
2025-05-15,450.51,453.56,447.83,448.17,21992300
2025-05-16,451.65,451.74,446.14,449.44,23849800
2025-05-19,456.22,456.94,448.2,448.28,21336500
2025-05-20,455.52,455.69,451.7,452.96,15441800
2025-05-21,449.96,455.14,449.2,451.94,19216900
2025-05-22,452.23,457.59,451.28,452.32,18025600
2025-05-23,447.58,451.07,446.32,447.38,16883500
2025-05-27,458.03,458.29,453.49,453.84,20974300
2025-05-28,454.72,459.85,454.29,458.56,17086300
2025-05-29,456.03,459.05,452.68,458.88,13974800
2025-05-30,457.7,459.01,452.91,457.06,34770500
2025-06-02,459.3,459.44,454.25,454.5,16626500
2025-06-03,460.3,461.46,458.2,458.8,15743800
2025-06-04,461.19,463.0,460.35,461.32,14162700
2025-06-05,464.98,466.94,461.35,462.27,20131700
2025-06-06,467.66,470.61,466.07,467.37,15285600
2025-06-09,470.02,470.7,465.91,466.99,16469900
2025-06-10,468.2,470.07,464.26,468.47,15375900
2025-06-11,469.89,472.72,466.95,467.31,16399200
2025-06-12,476.1,477.65,470.79,472.28,18950600
2025-06-13,472.22,476.41,470.03,473.66,16814500
2025-06-16,476.37,477.91,472.26,472.47,15626100
2025-06-17,475.28,475.97,471.34,472.65,15414100
2025-06-18,477.47,478.22,471.72,475.24,17526500
2025-06-20,474.64,480.67,474.12,479.44,37576200
2025-06-23,483.19,484.93,469.78,475.45,24864000
2025-06-24,487.28,489.01,483.99,486.13,22305600
2025-06-25,489.43,491.7,486.56,489.2,17495100
2025-06-26,494.58,495.16,489.96,490.13,21578900
2025-06-27,493.08,496.42,490.18,494.68,34539200
2025-06-30,494.54,497.87,492.47,494.17,28369000
2025-07-01,489.21,495.17,488.14,493.6,19945400
2025-07-02,488.25,490.65,485.88,487.16,16319600
2025-07-03,495.96,497.24,490.59,490.96,13984800
2025-07-07,494.85,495.87,492.37,494.51,13981600
2025-07-08,493.75,495.32,491.26,494.37,11846600
2025-07-09,500.6,503.85,496.85,497.41,18659500
2025-07-10,498.58,501.53,494.88,500.14,16492100
2025-07-11,500.41,502.11,494.92,495.59,16459500
2025-07-14,500.11,501.06,498.14,498.62,12058800
2025-07-15,502.9,505.36,499.89,500.11,14927200
2025-07-16,502.7,503.79,498.99,502.26,15154400
2025-07-17,508.74,510.4,502.7,502.76,17503100
2025-07-18,507.1,511.67,504.5,511.51,21209700
2025-07-21,507.11,509.13,502.63,503.78,14066800
2025-07-22,502.35,508.25,502.35,508.02,13868600
2025-07-23,502.95,503.86,497.81,503.82,16396600
2025-07-24,507.93,510.7,504.37,505.83,16107000
2025-07-25,510.74,515.3,507.41,509.51,19125700
2025-07-28,509.54,512.03,507.17,511.11,14308000
2025-07-29,509.61,514.63,508.61,512.55,16469200
2025-07-30,510.28,512.97,506.5,512.19,26380400
2025-07-31,530.42,552.24,528.83,552.02,51617300
2025-08-01,521.08,532.71,517.85,531.91,28977600
2025-08-04,532.55,535.14,525.08,525.22,25349000
2025-08-05,524.7,534.2,524.19,534.08,19171600
2025-08-06,521.91,528.63,521.0,527.83,21355700
2025-08-07,517.83,525.04,514.56,523.76,16079100
2025-08-08,519.02,521.63,516.41,519.58,15531000
2025-08-11,518.76,524.54,516.72,519.28,20194400
2025-08-12,526.18,527.91,519.68,520.73,18667000
2025-08-13,517.57,529.62,516.37,529.04,19619200
2025-08-14,519.46,522.91,517.14,519.54,20269100
2025-08-15,517.17,523.06,516.08,519.75,25213300
2025-08-18,514.11,519.8,511.05,518.58,23760600
2025-08-19,506.83,512.18,505.61,512.03,21481000
2025-08-20,502.8,508.05,501.53,506.93,27723000
2025-08-21,502.15,505.53,500.64,501.6,18443300
2025-08-22,505.13,508.62,500.33,502.16,24324200
2025-08-25,502.17,506.09,502.03,504.53,21638600
2025-08-26,499.96,502.89,496.45,502.27,30835700
2025-08-27,504.64,505.19,497.83,499.92,17277900
2025-08-28,507.53,508.97,503.41,504.99,18015600
2025-08-29,504.59,507.49,502.4,506.55,20961600
2025-09-02,503.03,503.9,494.75,498.4,18128000
2025-09-03,503.26,505.69,500.24,501.7,16345100
2025-09-04,505.87,506.05,501.07,502.21,15509500
2025-09-05,492.95,509.85,490.33,506.96,31994800
2025-09-08,496.14,499.12,492.98,496.05,16771000
2025-09-09,496.35,500.17,495.64,499.35,14410500
2025-09-10,498.3,501.15,494.66,500.9,21611800
2025-09-11,498.94,501.09,495.82,500.17,18881600
2025-09-12,507.79,510.43,501.76,504.55,23624900
2025-09-15,513.23,513.34,504.9,506.68,17143800
2025-09-16,506.93,515.09,506.49,514.74,19711900
2025-09-17,507.91,509.17,503.83,508.51,15816600
2025-09-18,506.34,510.95,505.56,509.37,18913700
2025-09-19,515.79,517.15,508.2,508.45,52474100
2025-09-22,512.32,515.6,510.42,513.45,20009300
2025-09-23,507.12,512.46,505.21,511.67,19799600
2025-09-24,508.04,510.36,504.82,508.27,13533700
2025-09-25,504.93,507.9,502.95,506.2,15786500
2025-09-26,509.34,511.81,504.52,507.95,16213100
2025-09-29,512.47,514.71,506.77,509.38,17617800
2025-09-30,515.81,516.01,507.55,511.11,19728200
2025-10-01,517.56,518.35,509.57,512.67,22632300
2025-10-02,513.6,519.44,508.57,515.5,21222900
2025-10-03,515.21,518.33,512.87,514.96,15112300
2025-10-06,526.38,528.83,516.05,516.46,21388600
2025-10-07,521.81,527.61,519.28,526.1,14615200
2025-10-08,522.68,524.77,520.92,521.11,13363400
2025-10-09,520.24,522.16,515.26,520.18,18343600
2025-10-10,508.84,521.41,507.52,517.49,24133800
2025-10-13,511.92,514.27,509.56,514.27,14284200
2025-10-14,511.44,513.15,503.9,508.12,14684300
2025-10-15,511.3,515.05,507.89,512.83,14694700
2025-10-16,509.49,514.71,506.03,510.46,15559600
2025-10-17,511.45,513.35,505.21,506.93,19867800
2025-10-20,514.65,516.55,511.3,512.48,14665600
2025-10-21,515.52,516.54,510.92,515.36,15586200
2025-10-22,518.38,523.05,515.57,518.99,18962700
2025-10-23,518.4,521.78,516.46,520.3,14023500
2025-10-24,521.44,523.17,518.55,520.63,15532400
2025-10-27,529.32,532.37,526.82,529.58,18734700
2025-10-28,539.83,551.43,538.53,547.72,29986700
2025-10-29,539.31,544.01,534.51,542.68,36023000
2025-10-30,523.58,532.75,519.96,528.28,41023100
2025-10-31,515.67,527.13,512.97,526.69,34006400
2025-11-03,514.89,522.79,512.46,517.66,22374700
2025-11-04,512.2,513.42,505.74,509.64,20958700
2025-11-05,505.06,512.7,504.48,511.17,23024300
2025-11-06,495.04,503.61,493.76,503.57,27406500
2025-11-07,494.76,497.31,491.21,494.89,24019800
2025-11-10,503.9,504.75,496.73,497.97,26101500
2025-11-11,506.57,507.49,500.27,502.71,17980000
2025-11-12,509.02,509.55,497.05,507.25,26574900
2025-11-13,501.21,511.37,499.21,508.2,25273100
2025-11-14,508.07,509.48,495.38,496.17,28505700
2025-11-17,505.39,510.0,502.82,506.34,19092800
2025-11-18,491.75,500.9,484.76,493.32,33815100
2025-11-19,485.1,493.14,480.83,488.07,23245300
2025-11-20,477.34,492.45,474.42,491.59,26802500
2025-11-21,471.04,477.83,467.2,477.41,31769200
2025-11-24,472.92,475.81,466.95,473.92,34421000
2025-11-25,475.9,478.06,463.83,472.99,28019800
2025-11-26,484.39,487.2,480.1,485.2,25709100
2025-11-28,490.89,491.51,485.54,486.49,14386700
2025-12-01,485.63,488.74,483.55,487.33,23964000
2025-12-02,488.88,492.38,485.21,485.61,19562700
2025-12-03,476.64,483.14,474.12,475.24,34615100
2025-12-04,479.74,480.22,475.4,478.67,22318200
2025-12-05,482.06,482.3,477.79,481.42,22608700
2025-12-08,489.9,491.18,483.28,483.79,21965900
2025-12-09,490.9,491.0,487.39,487.99,14696100
2025-12-10,477.47,483.15,474.0,482.93,35756200
2025-12-11,482.37,484.92,474.78,475.54,24669200
2025-12-12,477.44,481.35,475.26,478.73,21248100
2025-12-15,473.74,479.63,471.44,479.01,23727700
2025-12-16,475.31,476.8,469.81,470.84,20705600
2025-12-17,475.04,478.91,473.92,475.82,24527200
2025-12-18,482.88,488.49,476.8,477.1,28573500
2025-12-19,484.81,486.74,481.39,486.25,70836100
2025-12-22,483.82,487.62,481.59,485.01,16963000
2025-12-23,485.74,486.72,483.64,483.88,14683600
2025-12-24,486.91,488.05,483.73,484.57,5855900
2025-12-26,486.6,487.01,484.85,485.6,8842200
2025-12-29,485.99,487.24,483.08,483.76,10893400
2025-12-30,486.37,488.56,484.39,484.82,13944500
2025-12-31,482.52,487.03,482.2,486.73,15601600
2026-01-02,471.86,483.56,469.09,483.29,25571600
2026-01-05,471.77,474.99,468.43,472.98,25250300
2026-01-06,477.42,477.65,468.68,472.72,23037700
2026-01-07,482.37,488.58,476.86,478.67,25564200
2026-01-08,477.02,481.56,474.78,480.14,18162600
2026-01-09,478.19,478.73,471.12,472.98,18491000
2026-01-12,476.09,479.89,474.6,475.58,23519900
2026-01-13,469.6,474.7,464.89,473.6,28545800
2026-01-14,458.33,467.13,456.13,465.4,28184300
2026-01-15,455.62,463.19,454.86,463.06,23225800
2026-01-16,458.81,462.14,455.44,456.79,34246700
2026-01-20,453.48,455.76,448.26,450.19,26130000
2026-01-21,443.1,451.66,437.68,451.57,37980500
2026-01-22,450.11,451.81,443.69,446.6,25349400
2026-01-23,464.89,470.03,449.5,450.84,38000200
2026-01-26,469.21,473.17,460.95,464.25,29291200
2026-01-27,479.49,481.77,472.08,472.62,29213900
2026-01-28,480.53,482.64,476.91,482.11,36875400
2026-01-29,432.51,441.49,420.06,438.99,128855300
2026-01-30,429.31,438.6,425.48,438.17,58566800
2026-02-02,422.41,429.76,421.29,429.26,42219900
2026-02-03,410.27,421.09,407.63,421.05,61424100
2026-02-04,413.25,418.84,408.31,410.06,45012400
2026-02-05,392.77,407.37,391.43,406.51,66289200
2026-02-06,400.23,400.88,392.03,398.26,53515300
2026-02-09,412.66,413.95,399.96,403.93,45480500
2026-02-10,412.33,422.72,411.76,418.66,44857900
2026-02-11,403.45,415.51,400.1,415.23,42491000
2026-02-12,400.92,405.27,397.1,404.08,40802400
2026-02-13,400.41,404.62,397.14,403.53,34091600
2026-02-17,395.96,399.61,393.63,398.31,32078800
2026-02-18,398.69,401.64,395.42,397.22,23223400
2026-02-19,398.46,404.43,396.67,400.69,28234000
2026-02-20,397.23,400.12,395.16,396.11,34015200
2026-02-23,384.47,395.36,383.1,395.0,43238300
2026-02-24,389.0,389.36,381.71,384.14,33884700
2026-02-25,400.6,401.47,390.16,390.53,43625500
2026-02-26,401.72,407.49,398.74,404.71,34405900
2026-02-27,392.74,396.82,389.88,390.88,51367200
2026-03-02,398.55,401.19,390.63,392.86,35474900
2026-03-03,403.93,406.7,392.67,393.14,38199200
2026-03-04,405.2,411.03,400.31,401.27,35808000
2026-03-05,410.68,411.61,404.4,404.42,39001300
2026-03-06,408.96,413.05,408.51,409.2,31123900
2026-03-09,409.41,410.21,403.5,404.92,30131900
2026-03-10,405.76,410.2,402.93,410.03,31706400
2026-03-11,404.88,409.01,401.59,405.57,25512100
2026-03-12,401.86,406.12,401.71,404.63,27263900
2026-03-13,395.55,404.8,394.25,401.0,26848000
