Date,Close,High,Low,Open,Volume
2025-05-12,67.68,68.94,66.72,68.86,18943800
2025-05-13,70.03,70.39,67.94,68.05,22962500
2025-05-14,70.11,70.35,68.71,69.73,15238900
2025-05-15,72.4,72.67,70.36,70.89,17789900
2025-05-16,72.83,72.83,71.58,72.4,12829800
2025-05-19,71.73,72.11,71.05,72.08,14438400
2025-05-20,72.26,73.04,71.7,71.86,8046700
2025-05-21,69.47,72.19,69.3,71.93,16133100
2025-05-22,65.01,67.01,62.04,66.91,40207600
2025-05-23,65.8,65.99,64.06,65.07,17161100
2025-05-27,66.07,66.4,65.52,65.79,10910700
2025-05-28,65.27,66.18,64.9,65.93,7835700
2025-05-29,67.0,67.1,64.84,64.84,11570200
2025-05-30,68.6,68.65,66.52,66.81,18802700
2025-06-02,68.68,68.72,67.59,68.28,9366900
2025-06-03,69.46,69.59,68.39,68.82,11014300
2025-06-04,68.41,69.65,68.32,69.65,10894900
2025-06-05,70.0,70.49,68.28,68.82,10967200
2025-06-06,70.64,70.77,69.97,70.11,9286000
2025-06-09,70.39,70.94,69.82,70.71,7062600
2025-06-10,71.28,71.52,70.42,70.78,9888000
2025-06-11,71.47,71.95,71.03,71.3,12000200
2025-06-12,72.29,72.87,71.72,71.88,11022200
2025-06-13,73.21,73.67,71.85,72.24,13213400
2025-06-16,72.23,73.72,71.03,73.62,14546000
2025-06-17,70.35,72.07,68.97,71.79,12971300
2025-06-18,70.07,70.92,69.88,70.46,7203300
2025-06-20,70.03,71.03,70.0,70.36,15182700
2025-06-23,69.24,70.8,68.66,70.28,8671300
2025-06-24,69.9,70.1,69.19,69.53,9001300
2025-06-25,68.86,69.63,68.67,69.15,12839000
2025-06-26,69.5,69.7,68.81,68.92,8010800
2025-06-27,69.4,70.31,68.87,70.01,14275000
2025-06-30,67.96,68.22,65.79,66.4,20894500
2025-07-01,71.52,71.61,66.12,68.11,23841100
2025-07-02,71.48,72.2,71.05,71.26,11240100
2025-07-03,72.33,73.47,70.95,71.47,8560900
2025-07-07,73.18,73.29,71.95,72.15,11368300
2025-07-08,70.94,71.86,69.76,71.33,19550700
