Date,Close,High,Low,Open,Volume
2025-05-12,4.2,4.27,4.09,4.23,44327900
2025-05-13,4.12,4.18,4.06,4.1,28022200
2025-05-14,4.13,4.22,4.11,4.16,25987900
2025-05-15,3.99,4.08,3.96,4.06,29326600
2025-05-16,4.1,4.12,4.03,4.08,25768200
2025-05-19,4.04,4.04,3.91,3.97,21902000
2025-05-20,3.96,4.03,3.96,3.99,22933900
2025-05-21,3.94,4.06,3.92,3.99,38257000
2025-05-22,3.88,3.92,3.86,3.9,31969200
2025-05-23,3.82,3.83,3.74,3.81,29176400
2025-05-27,3.69,3.74,3.63,3.72,47264000
2025-05-28,3.67,3.75,3.65,3.68,27254100
2025-05-29,3.68,3.77,3.66,3.75,23080900
2025-05-30,3.54,3.62,3.52,3.61,37431500
2025-06-02,3.52,3.58,3.48,3.57,39573300
2025-06-03,3.53,3.6,3.35,3.4,51344800
2025-06-04,3.75,3.92,3.56,3.61,72688800
2025-06-05,3.62,3.68,3.55,3.67,37293900
2025-06-06,3.63,3.7,3.57,3.59,31176800
2025-06-09,3.6,3.7,3.6,3.63,23999800
2025-06-10,3.81,3.81,3.63,3.65,40706700
2025-06-11,3.74,3.9,3.74,3.85,31465400
2025-06-12,3.62,3.69,3.61,3.67,22556000
2025-06-13,3.51,3.59,3.49,3.54,39274700
2025-06-16,3.52,3.59,3.51,3.52,21246000
2025-06-17,3.44,3.52,3.44,3.51,23446500
2025-06-18,3.42,3.48,3.42,3.46,25543100
2025-06-20,3.41,3.47,3.4,3.46,23893500
2025-06-23,3.43,3.45,3.34,3.4,28943200
2025-06-24,3.5,3.57,3.41,3.46,33481300
2025-06-25,3.47,3.57,3.44,3.57,21509500
2025-06-26,3.42,3.48,3.4,3.46,31146400
2025-06-27,3.46,3.55,3.4,3.42,63720200
2025-06-30,3.43,3.49,3.41,3.49,24598900
2025-07-01,3.51,3.57,3.45,3.47,46064800
2025-07-02,3.48,3.54,3.47,3.5,22912600
2025-07-03,3.51,3.55,3.47,3.5,15645500
2025-07-07,3.41,3.47,3.39,3.44,31339200
2025-07-08,3.5,3.52,3.38,3.43,43515600
2025-07-09,3.48,3.59,3.46,3.52,26907300
2025-07-10,3.69,3.7,3.49,3.55,74015200
2025-07-11,3.9,4.05,3.7,3.75,141527800
2025-07-14,4.17,4.22,4.02,4.11,122870700
2025-07-15,4.25,4.28,4.13,4.25,66259200
2025-07-16,4.11,4.19,3.96,4.19,69862800
2025-07-17,4.4,4.49,4.11,4.13,116140100
2025-07-18,4.39,4.57,4.28,4.38,78373600
2025-07-21,4.52,4.67,4.46,4.47,58884000
2025-07-22,5.01,5.09,4.64,4.64,133091900
2025-07-23,4.92,5.21,4.87,5.19,108246500
2025-07-24,4.83,4.95,4.7,4.92,63260400
2025-07-25,4.92,5.09,4.79,4.84,60712300
2025-07-28,4.83,5.01,4.82,4.99,42322400
2025-07-29,4.71,4.84,4.68,4.82,38397400
2025-07-30,4.51,4.61,4.51,4.6,40824100
2025-07-31,4.87,4.98,4.46,4.68,131207100
2025-08-01,5.01,5.06,4.73,4.74,81680900
2025-08-04,4.6,4.9,4.58,4.89,92178900
2025-08-05,4.5,4.67,4.46,4.66,55676400
2025-08-06,4.61,4.67,4.52,4.59,55025100
2025-08-07,4.68,4.72,4.59,4.62,27399000
2025-08-08,4.84,4.87,4.71,4.73,36036300
2025-08-11,4.91,5.01,4.85,4.96,36250500
2025-08-12,4.47,4.74,4.45,4.74,106157200
2025-08-13,4.62,4.62,4.54,4.61,35804200
2025-08-14,4.45,4.51,4.37,4.5,43446300
2025-08-15,4.81,4.82,4.55,4.56,69021000
2025-08-18,4.87,4.97,4.81,4.91,47355300
2025-08-19,5.07,5.23,4.93,4.94,90447700
2025-08-20,5.07,5.14,4.97,5.01,46063500
2025-08-21,5.54,5.68,5.24,5.24,147125700
2025-08-22,6.34,6.58,5.78,5.87,234464700
2025-08-25,6.09,6.73,6.07,6.7,156581500
2025-08-26,6.7,6.83,6.38,6.39,146133100
2025-08-27,6.34,6.62,6.31,6.5,89801700
2025-08-28,6.51,6.54,6.26,6.53,74896800
2025-08-29,6.38,6.51,6.26,6.44,57629700
2025-09-02,6.58,6.64,6.06,6.24,123577100
2025-09-03,6.32,6.4,6.04,6.38,89712400
2025-09-04,6.13,6.19,5.97,6.07,72831200
2025-09-05,5.95,6.23,5.92,6.18,59299500
2025-09-08,6.17,6.23,5.95,6.05,81801400
2025-09-09,6.28,6.32,6.05,6.06,54499200
2025-09-10,5.72,5.78,5.6,5.74,237836500
2025-09-11,6.07,6.13,5.77,5.83,95275100
2025-09-12,6.22,6.29,5.94,6.03,75071300
2025-09-15,6.49,6.83,6.42,6.46,68234900
2025-09-16,7.02,7.09,6.48,6.55,130662500
2025-09-17,7.45,7.45,7.06,7.23,122761800
2025-09-18,7.37,7.5,7.2,7.23,76975000
2025-09-19,7.37,7.6,7.28,7.59,79099400
2025-09-22,6.91,7.41,6.8,7.37,128795300
2025-09-23,6.93,7.17,6.77,6.9,80663300
2025-09-24,7.12,7.34,6.98,7.08,76711800
2025-09-25,7.47,7.68,7.0,7.05,92782900
2025-09-26,7.04,7.37,6.96,7.31,92524000
2025-09-29,7.21,7.27,6.92,7.13,65361300
2025-09-30,7.62,7.78,7.3,7.3,107657600
2025-10-01,7.65,7.9,7.54,7.79,57383700
2025-10-02,7.89,8.02,7.64,7.85,86946400
2025-10-03,7.7,7.8,7.5,7.8,68069200
2025-10-06,7.59,7.85,7.58,7.63,61137200
2025-10-07,7.5,7.6,7.29,7.57,75295400
2025-10-08,7.85,7.86,7.57,7.6,75642200
2025-10-09,7.46,7.8,7.4,7.76,64913000
2025-10-10,6.71,7.44,6.66,7.44,126261800
2025-10-13,7.18,7.22,6.96,7.01,65388200
2025-10-14,6.8,7.0,6.77,6.9,56830400
2025-10-15,6.82,7.04,6.74,6.99,40112300
2025-10-16,6.83,6.87,6.28,6.29,125559000
2025-10-17,6.75,6.77,6.52,6.53,76615100
2025-10-20,7.06,7.08,6.72,6.75,52665400
2025-10-21,6.8,6.92,6.8,6.88,35680900
2025-10-22,6.84,7.06,6.68,6.89,52458200
2025-10-23,6.89,6.97,6.87,6.92,30262000
2025-10-24,6.9,7.03,6.77,6.84,38381200
2025-10-27,7.04,7.22,7.0,7.08,45448500
2025-10-28,7.09,7.11,6.89,7.01,30947000
2025-10-29,7.14,7.33,7.06,7.13,42260900
2025-10-30,7.01,7.26,7.0,7.05,36452100
2025-10-31,7.25,7.27,6.85,7.05,50928400
2025-11-03,7.42,7.51,7.23,7.34,54540400
2025-11-04,7.16,7.36,7.07,7.19,42717100
2025-11-05,7.29,7.4,7.18,7.29,34733400
2025-11-06,7.16,7.54,7.11,7.41,69341600
2025-11-07,6.86,7.03,6.68,7.03,65995400
2025-11-10,6.71,7.06,6.65,6.97,58131400
2025-11-11,6.63,7.0,6.59,6.95,53443400
2025-11-12,6.45,6.53,6.34,6.52,45784700
2025-11-13,6.24,6.49,6.14,6.44,62534800
2025-11-14,6.16,6.3,5.95,5.99,54490400
2025-11-17,6.08,6.29,6.02,6.13,53189600
2025-11-18,5.98,6.03,5.83,5.98,59008100
2025-11-19,5.75,5.99,5.73,5.94,44693100
2025-11-20,5.4,5.87,5.38,5.82,70236800
2025-11-21,5.58,5.7,5.39,5.49,56288300
2025-11-24,5.75,5.86,5.71,5.78,52450700
2025-11-25,5.5,5.7,5.38,5.59,88421200
2025-11-26,5.46,5.73,5.3,5.54,85900500
2025-11-28,5.5,5.63,5.43,5.5,30218900
2025-12-01,5.18,5.43,5.14,5.33,58805800
2025-12-02,5.03,5.18,5.03,5.16,43612900
2025-12-03,4.79,4.99,4.73,4.98,94553700
2025-12-04,5.01,5.03,4.91,4.94,57001900
2025-12-05,5.04,5.18,5.03,5.17,36110800
2025-12-08,5.1,5.23,5.02,5.06,32866700
2025-12-09,5.03,5.08,4.97,5.01,29799600
2025-12-10,5.03,5.11,4.97,5.02,24577000
2025-12-11,5.13,5.19,4.9,4.99,39079200
2025-12-12,5.03,5.26,5.02,5.13,33069400
2025-12-15,4.99,5.08,4.97,5.05,31213200
2025-12-16,5.03,5.03,4.95,4.96,32067600
2025-12-17,4.86,5.06,4.85,5.01,29067700
2025-12-18,4.93,5.01,4.92,4.95,20020900
2025-12-19,4.99,5.03,4.98,4.99,29190000
2025-12-22,5.0,5.05,4.98,5.02,23199300
2025-12-23,4.89,4.98,4.86,4.97,24743900
2025-12-24,4.91,4.93,4.88,4.89,13280300
2025-12-26,5.1,5.15,4.9,4.9,49094700
2025-12-29,5.34,5.38,5.08,5.08,68744800
2025-12-30,5.5,5.79,5.5,5.54,80148000
2025-12-31,5.1,5.32,4.95,5.31,83294700
2026-01-02,5.14,5.38,5.08,5.32,40391000
2026-01-05,4.86,5.01,4.85,5.01,74650200
2026-01-06,4.78,5.04,4.74,4.96,61127400
2026-01-07,4.79,4.84,4.76,4.81,34014400
2026-01-08,4.73,4.85,4.67,4.85,33792600
2026-01-09,4.64,4.75,4.62,4.75,38116000
2026-01-12,4.85,4.96,4.74,4.74,50162500
2026-01-13,4.68,4.87,4.68,4.87,39994700
2026-01-14,4.56,4.66,4.54,4.65,40519100
2026-01-15,4.64,4.69,4.55,4.6,25682600
2026-01-16,4.71,4.72,4.59,4.7,28950700
2026-01-20,4.56,4.63,4.47,4.59,46590600
2026-01-21,4.67,4.7,4.53,4.59,43545800
2026-01-22,4.77,4.9,4.69,4.7,45891900
2026-01-23,4.64,4.75,4.63,4.74,36554800
2026-01-26,4.61,4.7,4.57,4.63,28553600
2026-01-27,4.64,4.69,4.62,4.65,24048600
2026-01-28,4.59,4.84,4.56,4.8,46233300
2026-01-29,4.77,5.02,4.64,4.75,74342100
2026-01-30,4.7,5.0,4.7,4.93,56900300
2026-02-02,4.52,4.61,4.38,4.61,66898900
2026-02-03,4.55,4.57,4.43,4.54,42304600
2026-02-04,4.44,4.55,4.38,4.55,38375600
2026-02-05,4.7,4.91,4.59,4.78,122524300
2026-02-06,5.04,5.22,4.93,4.99,91267900
2026-02-09,4.89,5.06,4.73,4.91,47468500
2026-02-10,4.96,5.08,4.87,4.94,31843300
2026-02-11,5.07,5.08,4.92,5.04,29867600
2026-02-12,4.95,5.11,4.94,5.03,39710300
2026-02-13,4.95,5.02,4.81,4.87,31420800
2026-02-17,4.92,5.08,4.9,4.95,26445200
2026-02-18,4.91,5.0,4.91,4.98,19632000
2026-02-19,4.93,4.93,4.82,4.89,19917700
2026-02-20,5.07,5.13,4.87,4.87,34890500
2026-02-23,5.29,5.4,5.19,5.2,52513700
2026-02-24,5.3,5.34,5.15,5.32,35121100
2026-02-25,5.19,5.28,5.15,5.18,27300000
2026-02-26,5.09,5.23,5.0,5.2,35795400
2026-02-27,4.87,5.01,4.86,5.0,30638300
2026-03-02,4.72,4.79,4.64,4.77,51982500
2026-03-03,4.59,4.59,4.41,4.56,48562900
2026-03-04,4.84,4.93,4.63,4.66,52718100
2026-03-05,4.72,4.85,4.62,4.75,40353800
2026-03-06,4.78,4.81,4.63,4.69,28381800
2026-03-09,4.94,4.98,4.74,4.79,44238200
2026-03-10,5.7,5.71,5.08,5.26,147968700
2026-03-11,5.47,5.88,5.44,5.69,78327700
2026-03-12,5.55,5.82,5.52,5.54,57170600
2026-03-13,5.86,5.93,5.66,5.77,58201900
2026-03-16,6.03,6.21,5.97,6.0,65321500
2026-03-17,5.96,6.05,5.91,5.95,35215900
2026-03-18,5.82,5.97,5.82,5.9,27251000
2026-03-19,5.89,5.93,5.68,5.72,30031800
2026-03-20,5.43,5.86,5.4,5.85,52876600
2026-03-23,5.82,5.83,5.6,5.62,49057700
2026-03-24,5.73,5.91,5.71,5.73,24420000
2026-03-25,5.78,5.94,5.77,5.92,28052800
2026-03-26,5.56,5.82,5.54,5.71,36538300
2026-03-27,5.31,5.54,5.29,5.53,36976900
2026-03-30,5.51,5.61,5.43,5.53,44142000
2026-03-31,6.03,6.13,5.53,5.59,75793700
2026-04-01,6.2,6.36,6.07,6.2,53209900
2026-04-02,6.3,6.3,5.97,5.97,34072800
2026-04-06,6.24,6.47,6.22,6.37,26501600
2026-04-07,6.14,6.2,6.0,6.17,25738500
2026-04-08,6.38,6.54,6.31,6.44,37553100
2026-04-09,6.07,6.63,6.02,6.58,70848800
2026-04-10,6.5,6.63,6.1,6.14,58937300
2026-04-13,6.47,6.59,6.43,6.58,28492400
2026-04-14,6.58,6.64,6.46,6.53,28549200
2026-04-15,6.43,6.56,6.4,6.48,39512800
2026-04-16,6.87,6.88,6.49,6.64,43887800
2026-04-17,6.83,7.0,6.8,7.0,34996400
2026-04-20,6.66,6.8,6.62,6.8,20657300
2026-04-21,6.43,6.65,6.43,6.64,33652400
2026-04-22,6.48,6.61,6.47,6.55,19937000
2026-04-23,6.28,6.44,6.2,6.44,32301300
2026-04-24,6.21,6.28,6.11,6.24,18898600
2026-04-27,6.23,6.4,6.17,6.34,23432000
2026-04-28,6.36,6.51,6.05,6.15,32473300
2026-04-29,6.39,6.68,6.38,6.6,33429300
2026-04-30,6.39,6.42,6.13,6.3,26240500
2026-05-01,5.91,6.23,5.81,6.19,61247600
2026-05-04,6.07,6.13,5.95,5.95,32433900
2026-05-05,5.9,6.19,5.9,6.06,30199400
2026-05-06,5.9,5.95,5.68,5.82,25948200
2026-05-07,5.87,6.02,5.83,5.98,20374800
2026-05-08,5.85,6.02,5.83,5.94,18814600
2026-05-11,6.07,6.14,5.87,5.87,28735074
