Date,Close,High,Low,Open,Volume
2025-05-12,122.97,122.97,120.25,121.94,225023300
2025-05-13,129.9,131.19,124.44,124.95,330430100
2025-05-14,135.31,135.41,131.65,133.17,281180800
2025-05-15,134.8,136.27,132.63,134.26,226632600
2025-05-16,135.37,136.32,133.43,136.19,226542500
2025-05-19,135.54,135.84,132.36,132.36,193154600
2025-05-20,134.35,134.55,132.59,134.26,161514200
2025-05-21,131.77,137.37,130.56,133.03,270608700
2025-05-22,132.8,134.22,131.52,132.2,187344000
2025-05-23,131.26,132.65,129.13,129.97,198821300
2025-05-27,135.47,135.63,133.28,134.12,192953600
2025-05-28,134.78,137.22,134.76,136.0,304021100
2025-05-29,139.16,143.46,137.88,142.22,369241900
2025-05-30,135.1,139.59,132.89,138.69,333170900
2025-06-02,137.35,138.09,135.37,135.46,197663100
2025-06-03,141.19,141.97,137.92,138.75,225578800
2025-06-04,141.89,142.36,139.51,142.16,167120800
2025-06-05,139.96,143.97,138.8,142.14,231397900
2025-06-06,141.69,143.24,141.48,142.48,153986200
2025-06-09,142.6,144.97,141.91,143.16,185114500
2025-06-10,143.93,144.26,141.5,142.66,155881900
2025-06-11,142.81,144.97,141.85,144.59,167694000
2025-06-12,144.98,144.98,141.83,141.95,162365000
2025-06-13,141.95,143.56,140.83,142.46,180820600
2025-06-16,144.67,146.16,143.18,143.33,183133700
2025-06-17,144.1,145.2,143.76,144.47,139108000
2025-06-18,145.46,145.63,143.1,143.99,161494100
2025-06-20,143.83,146.18,142.63,145.43,242956200
2025-06-23,144.15,144.76,142.01,142.48,154308900
2025-06-24,147.88,147.94,145.48,145.54,187566100
2025-06-25,154.28,154.42,149.24,149.25,269146500
2025-06-26,154.99,156.69,153.97,155.95,198145700
2025-06-27,157.72,158.68,155.23,156.01,263234500
2025-06-30,157.96,158.63,155.93,158.37,194580300
2025-07-01,153.27,157.17,151.46,156.26,213143600
2025-07-02,157.22,157.57,152.94,152.95,171224100
2025-07-03,159.31,160.95,157.74,158.34,143716100
2025-07-07,158.21,159.28,157.31,158.17,140139000
2025-07-08,159.97,160.19,158.36,159.3,138133000
2025-07-09,162.85,164.39,161.13,161.19,183656400
2025-07-10,164.07,164.47,161.58,164.29,167704100
2025-07-11,164.89,167.86,163.44,163.69,193633300
2025-07-14,164.04,165.46,161.99,165.34,136975800
2025-07-15,170.67,172.37,169.17,171.16,230627400
2025-07-16,171.34,171.72,168.87,171.03,158831500
2025-07-17,172.97,174.13,170.8,171.99,160841100
2025-07-18,172.38,174.22,171.23,173.61,146456400
2025-07-21,171.35,173.35,170.97,172.72,123126100
2025-07-22,167.0,171.36,164.55,171.31,193114300
2025-07-23,170.75,171.23,167.94,169.5,154082200
2025-07-24,173.71,173.8,171.27,172.41,128984600
2025-07-25,173.47,174.69,172.93,173.58,122316800
2025-07-28,176.72,176.97,173.94,173.99,140023500
2025-07-29,175.48,179.35,174.99,177.93,154077500
2025-07-30,179.24,179.86,176.01,176.48,174312200
2025-07-31,177.84,183.27,175.9,182.87,221685400
2025-08-01,173.69,176.51,170.86,174.06,204529000
2025-08-04,179.97,180.17,174.49,175.13,148174600
2025-08-05,178.23,180.23,175.87,179.59,156407600
2025-08-06,179.39,179.87,176.22,176.3,137192300
2025-08-07,180.74,183.85,178.77,181.54,151878400
2025-08-08,182.67,183.27,180.37,181.52,123396700
2025-08-11,182.03,183.81,180.22,182.02,138323200
2025-08-12,183.13,184.45,179.43,182.93,145485700
2025-08-13,181.56,183.94,179.32,182.59,179871700
2025-08-14,181.99,182.99,179.43,179.72,129554000
2025-08-15,180.42,181.87,178.01,181.85,156602200
2025-08-18,181.98,182.91,180.56,180.57,132008000
2025-08-19,175.61,182.47,175.46,182.4,185229200
2025-08-20,175.37,175.97,168.77,175.14,215142700
2025-08-21,174.95,176.87,173.78,174.82,140040900
2025-08-22,177.96,178.56,171.17,172.58,172789400
2025-08-25,179.78,181.88,176.54,178.32,163012800
2025-08-26,181.74,182.36,178.78,180.03,168688200
2025-08-27,181.57,182.46,179.07,181.95,235518900
2025-08-28,180.14,184.44,176.38,180.79,281787800
2025-08-29,174.15,178.12,173.12,178.08,243257900
2025-09-02,170.75,172.35,167.19,169.97,231164900
2025-09-03,170.59,172.38,168.85,171.03,164424900
2025-09-04,171.63,171.83,169.38,170.54,141670100
2025-09-05,166.99,169.0,164.04,168.0,224441400
2025-09-08,168.28,170.93,167.32,167.52,163769100
2025-09-09,170.73,170.95,166.71,169.06,157548400
2025-09-10,177.3,179.26,175.44,176.61,226852000
2025-09-11,177.15,180.26,176.46,179.66,151159300
2025-09-12,177.8,178.58,176.43,177.75,124911000
2025-09-15,177.73,178.83,174.49,175.65,147061600
2025-09-16,174.86,177.48,174.36,176.98,140737800
2025-09-17,170.27,173.18,168.39,172.62,211843800
2025-09-18,176.22,177.08,172.94,173.96,191763300
2025-09-19,176.65,178.06,175.16,175.75,237182100
2025-09-22,183.59,184.53,174.69,175.28,269637000
2025-09-23,178.41,182.4,176.19,181.95,192559600
2025-09-24,176.95,179.76,175.38,179.75,143564100
2025-09-25,177.67,180.24,173.11,174.46,191586700
2025-09-26,178.17,179.75,174.91,178.15,148573700
2025-09-29,181.83,183.98,180.3,180.41,193063500
2025-09-30,186.56,187.33,181.46,182.06,236981000
2025-10-01,187.22,188.12,183.88,185.22,173844900
2025-10-02,188.87,191.03,188.04,189.58,136805800
2025-10-03,187.6,190.34,185.36,189.17,137596900
2025-10-06,185.52,187.21,183.31,185.48,157678100
