Date,Close,High,Low,Open,Volume
2025-05-12,155.66,155.87,152.89,154.76,7875500
2025-05-13,160.66,161.6,156.0,156.65,11955200
2025-05-14,161.33,161.79,159.46,160.75,7499400
2025-05-15,157.82,160.13,157.33,159.76,10169200
2025-05-16,158.9,159.24,156.95,158.41,8515500
2025-05-19,158.05,160.36,156.26,156.73,10268900
2025-05-20,158.72,158.77,155.97,157.05,7576400
2025-05-21,155.62,159.3,154.91,156.78,6011000
2025-05-22,155.75,157.61,155.26,155.42,7603300
2025-05-23,154.42,155.82,152.73,153.45,6527500
2025-05-27,160.3,160.79,157.34,157.74,6976800
2025-05-28,162.22,162.69,159.68,160.26,8090700
2025-05-29,161.28,163.68,159.89,163.36,6994700
2025-05-30,163.89,164.1,159.95,161.81,17547900
2025-06-02,164.92,165.34,160.98,162.54,7166000
2025-06-03,167.46,167.65,164.94,165.14,7155300
2025-06-04,166.43,168.79,165.91,168.02,6375800
2025-06-05,169.44,170.55,167.08,167.32,7707800
2025-06-06,172.29,173.05,170.94,172.27,6833700
2025-06-09,175.39,176.94,172.06,173.12,9668900
2025-06-10,175.72,176.08,172.55,175.94,11056700
2025-06-11,174.63,177.77,174.45,175.79,18002900
2025-06-12,197.87,200.48,187.0,188.07,54610000
2025-06-13,213.08,214.45,199.2,199.58,53707400
2025-06-16,209.0,213.03,207.89,211.08,22665300
2025-06-17,206.11,213.74,205.42,208.57,17819200
2025-06-18,208.78,212.59,207.49,208.99,15055400
2025-06-20,203.13,211.68,202.61,211.23,20879100
2025-06-23,204.98,205.21,200.53,203.47,13418400
2025-06-24,213.13,214.22,206.48,207.9,19030600
2025-06-25,208.63,214.78,208.14,212.8,11804600
2025-06-26,210.71,212.29,208.27,209.89,10531100
2025-06-27,208.15,212.52,207.87,211.57,14127500
2025-06-30,216.46,225.95,216.21,224.25,31844200
2025-07-01,216.79,220.95,214.16,217.12,16962200
2025-07-02,227.7,229.6,214.57,215.52,22326900
2025-07-03,234.96,235.63,228.9,230.9,18441400
2025-07-07,229.95,232.91,227.22,232.77,16584300
2025-07-08,232.17,239.04,230.87,234.77,20401800
2025-07-09,233.47,234.16,229.7,233.17,10871600
2025-07-10,233.16,238.18,231.67,238.06,11486300
2025-07-11,228.75,232.17,228.07,229.56,10208200
2025-07-14,227.48,228.83,223.36,227.65,11337000
2025-07-15,233.12,233.76,227.41,230.59,10728800
2025-07-16,239.41,239.44,231.36,233.66,12597500
2025-07-17,246.8,249.63,240.12,241.43,17631300
2025-07-18,243.53,247.73,243.08,246.55,9678100
2025-07-21,241.63,244.87,241.34,243.39,7348400
2025-07-22,236.25,240.39,233.57,240.09,11380900
2025-07-23,240.01,241.51,236.79,238.07,7255800
2025-07-24,240.93,242.17,238.68,240.51,8237900
2025-07-25,243.2,243.55,239.54,240.44,7149600
2025-07-28,245.77,245.84,241.51,244.07,6756800
2025-07-29,248.02,251.09,244.66,246.75,8415300
2025-07-30,248.64,249.08,243.68,246.69,8441400
2025-07-31,251.78,258.83,251.34,253.77,15548700
2025-08-01,242.51,246.47,240.11,245.89,12718200
2025-08-04,250.55,250.93,243.97,243.97,8614800
2025-08-05,253.67,256.47,249.4,253.41,11197300
2025-08-06,254.42,254.83,249.75,254.83,9930200
2025-08-07,247.44,255.74,244.59,255.69,11954200
2025-08-08,248.09,248.93,245.92,248.07,8313300
2025-08-11,250.7,252.7,243.64,246.46,9012100
2025-08-12,251.87,255.85,249.11,250.6,9998400
2025-08-13,242.27,255.65,240.74,255.16,14182100
2025-08-14,243.04,246.97,240.67,243.03,10285600
2025-08-15,246.34,248.67,241.03,244.99,11554000
2025-08-18,247.12,247.21,241.71,244.27,6759900
2025-08-19,232.78,247.3,230.41,247.3,16819300
2025-08-20,233.22,234.03,226.46,230.36,11256400
2025-08-21,231.33,234.07,230.61,231.23,7403100
2025-08-22,234.52,236.63,229.65,232.23,9343600
