Date,Close,High,Low,Open,Volume
2025-05-12,118.46,120.93,115.01,120.78,94257300
2025-05-13,128.1,130.6,119.31,119.92,147155400
2025-05-14,130.18,133.49,127.56,129.01,96611500
2025-05-15,128.12,130.2,125.74,128.37,69503000
2025-05-16,129.52,130.33,126.76,129.23,57003700
2025-05-19,126.33,127.77,124.32,124.71,72503900
2025-05-20,125.59,128.2,124.65,127.22,61265300
2025-05-21,120.58,127.11,119.41,125.16,80657700
2025-05-22,122.29,126.33,121.38,121.95,75498300
2025-05-23,123.31,125.54,120.68,120.88,65905800
2025-05-27,123.39,127.88,120.88,126.82,86455200
2025-05-28,123.76,125.65,122.91,124.23,64866000
2025-05-29,122.32,126.47,121.53,125.35,62929100
2025-05-30,131.78,131.94,122.75,123.53,185897600
2025-06-02,132.04,134.48,128.86,131.43,93218700
2025-06-03,133.17,135.28,130.1,133.07,91297700
2025-06-04,130.01,132.95,125.58,132.8,97306300
2025-06-05,119.91,132.85,118.93,129.27,131055900
2025-06-06,127.72,128.13,121.92,123.73,87175100
2025-06-09,132.06,132.23,124.8,127.07,74785600
2025-06-10,132.81,134.07,129.41,131.02,69308900
2025-06-11,136.39,140.0,132.99,133.92,97366000
2025-06-12,135.19,137.1,134.63,136.4,56248200
2025-06-13,137.4,139.99,133.35,133.82,93519000
2025-06-16,141.41,144.86,139.81,140.03,80779800
2025-06-17,138.2,141.69,136.08,141.49,70479100
2025-06-18,139.96,140.36,137.49,139.04,58260200
2025-06-20,137.3,142.24,136.74,140.69,87067000
2025-06-23,139.92,142.15,135.96,138.9,70501100
2025-06-24,143.23,143.66,137.8,140.98,58574200
2025-06-25,142.9,147.67,141.53,144.49,61435300
2025-06-26,144.25,148.21,142.91,144.85,69440500
2025-06-27,130.74,144.97,130.54,144.87,202598600
2025-06-30,136.32,138.88,134.8,137.79,97305600
2025-07-01,130.68,136.32,128.51,135.27,91479700
2025-07-02,132.12,133.6,130.19,131.47,59732000
2025-07-03,134.36,135.62,132.51,134.36,41812500
2025-07-07,139.12,139.29,132.32,134.38,71959700
2025-07-08,139.71,139.85,135.79,138.77,59834800
2025-07-09,143.13,143.17,137.39,139.65,68494800
2025-07-10,142.5,145.16,139.53,143.31,64383900
2025-07-11,142.1,144.58,141.47,142.11,52134800
2025-07-14,149.15,149.57,142.22,142.72,81774400
