Date,Close,High,Low,Open,Volume
2025-05-12,0.9,0.94,0.86,0.91,177123100
2025-05-13,0.81,0.88,0.81,0.88,182057600
2025-05-14,0.79,0.82,0.76,0.82,177767300
2025-05-15,0.7,0.78,0.7,0.78,267013700
2025-05-16,0.77,0.78,0.69,0.71,272111900
2025-05-19,0.79,0.83,0.74,0.76,233107800
2025-05-20,0.83,0.85,0.75,0.79,166916900
2025-05-21,0.77,0.81,0.75,0.79,141116800
2025-05-22,0.8,0.8,0.74,0.76,118325000
2025-05-23,0.78,0.81,0.76,0.78,102513300
2025-05-27,0.79,0.82,0.77,0.79,119716800
2025-05-28,0.93,0.95,0.79,0.79,306891400
2025-05-29,0.93,1.03,0.9,0.94,156163500
2025-05-30,0.88,0.93,0.87,0.9,147027600
2025-06-02,0.82,0.86,0.82,0.85,134725100
2025-06-03,0.91,0.96,0.81,0.81,187528600
2025-06-04,0.93,0.95,0.9,0.91,83844000
2025-06-05,0.87,0.93,0.86,0.92,78479100
2025-06-06,0.97,1.01,0.89,0.9,190219000
2025-06-09,1.22,1.26,0.99,1.0,141742400
2025-06-10,1.28,1.53,1.26,1.42,214223500
2025-06-11,1.38,1.52,1.27,1.32,136917400
2025-06-12,1.3,1.47,1.29,1.37,93595300
2025-06-13,1.29,1.34,1.21,1.25,60562100
2025-06-16,1.31,1.4,1.28,1.33,60215400
2025-06-17,1.09,1.27,1.05,1.26,94352000
2025-06-18,1.14,1.18,1.11,1.11,51273200
2025-06-20,1.11,1.19,1.09,1.17,71434700
2025-06-23,1.09,1.13,1.03,1.08,52652000
2025-06-24,1.16,1.2,1.1,1.13,83314200
2025-06-25,1.09,1.19,1.09,1.18,50442200
2025-06-26,1.22,1.27,1.1,1.11,102697100
2025-06-27,1.16,1.25,1.13,1.23,60434700
2025-06-30,1.49,1.57,1.24,1.3,250792400
2025-07-01,1.41,1.45,1.34,1.45,94951000
2025-07-02,1.4,1.49,1.39,1.42,67680700
2025-07-03,1.47,1.55,1.39,1.43,81632500
2025-07-07,1.37,1.51,1.35,1.48,71603300
2025-07-08,1.42,1.47,1.39,1.39,50271500
2025-07-09,1.78,1.85,1.43,1.45,231504700
2025-07-10,1.68,1.8,1.65,1.76,88659800
2025-07-11,1.62,1.69,1.59,1.66,56882300
2025-07-14,1.57,1.65,1.5,1.65,61823300
2025-07-15,1.53,1.68,1.52,1.66,61336200
2025-07-16,1.52,1.56,1.46,1.55,46961500
2025-07-17,1.65,1.69,1.53,1.54,72718800
2025-07-18,1.79,1.83,1.67,1.68,102720000
2025-07-21,1.82,2.03,1.82,1.88,142891500
2025-07-22,1.84,1.92,1.75,1.84,76057300
2025-07-23,1.81,1.91,1.74,1.87,68101300
2025-07-24,1.77,1.99,1.74,1.81,102908900
2025-07-25,1.84,1.87,1.72,1.81,65031400
2025-07-28,1.77,1.93,1.73,1.88,68785000
2025-07-29,1.59,1.76,1.59,1.75,61887700
2025-07-30,1.55,1.62,1.54,1.61,33633000
2025-07-31,1.5,1.58,1.47,1.53,44462100
2025-08-01,1.4,1.48,1.39,1.42,55834700
2025-08-04,1.45,1.48,1.4,1.45,33367700
2025-08-05,1.54,1.57,1.45,1.47,35634300
2025-08-06,1.46,1.54,1.45,1.53,30525900
2025-08-07,1.51,1.56,1.46,1.5,30629200
2025-08-08,1.51,1.57,1.5,1.54,23469400
2025-08-11,1.58,1.62,1.53,1.55,53352500
2025-08-12,1.54,1.56,1.43,1.56,73948100
2025-08-13,1.66,1.72,1.52,1.52,75619700
2025-08-14,1.65,1.68,1.58,1.61,37505900
2025-08-15,1.7,1.73,1.6,1.66,59602200
2025-08-18,1.66,1.75,1.63,1.72,55075400
2025-08-19,1.58,1.67,1.56,1.65,41403600
2025-08-20,1.56,1.59,1.5,1.57,41272400
2025-08-21,1.54,1.57,1.52,1.56,29038300
2025-08-22,1.68,1.68,1.54,1.55,61455500
2025-08-25,1.67,1.72,1.64,1.68,47446500
2025-08-26,1.65,1.7,1.63,1.68,38146300
2025-08-27,1.62,1.66,1.6,1.66,27501400
2025-08-28,1.63,1.67,1.61,1.63,26794200
2025-08-29,1.57,1.64,1.56,1.62,30016600
2025-09-02,1.48,1.54,1.46,1.51,45846500
2025-09-03,1.49,1.55,1.48,1.54,46414600
2025-09-04,1.44,1.51,1.44,1.49,33974300
2025-09-05,1.46,1.51,1.41,1.46,32699100
2025-09-08,1.44,1.49,1.43,1.47,31627500
