Date,Close,High,Low,Open,Volume
2025-05-12,148.64,150.83,146.4,150.55,11414600
2025-05-13,147.88,149.78,147.5,148.53,10160900
2025-05-14,149.48,149.76,146.99,148.45,6971200
2025-05-15,149.12,149.88,146.74,148.24,6941200
2025-05-16,149.01,149.56,147.84,149.37,6668000
2025-05-19,150.18,150.3,146.67,147.1,7241100
2025-05-20,150.3,150.37,148.45,149.54,5269500
2025-05-21,147.85,152.56,147.38,150.06,9684500
2025-05-22,144.0,148.11,143.85,147.92,9539100
2025-05-23,142.05,143.14,138.52,140.14,8994600
2025-05-27,145.23,145.93,143.08,144.17,9788800
2025-05-28,144.22,146.07,143.99,145.41,7032300
2025-05-29,144.94,147.05,143.87,146.43,5980700
2025-05-30,141.88,144.63,140.2,144.61,13755600
2025-06-02,143.27,143.84,141.17,141.48,6419500
2025-06-03,145.53,146.35,142.18,143.35,6164100
2025-06-04,145.64,146.61,144.01,146.57,7143800
2025-06-05,145.05,147.52,144.5,146.27,5605500
2025-06-06,146.7,148.03,146.51,147.25,5794700
2025-06-09,152.76,153.46,148.6,149.23,10589400
2025-06-10,156.42,156.79,152.43,153.53,9068400
2025-06-11,156.76,159.38,155.02,157.28,8859900
2025-06-12,156.0,156.89,155.26,156.29,5689400
2025-06-13,152.09,154.49,151.81,153.68,8446400
2025-06-16,154.2,155.75,152.99,154.36,8686300
2025-06-17,151.83,154.9,151.76,153.98,7146900
2025-06-18,151.01,153.44,150.54,152.36,6708700
2025-06-20,148.74,152.48,148.07,151.6,15501900
2025-06-23,150.53,150.91,147.13,148.66,6860700
2025-06-24,153.06,153.64,151.53,152.1,7692700
2025-06-25,153.28,153.87,151.96,153.44,5280100
2025-06-26,155.5,155.72,153.26,153.84,6278200
2025-06-27,155.84,158.36,154.89,155.95,22100300
2025-06-30,156.55,157.14,155.11,155.69,7988200
2025-07-01,156.69,158.9,155.29,155.53,8942300
2025-07-02,159.56,160.02,156.1,156.96,8916400
2025-07-03,159.45,161.17,159.33,160.26,4280800
2025-07-07,155.4,158.74,154.89,158.37,7187400
2025-07-08,156.74,159.07,155.91,156.76,6879100
2025-07-09,156.64,158.73,155.56,156.69,4190100
2025-07-10,156.38,157.56,155.1,156.28,5674400
2025-07-11,154.78,156.46,154.47,156.29,5907700
2025-07-14,151.66,153.84,150.87,153.76,7382600
2025-07-15,151.67,154.04,151.5,153.63,6467300
2025-07-16,151.45,151.87,148.96,151.67,7106700
2025-07-17,150.01,150.92,149.22,150.4,7018600
2025-07-18,152.16,152.78,150.13,150.43,7433900
2025-07-21,156.26,157.21,152.27,152.28,7662300
2025-07-22,155.3,156.33,153.51,156.25,6951600
2025-07-23,157.16,157.32,154.26,155.89,7296200
2025-07-24,156.14,156.38,154.12,155.65,5014800
2025-07-25,155.7,156.49,154.73,156.19,4808200
2025-07-28,158.31,159.2,156.45,157.04,9627300
2025-07-29,159.32,160.81,158.4,159.28,9460900
2025-07-30,156.35,160.49,155.31,160.22,14382500
2025-07-31,144.26,154.13,143.1,150.5,24440100
