Date,Close,High,Low,Open,Volume
2025-05-12,14.64,14.98,14.52,14.82,35622500
2025-05-13,14.87,15.15,14.61,14.72,35004700
2025-05-14,14.82,15.03,14.22,14.65,47996500
2025-05-15,15.3,15.56,14.61,14.64,55059200
2025-05-16,15.81,15.83,15.35,15.38,32231900
2025-05-19,16.29,16.43,15.24,15.44,43922000
2025-05-20,16.92,17.15,16.22,16.31,63759100
2025-05-21,16.34,17.08,16.02,16.71,46878400
2025-05-22,15.91,16.35,15.73,16.19,28115800
2025-05-23,15.63,15.87,15.4,15.61,21795000
2025-05-27,15.37,15.98,14.87,15.94,36961400
2025-05-28,15.48,15.8,15.32,15.4,23048100
2025-05-29,15.01,15.69,14.96,15.67,25175200
2025-05-30,14.53,14.98,14.41,14.97,40113300
2025-06-02,14.1,14.5,13.85,14.4,27357400
2025-06-03,14.37,14.68,14.19,14.19,22945600
2025-06-04,14.01,14.53,13.87,14.37,26241100
2025-06-05,13.78,14.27,13.61,14.02,34888200
2025-06-06,14.0,14.14,13.69,13.91,24451500
2025-06-09,14.4,14.55,13.99,14.15,27172700
2025-06-10,14.4,14.73,14.27,14.59,19586300
2025-06-11,14.2,14.8,14.06,14.6,20827200
2025-06-12,13.91,14.13,13.88,13.98,14829200
2025-06-13,13.42,13.74,13.35,13.57,26990400
2025-06-16,13.76,14.14,13.45,13.63,26498600
2025-06-17,13.39,13.69,13.26,13.48,21409600
2025-06-18,13.77,13.91,13.36,13.44,15930900
2025-06-20,13.57,14.03,13.39,13.93,28260200
2025-06-23,13.65,13.93,13.43,13.53,22204000
2025-06-24,13.81,13.98,13.69,13.84,17736500
2025-06-25,13.76,13.91,13.53,13.89,14584900
2025-06-26,13.91,14.14,13.66,13.79,17763100
2025-06-27,13.6,13.95,13.38,13.94,27501900
2025-06-30,13.74,13.82,13.56,13.6,18768700
2025-07-01,13.47,13.55,12.97,13.55,30282100
2025-07-02,12.87,13.33,12.83,13.3,42320400
2025-07-03,13.07,13.45,12.89,12.97,21513400
2025-07-07,12.75,12.92,12.44,12.88,34462300
2025-07-08,13.13,13.37,12.78,12.79,28302900
2025-07-09,13.2,13.32,13.06,13.19,16207100
2025-07-10,13.32,13.49,13.19,13.22,20665200
2025-07-11,13.03,13.44,13.0,13.18,21163700
2025-07-14,12.75,12.88,12.55,12.85,28208300
2025-07-15,12.63,13.03,12.62,12.8,27878300
2025-07-16,12.39,12.7,11.96,12.7,41553000
2025-07-17,12.9,13.49,12.69,12.74,52110700
2025-07-18,13.7,13.86,12.8,13.03,48648400
2025-07-21,13.7,14.15,13.62,13.91,35627000
