Date,Close,High,Low,Open,Volume
2025-05-12,10.96,11.16,10.0,10.0,37562800
2025-05-13,11.9,13.23,11.73,11.85,42866400
2025-05-14,12.7,13.03,11.51,11.88,23039200
2025-05-15,12.85,12.87,12.01,12.39,14092200
2025-05-16,12.25,13.01,12.22,12.87,12850100
2025-05-19,11.29,11.86,10.97,11.8,19623000
2025-05-20,11.54,12.07,11.27,11.28,10459800
2025-05-21,10.66,11.32,10.56,11.32,16930500
2025-05-22,6.71,6.98,6.16,6.8,91268800
2025-05-23,6.88,7.47,6.48,6.59,50362600
2025-05-27,7.19,7.25,6.68,7.07,25615000
2025-05-28,6.75,7.14,6.48,7.06,23226500
2025-05-29,6.85,7.08,6.75,6.82,14743100
2025-05-30,7.49,7.53,6.71,6.8,25393400
2025-06-02,7.14,7.57,6.85,7.5,20218000
2025-06-03,8.28,8.44,7.16,7.23,33701100
2025-06-04,8.16,8.4,7.91,8.28,14339400
2025-06-05,8.38,8.59,7.96,8.3,17344400
2025-06-06,8.51,8.58,8.03,8.48,15438200
2025-06-09,8.27,9.14,8.25,8.77,16987000
2025-06-10,8.86,8.88,8.19,8.6,16300100
2025-06-11,8.7,8.84,8.36,8.72,14226500
2025-06-12,8.47,8.96,8.43,8.62,11190400
2025-06-13,10.0,10.14,8.12,8.22,42841200
2025-06-16,9.64,9.95,8.93,9.91,30716400
2025-06-17,5.78,6.11,5.38,5.82,119998600
2025-06-18,6.13,6.2,5.51,5.66,47017800
2025-06-20,6.23,6.73,6.21,6.22,30459700
2025-06-23,6.24,6.4,5.98,6.14,17234000
2025-06-24,7.2,7.55,6.22,6.32,41463700
2025-06-25,7.28,7.36,6.98,7.23,21940400
2025-06-26,7.75,8.08,7.58,7.68,27078300
2025-06-27,7.43,7.87,7.23,7.75,17994000
2025-06-30,8.18,8.61,7.61,7.88,42329800
2025-07-01,9.04,9.38,7.84,8.2,32377100
2025-07-02,8.99,9.66,8.95,9.09,21326400
2025-07-03,10.5,10.76,9.07,9.16,33830500
2025-07-07,11.11,11.2,10.31,10.88,27995300
2025-07-08,9.84,10.39,9.61,10.12,34247200
2025-07-09,10.51,10.8,9.85,10.12,19112600
2025-07-10,10.87,11.15,10.34,10.38,17997600
2025-07-11,10.11,10.88,9.98,10.88,15624600
2025-07-14,10.36,10.74,10.09,10.34,14843200
2025-07-15,10.7,11.51,10.6,10.6,18267300
2025-07-16,10.34,10.93,10.33,10.92,13400900
2025-07-17,9.96,10.62,9.91,10.41,12102400
2025-07-18,10.24,10.55,9.97,10.15,11869700
2025-07-21,10.46,10.88,9.99,10.38,13344600
2025-07-22,11.16,11.34,10.53,10.6,17476700
2025-07-23,10.64,11.3,10.61,11.16,14608600
2025-07-24,10.58,11.88,10.32,11.38,23450800
2025-07-25,10.78,10.84,10.34,10.53,8774800
2025-07-28,11.15,11.28,10.7,10.86,12120900
2025-07-29,10.75,11.27,10.7,11.14,8488000
2025-07-30,10.15,10.84,9.91,10.81,10958200
2025-07-31,10.26,10.48,10.1,10.23,9378900
2025-08-01,9.85,10.22,9.75,10.03,8252300
2025-08-04,9.7,10.07,9.6,9.95,8631200
2025-08-05,9.42,9.81,9.36,9.77,9012400
2025-08-06,9.07,9.44,9.01,9.24,13059000
2025-08-07,12.0,12.33,10.81,11.2,48256300
2025-08-08,11.85,12.25,11.14,12.07,18609900
2025-08-11,11.6,12.75,11.38,12.15,14000300
2025-08-12,11.42,11.89,11.34,11.72,11611000
2025-08-13,10.93,11.82,10.79,11.47,13468200
2025-08-14,10.48,10.94,10.26,10.82,12232000
2025-08-15,13.92,14.87,10.1,10.48,76431500
2025-08-18,15.5,16.57,14.67,14.77,50682600
2025-08-19,15.49,15.91,14.81,15.45,18712900
2025-08-20,15.47,16.12,15.3,15.53,16863300
2025-08-21,14.74,15.06,14.18,15.06,14921200
2025-08-22,16.2,16.4,14.6,14.97,16060000
2025-08-25,16.38,16.4,15.21,15.73,10029000
2025-08-26,16.61,16.9,16.25,16.4,11127700
2025-08-27,15.8,16.83,15.78,16.49,9003700
2025-08-28,16.37,16.48,15.77,15.94,6703700
2025-08-29,15.97,16.51,15.96,16.36,6815800
2025-09-02,15.93,16.04,14.95,15.06,6980200
