Date,Close,High,Low,Open,Volume
2025-05-12,2092.2,2104.71,2076.91,2086.81,6014580000
2025-05-13,2102.35,2109.95,2095.24,2101.55,5516290000
2025-05-14,2083.8,2099.34,2082.81,2096.46,5233450000
2025-05-15,2094.69,2094.97,2069.34,2077.4,4991290000
2025-05-16,2113.25,2114.95,2094.35,2096.02,4850850000
2025-05-19,2104.43,2104.54,2081.48,2082.2,4144010000
2025-05-20,2105.58,2111.19,2095.55,2101.38,4416850000
2025-05-21,2046.56,2087.07,2043.18,2084.11,5254250000
2025-05-22,2045.56,2057.01,2032.4,2042.03,5157050000
2025-05-23,2039.85,2044.89,2011.2,2014.11,4662820000
2025-05-27,2090.4,2090.56,2058.2,2059.18,5366380000
2025-05-28,2067.8,2092.39,2066.44,2089.91,4665050000
2025-05-29,2074.78,2081.52,2061.02,2077.67,4569750000
2025-05-30,2066.29,2074.74,2051.12,2067.33,6378540000
2025-06-02,2070.16,2070.54,2043.6,2066.5,4832240000
2025-06-03,2102.98,2107.39,2070.86,2074.03,5026680000
2025-06-04,2098.48,2110.22,2096.73,2103.28,4767050000
2025-06-05,2097.35,2110.08,2086.79,2099.56,5091850000
2025-06-06,2132.25,2132.35,2115.21,2115.21,4355710000
2025-06-09,2144.45,2154.39,2139.05,2144.16,4642360000
2025-06-10,2156.41,2164.47,2150.74,2150.74,4882880000
2025-06-11,2148.23,2170.49,2146.91,2163.55,5111550000
2025-06-12,2140.09,2142.88,2131.07,2142.28,4669500000
2025-06-13,2100.51,2125.08,2095.65,2120.23,5258910000
2025-06-16,2124.13,2134.71,2115.07,2115.07,5111710000
2025-06-17,2101.96,2120.38,2101.59,2113.86,4955700000
2025-06-18,2112.96,2127.67,2100.44,2101.36,5106470000
2025-06-20,2109.27,2127.55,2103.32,2123.4,7451500000
2025-06-23,2132.68,2133.36,2088.07,2105.52,5597000000
2025-06-24,2161.21,2164.9,2142.74,2144.96,5443690000
2025-06-25,2136.18,2163.67,2135.96,2163.01,5171110000
2025-06-26,2172.11,2172.13,2141.47,2141.47,5308140000
2025-06-27,2172.53,2189.18,2159.8,2176.74,7889350000
2025-06-30,2175.04,2182.37,2173.2,2177.82,5782900000
2025-07-01,2197.54,2218.59,2160.63,2165.63,6275310000
2025-07-02,2226.38,2226.79,2194.26,2199.66,5645710000
2025-07-03,2249.04,2249.04,2232.3,2232.3,3378110000
2025-07-07,2214.23,2243.38,2204.31,2237.52,5236740000
2025-07-08,2228.74,2238.53,2219.1,2219.1,5739030000
2025-07-09,2252.49,2252.77,2229.35,2236.35,4813340000
2025-07-10,2263.41,2275.7,2247.19,2251.04,5367350000
2025-07-11,2234.83,2253.95,2233.41,2253.95,4656210000
2025-07-14,2249.73,2250.2,2229.46,2231.68,4722250000
2025-07-15,2205.05,2257.57,2205.05,2254.77,5133670000
2025-07-16,2226.99,2229.95,2189.3,2212.88,5177460000
2025-07-17,2253.68,2258.46,2227.2,2228.05,5512290000
2025-07-18,2240.01,2269.61,2238.11,2265.15,5184700000
2025-07-21,2231.13,2259.22,2230.02,2248.25,5010840000
2025-07-22,2248.76,2254.57,2224.33,2231.18,5662040000
2025-07-23,2283.13,2283.2,2259.19,2259.19,5642510000
2025-07-24,2252.13,2276.47,2251.77,2276.47,5282720000
2025-07-25,2261.07,2262.58,2244.46,2257.29,4470720000
2025-07-28,2256.73,2270.17,2252.98,2267.57,4565620000
2025-07-29,2242.96,2273.38,2239.09,2268.33,5076120000
2025-07-30,2232.4,2265.81,2220.3,2249.32,5375070000
2025-07-31,2211.65,2235.63,2207.39,2225.64,6077080000
2025-08-01,2166.78,2192.94,2143.43,2192.94,5827150000
2025-08-04,2212.3,2212.45,2177.1,2177.1,4842580000
2025-08-05,2225.67,2228.48,2200.73,2218.44,5517410000
2025-08-06,2221.29,2225.36,2211.21,2224.25,5408560000
2025-08-07,2214.72,2243.16,2202.87,2234.58,5306090000
2025-08-08,2218.42,2228.3,2214.27,2222.79,4769910000
2025-08-11,2216.51,2229.73,2213.54,2221.91,4652400000
2025-08-12,2282.78,2283.67,2229.68,2232.06,5135300000
2025-08-13,2328.06,2329.26,2296.03,2296.19,5195950000
2025-08-14,2299.08,2304.49,2279.86,2304.49,4462050000
2025-08-15,2286.52,2305.0,2279.57,2304.2,4575060000
2025-08-18,2294.47,2298.27,2285.8,2287.11,4162290000
2025-08-19,2276.61,2300.51,2272.86,2295.12,4377440000
2025-08-20,2269.35,2274.69,2252.43,2273.79,4470390000
2025-08-21,2274.1,2277.01,2254.55,2258.94,4013560000
2025-08-22,2361.95,2366.6,2285.18,2285.18,5046860000
2025-08-25,2339.17,2357.39,2339.07,2357.39,4059070000
2025-08-26,2358.6,2361.71,2339.17,2339.17,4867680000
2025-08-27,2373.8,2375.71,2352.78,2353.93,4143680000
2025-08-28,2378.41,2384.01,2370.12,2382.59,4283760000
2025-08-29,2366.42,2382.13,2359.4,2381.16,4234840000
2025-09-02,2352.21,2354.99,2329.95,2339.86,4784000000
2025-09-03,2349.97,2359.2,2340.49,2352.37,4465360000
2025-09-04,2379.61,2379.79,2351.34,2354.41,4670770000
2025-09-05,2391.05,2407.37,2366.78,2389.98,5066120000
2025-09-08,2394.89,2398.14,2378.82,2395.65,5211500000
2025-09-09,2381.82,2393.99,2370.21,2393.55,4798350000
2025-09-10,2378.01,2394.16,2369.01,2384.69,5253010000
2025-09-11,2421.53,2422.33,2379.99,2380.94,5426460000
2025-09-12,2397.06,2416.05,2396.71,2416.0,4641640000
2025-09-15,2405.13,2411.52,2399.78,2402.94,5045020000
2025-09-16,2403.03,2406.92,2388.25,2405.0,5359510000
2025-09-17,2407.34,2453.36,2396.1,2406.1,5805340000
2025-09-18,2467.7,2470.07,2420.59,2420.59,5292400000
2025-09-19,2448.77,2472.27,2445.86,2471.96,9125960000
2025-09-22,2463.34,2466.89,2431.62,2445.9,5642620000
2025-09-23,2457.51,2488.84,2455.07,2467.27,5633620000
2025-09-24,2434.98,2461.49,2434.98,2459.29,5459180000
2025-09-25,2411.04,2418.98,2393.81,2418.98,5874670000
2025-09-26,2434.32,2435.15,2413.55,2414.97,5103110000
2025-09-29,2435.25,2449.26,2428.3,2442.66,5358760000
