Date,Close,High,Low,Open,Volume
2025-05-12,19.16,21.35,18.86,21.34,8895900
2025-05-13,18.15,20.32,18.05,19.39,6605400
2025-05-14,17.93,18.52,17.08,18.03,5113800
2025-05-15,20.84,20.92,17.55,17.83,7484700
2025-05-16,22.02,22.6,19.7,19.7,7286100
2025-05-19,20.76,21.55,20.32,21.01,6188500
2025-05-20,20.65,22.19,20.3,21.02,4585700
2025-05-21,19.84,20.39,19.39,20.23,3302500
2025-05-22,14.94,16.28,14.5,16.12,18329800
2025-05-23,16.7,17.0,14.62,14.65,7973800
2025-05-27,17.22,17.45,16.11,17.1,3873500
2025-05-28,16.92,17.3,16.65,17.12,2371000
2025-05-29,16.6,17.55,16.46,17.2,1955300
2025-05-30,17.86,18.15,16.47,16.8,3933000
2025-06-02,17.1,18.1,16.91,18.1,3048600
2025-06-03,18.11,18.49,16.58,16.59,3663300
2025-06-04,17.47,18.44,17.46,18.37,2216700
2025-06-05,17.74,18.26,17.1,17.6,2774400
2025-06-06,18.19,18.36,17.7,17.85,2054800
2025-06-09,18.72,19.43,18.23,18.39,2784900
2025-06-10,20.93,21.32,19.38,19.5,4974300
2025-06-11,20.83,21.67,20.66,20.95,2842700
2025-06-12,21.02,21.18,20.39,20.7,2510000
2025-06-13,23.3,24.66,20.37,20.59,7919600
2025-06-16,23.98,24.45,22.45,23.89,6911700
2025-06-17,15.96,16.23,13.73,15.52,33137600
2025-06-18,16.98,17.67,16.06,16.16,13043100
2025-06-20,16.52,17.81,16.5,17.13,5965500
2025-06-23,16.06,17.14,15.75,16.35,4286600
2025-06-24,18.93,19.33,16.16,16.37,9408200
2025-06-25,19.09,19.72,18.2,19.08,5355000
2025-06-26,20.07,21.22,19.13,20.18,7069300
2025-06-27,19.8,20.33,19.09,20.3,3623000
2025-06-30,20.4,21.57,19.73,20.16,6300400
2025-07-01,21.86,22.8,19.78,20.5,7874200
2025-07-02,23.6,23.82,21.95,22.03,5804900
2025-07-03,27.54,27.61,24.04,24.08,9478800
2025-07-07,26.43,27.44,26.2,26.76,6163800
2025-07-08,26.15,26.28,23.89,24.74,6784200
2025-07-09,27.09,27.59,25.2,25.49,4493000
2025-07-10,27.57,28.06,26.68,27.08,3106300
2025-07-11,25.62,27.61,25.21,27.32,3518300
2025-07-14,26.72,27.25,25.78,26.66,3742700
2025-07-15,27.37,28.49,26.57,26.6,5534800
2025-07-16,24.96,27.65,24.26,27.31,6053200
2025-07-17,25.25,26.62,24.58,25.0,3439500
