Date,Close,High,Low,Open,Volume
2025-05-12,33.52,35.07,32.95,33.89,51333900
2025-05-13,38.89,39.1,34.18,34.46,96752000
2025-05-14,45.0,46.57,43.08,45.93,169224100
2025-05-15,43.96,45.38,41.41,44.05,87035100
2025-05-16,46.15,47.8,45.03,45.5,99288900
2025-05-19,44.79,46.41,44.14,44.23,45618300
2025-05-20,42.77,44.83,42.4,44.79,43284200
2025-05-21,41.65,44.33,41.23,43.53,54954000
2025-05-22,41.32,42.44,41.18,41.69,30515100
2025-05-23,40.09,40.48,39.11,39.77,37900700
2025-05-27,41.57,43.09,40.81,41.41,40092300
2025-05-28,41.96,42.94,40.95,41.93,39353300
2025-05-29,41.15,43.97,41.04,43.17,35885100
2025-05-30,40.02,40.93,39.05,40.71,34887500
2025-06-02,41.2,41.24,39.51,39.65,25940400
2025-06-03,43.19,43.9,41.13,41.33,41728700
2025-06-04,44.13,44.72,42.88,43.93,31201600
2025-06-05,40.77,44.18,40.34,43.59,40439400
2025-06-06,41.55,42.42,41.39,42.04,25509600
2025-06-09,43.12,43.37,41.88,42.24,27406300
2025-06-10,42.91,43.65,42.34,43.19,21494900
2025-06-11,43.21,44.55,42.78,43.65,34008900
2025-06-12,43.36,44.08,42.32,42.65,24671700
2025-06-13,41.56,42.47,40.74,42.03,36493500
2025-06-16,43.69,44.42,42.07,42.28,33860900
2025-06-17,43.11,44.22,42.91,43.24,20761000
2025-06-18,44.47,45.67,42.79,43.07,40654600
2025-06-20,45.32,46.18,44.14,45.7,51588500
2025-06-23,40.89,43.6,40.78,43.47,69270800
2025-06-24,42.84,43.15,41.06,41.39,58068400
2025-06-25,46.61,46.93,43.12,43.34,86439500
2025-06-26,49.27,49.52,46.07,47.06,72397600
2025-06-27,47.58,49.97,46.86,49.48,53757300
2025-06-30,49.01,50.55,48.23,48.7,49238000
2025-07-01,47.2,48.67,46.37,48.24,42243100
2025-07-02,48.74,48.88,47.07,47.19,27703100
2025-07-03,48.56,49.63,48.42,49.23,18665600
2025-07-07,47.11,48.35,46.22,48.23,33006700
2025-07-08,49.11,49.26,47.36,47.44,29002600
2025-07-09,50.02,50.2,48.37,48.75,35063600
2025-07-10,50.36,51.7,49.68,50.8,33264400
2025-07-11,49.24,50.26,49.08,49.76,24861400
2025-07-14,49.73,50.66,48.78,49.24,25603000
2025-07-15,53.17,54.2,51.53,51.87,62012800
2025-07-16,53.22,53.29,51.42,53.05,30066100
2025-07-17,52.75,54.15,52.61,53.51,31534600
2025-07-18,51.77,53.87,51.27,53.33,31842400
2025-07-21,51.5,53.98,51.4,52.69,38140200
2025-07-22,49.86,51.86,48.85,51.84,31829300
2025-07-23,51.7,52.16,50.58,50.7,25249600
2025-07-24,52.52,53.35,51.33,51.82,37679300
2025-07-25,54.47,54.52,51.62,52.15,34308400
2025-07-28,60.05,60.08,55.3,55.81,72578800
2025-07-29,58.63,61.48,58.15,59.73,57488300
2025-07-30,60.71,62.28,59.02,59.56,53032900
2025-07-31,58.97,62.36,58.46,62.11,46751800
2025-08-01,56.64,58.05,55.07,57.11,40840300
2025-08-04,58.23,59.19,57.62,58.16,32743600
2025-08-05,57.26,59.4,56.79,58.81,49970600
2025-08-06,46.79,48.13,44.83,47.33,115217900
2025-08-07,46.67,48.82,46.57,47.15,43942200
2025-08-08,44.6,47.37,44.53,46.91,43796800
2025-08-11,45.2,46.48,44.98,45.08,31865900
2025-08-12,46.43,46.6,44.8,45.67,30326100
2025-08-13,46.07,46.64,45.56,46.43,26004400
2025-08-14,45.49,45.67,44.67,45.35,22948700
2025-08-15,45.37,45.57,44.16,45.26,27407500
2025-08-18,45.86,46.64,45.18,45.28,22586500
2025-08-19,43.24,45.85,43.17,45.85,30319200
2025-08-20,42.61,43.47,41.31,43.3,31496600
2025-08-21,42.31,42.96,41.82,42.6,16552100
2025-08-22,43.88,44.1,41.63,41.65,24089100
2025-08-25,44.07,44.93,43.28,43.6,18782000
2025-08-26,44.36,44.39,43.64,44.06,18168200
2025-08-27,44.76,45.01,43.87,44.37,18925100
2025-08-28,43.97,45.34,43.91,44.82,22120100
2025-08-29,41.54,42.86,41.44,42.8,36835900
2025-09-02,40.78,40.86,39.56,40.03,29924300
2025-09-03,40.1,40.98,39.77,40.9,20472800
2025-09-04,40.7,40.8,39.75,40.28,22479400
2025-09-05,40.41,41.18,39.74,40.99,21771700
2025-09-08,40.04,41.12,39.89,40.9,19033300
2025-09-09,42.92,43.0,40.17,40.24,37459000
2025-09-10,43.91,45.57,43.33,44.0,40876000
2025-09-11,43.95,44.51,43.46,44.29,24437700
2025-09-12,45.0,47.0,44.63,46.56,38138300
2025-09-15,45.38,45.77,44.2,45.23,22441800
2025-09-16,44.91,45.82,44.5,45.55,18139200
2025-09-17,44.9,45.4,43.69,44.6,22589200
2025-09-18,45.94,46.33,44.54,45.42,26315800
2025-09-19,45.81,46.52,45.45,46.0,28688400
2025-09-22,46.87,48.53,45.17,45.4,39930600
2025-09-23,46.99,47.7,45.86,47.39,27042500
2025-09-24,46.2,48.15,46.17,47.23,24991300
2025-09-25,46.24,47.16,44.2,45.06,24372200
2025-09-26,45.82,45.97,44.4,45.64,22879400
2025-09-29,46.36,47.38,45.94,46.28,25012600
2025-09-30,47.94,48.2,46.2,46.22,32168500
2025-10-01,52.39,52.48,47.36,47.57,48357200
2025-10-02,52.5,52.93,51.06,52.45,32744400
2025-10-03,51.96,53.51,50.8,52.74,32220400
2025-10-06,54.62,56.11,53.96,54.08,40241600
2025-10-07,55.07,57.48,53.6,56.26,37885900
2025-10-08,58.68,58.69,54.58,55.27,45151400
2025-10-09,57.98,58.78,57.26,57.63,29801500
2025-10-10,52.86,58.51,52.56,58.24,45087800
2025-10-13,54.75,55.65,54.02,54.81,24588900
2025-10-14,53.11,55.21,52.98,54.13,19789100
2025-10-15,53.94,55.07,52.86,54.5,16646000
2025-10-16,53.84,56.23,53.27,54.0,24656600
2025-10-17,52.18,53.63,51.62,53.07,20681800
2025-10-20,55.04,56.6,54.6,55.04,45553300
2025-10-21,54.82,55.35,53.91,55.16,29016500
2025-10-22,52.5,54.53,50.03,54.49,34326200
2025-10-23,47.92,51.84,47.38,51.73,57175700
2025-10-24,48.29,49.64,48.21,48.88,25206600
2025-10-27,51.57,51.63,49.72,49.72,27434500
2025-10-28,52.36,54.03,51.37,51.67,28064400
2025-10-29,52.69,54.08,51.56,53.8,25028500
2025-10-30,50.37,52.32,50.33,51.9,17736600
2025-10-31,51.96,52.99,50.8,51.39,19822800
2025-11-03,50.75,53.01,50.55,52.87,23811300
2025-11-04,47.4,49.43,46.86,48.63,37973500
2025-11-05,42.03,46.34,42.02,44.98,61413600
2025-11-06,40.34,42.82,40.3,42.5,32092100
2025-11-07,39.76,40.09,38.14,39.85,32960200
2025-11-10,40.19,41.63,39.9,41.46,26396700
2025-11-11,38.82,39.99,38.58,39.99,21707800
2025-11-12,37.91,39.45,37.57,39.19,24749700
2025-11-13,35.09,37.8,34.78,37.76,37471500
2025-11-14,36.42,37.35,33.69,34.24,37325200
2025-11-17,34.1,35.82,33.64,35.58,32689500
2025-11-18,34.9,35.78,33.55,34.31,28024900
2025-11-19,33.73,34.97,33.2,34.55,28892800
2025-11-20,31.56,35.54,31.45,35.53,37801500
2025-11-21,32.19,32.57,31.03,32.14,28321200
2025-11-24,33.32,33.54,31.98,32.39,27885100
2025-11-25,32.48,32.63,31.17,32.16,22199800
2025-11-26,32.83,33.42,32.45,33.19,21642400
2025-11-28,33.85,33.86,32.88,33.33,10755800
2025-12-01,33.41,33.95,32.57,33.37,20952400
2025-12-02,32.92,34.33,32.89,33.59,19434000
2025-12-03,33.68,33.71,32.67,33.0,16253200
2025-12-04,34.23,34.41,33.08,33.5,17205700
2025-12-05,34.69,34.79,33.45,33.85,19415300
2025-12-08,35.37,35.88,34.72,35.15,21290300
2025-12-09,35.02,35.5,34.58,35.47,17513000
2025-12-10,34.9,35.13,34.18,34.97,17615700
2025-12-11,34.02,34.16,32.91,34.15,23178900
2025-12-12,32.33,34.6,32.23,33.75,22435100
2025-12-15,31.37,32.86,31.24,32.8,18470600
2025-12-16,31.66,31.91,30.95,31.3,20835800
2025-12-17,29.84,31.91,29.84,31.49,24797200
2025-12-18,29.37,30.91,29.1,30.71,25658700
2025-12-19,31.11,31.24,29.59,29.59,39854100
2025-12-22,31.07,31.69,30.87,31.17,21470400
2025-12-23,30.76,31.11,30.27,30.94,18146700
2025-12-24,30.55,30.8,30.34,30.65,6805600
2025-12-26,30.64,30.85,30.14,30.64,14262700
2025-12-29,30.08,31.14,29.94,30.07,19595400
2025-12-30,29.65,30.36,29.64,30.36,21568200
2025-12-31,29.27,29.87,29.02,29.71,24845000
2026-01-02,30.96,31.4,29.93,29.96,30675100
2026-01-05,30.07,32.04,29.98,31.68,38591800
2026-01-06,30.54,30.66,29.43,30.65,29127500
2026-01-07,30.01,30.63,29.78,30.63,22808200
2026-01-08,29.9,30.06,29.21,30.04,21598200
2026-01-09,30.16,31.03,29.55,30.03,27159800
2026-01-12,30.12,30.54,29.77,29.93,24840600
2026-01-13,28.6,29.89,27.8,29.89,52519700
2026-01-14,28.27,28.76,27.75,28.26,25019200
2026-01-15,29.42,29.86,28.57,28.71,33266300
2026-01-16,32.64,32.98,29.6,29.72,79038200
2026-01-20,31.41,31.73,30.22,31.21,39742100
2026-01-21,32.24,32.68,30.96,31.66,37885100
2026-01-22,32.45,33.49,32.37,33.0,29917800
2026-01-23,31.7,33.64,31.33,33.55,34482400
2026-01-26,30.8,31.55,30.66,31.48,19400400
2026-01-27,31.2,31.29,29.9,30.83,20774600
2026-01-28,31.21,32.33,30.97,31.59,24239900
2026-01-29,30.12,30.76,29.14,30.72,28135500
2026-01-30,29.11,30.37,28.9,30.19,24089600
2026-02-02,29.71,30.96,28.8,29.03,26817000
2026-02-03,29.67,30.17,28.64,30.0,42513900
2026-02-04,33.76,34.94,31.7,32.95,115558200
2026-02-05,30.85,33.49,29.37,33.02,60314000
2026-02-06,34.38,34.7,31.22,31.84,49279800
2026-02-09,33.53,33.91,32.65,33.21,32251900
2026-02-10,33.33,34.39,33.01,33.85,24777500
2026-02-11,32.04,33.91,31.64,33.89,24547200
2026-02-12,30.43,32.32,30.42,32.19,25527900
2026-02-13,30.54,31.22,30.26,30.64,21660700
2026-02-17,30.11,30.75,29.58,30.31,20377400
2026-02-18,29.71,30.42,29.35,30.2,16814700
2026-02-19,32.16,32.2,30.99,31.25,42320100
2026-02-20,32.42,32.91,31.42,31.42,26058900
2026-02-23,30.71,32.09,30.57,31.76,21437200
2026-02-24,31.13,31.37,30.29,31.05,17982600
2026-02-25,33.6,33.86,31.46,31.47,32402900
2026-02-26,32.28,33.45,31.16,33.22,28496100
2026-02-27,32.39,33.04,31.38,31.86,27204800
2026-03-02,31.83,31.98,30.55,30.9,28730000
2026-03-03,30.68,31.33,29.68,30.89,26566000
2026-03-04,32.65,32.96,30.85,30.96,31472400
2026-03-05,32.24,33.51,31.47,32.32,26932500
2026-03-06,31.31,32.41,31.12,31.44,21134600
2026-03-09,31.98,32.16,29.85,30.7,27705300
2026-03-10,31.79,32.38,31.56,31.85,19233100
2026-03-11,31.79,33.07,31.55,32.51,22009200
2026-03-12,30.9,31.81,30.8,31.66,16569400
2026-03-13,30.75,31.23,30.22,31.04,18279100
2026-03-16,31.86,32.43,30.92,31.5,28824000
2026-03-17,31.51,32.81,31.48,31.96,20833600
2026-03-18,30.35,31.68,30.33,31.32,24360500
2026-03-19,30.79,31.52,29.79,30.0,25754900
2026-03-20,20.53,23.1,20.35,22.52,242958500
2026-03-23,21.58,22.14,19.48,20.31,114269700
2026-03-24,22.23,22.56,20.99,21.3,69821400
2026-03-25,24.05,24.19,22.57,22.63,67917100
2026-03-26,22.21,23.74,21.86,23.32,53777300
2026-03-27,21.97,22.36,21.38,22.21,33020400
2026-03-30,21.06,22.25,20.71,22.18,34074900
2026-03-31,22.77,22.8,21.34,21.39,37631100
2026-04-01,22.51,23.37,22.35,22.87,33420900
2026-04-02,23.22,23.34,21.87,21.98,30446100
2026-04-06,22.05,23.46,22.03,23.07,23564800
2026-04-07,22.67,22.69,21.79,22.0,25328300
2026-04-08,23.37,24.18,22.86,23.99,31894200
2026-04-09,23.22,23.95,23.09,23.39,28654000
2026-04-10,25.26,25.55,23.64,23.64,43565800
2026-04-13,25.97,25.99,24.45,25.06,30023600
2026-04-14,27.2,27.8,26.5,27.0,40885400
2026-04-15,27.29,27.93,26.95,27.73,27816900
2026-04-16,28.4,28.72,26.67,27.58,28966100
2026-04-17,28.56,29.13,28.18,29.06,21872300
2026-04-20,28.81,28.88,27.71,28.07,22593900
2026-04-21,28.43,29.94,28.35,29.09,29805200
2026-04-22,29.18,29.44,28.78,28.88,24811800
2026-04-23,26.75,27.6,26.06,26.5,46874200
2026-04-24,29.08,29.49,27.28,27.53,38559400
2026-04-27,27.85,29.49,27.46,28.83,28746100
2026-04-28,27.25,27.64,26.51,27.0,23282200
2026-04-29,26.32,27.09,25.46,27.03,26097100
2026-04-30,27.4,27.52,26.35,26.91,21028100
2026-05-01,27.09,28.3,26.88,27.64,25043900
2026-05-04,27.92,28.5,27.34,27.49,29340500
2026-05-05,27.83,28.29,27.42,28.25,55291300
2026-05-06,34.66,34.71,31.12,31.44,127295700
2026-05-07,33.62,35.58,32.92,34.01,61495300
2026-05-08,35.37,35.64,32.3,33.33,50364900
2026-05-11,33.52,36.37,33.44,35.07,38990038
