Date,Close,High,Low,Open,Volume
2025-05-12,180.54,182.7,177.67,181.16,4276500
2025-05-13,181.02,184.29,179.97,180.7,4143900
2025-05-14,181.45,183.5,180.15,181.74,4642300
2025-05-15,182.97,183.32,178.67,180.0,3122800
2025-05-16,183.08,184.25,181.67,182.6,3440000
2025-05-19,182.05,183.1,179.94,181.91,3828000
2025-05-20,182.88,183.6,181.5,183.5,4228500
2025-05-21,179.12,184.09,178.91,180.91,11101400
2025-05-22,203.18,204.0,191.99,192.0,26194100
2025-05-23,200.05,205.4,197.7,198.51,11909700
2025-05-27,206.35,208.31,202.05,202.6,9639000
2025-05-28,204.4,209.8,203.87,207.0,4370900
2025-05-29,202.31,206.71,201.08,206.29,3800900
2025-05-30,205.67,206.0,199.75,202.19,7077500
2025-06-02,210.17,210.44,204.41,205.67,4476900
2025-06-03,209.15,210.82,207.2,210.5,4063000
2025-06-04,209.6,214.83,205.29,213.43,6648500
2025-06-05,210.1,214.37,208.89,211.23,5230300
2025-06-06,210.84,213.0,209.4,211.45,3798900
2025-06-09,210.85,212.09,208.5,211.31,3548200
2025-06-10,208.24,212.4,206.22,210.07,3598100
2025-06-11,208.61,210.2,205.23,207.99,5140200
2025-06-12,211.28,213.1,206.14,206.14,5138800
2025-06-13,208.18,212.3,207.44,208.0,3636500
2025-06-16,209.12,211.0,207.05,210.31,2579600
2025-06-17,209.45,210.3,206.26,208.0,2217900
2025-06-18,212.08,212.7,209.47,210.36,4218200
2025-06-20,211.99,215.99,210.85,213.35,4246300
2025-06-23,213.71,214.88,207.36,209.62,3146800
2025-06-24,223.14,224.61,219.25,219.49,7206500
2025-06-25,221.52,225.68,219.99,223.19,3550200
2025-06-26,221.92,222.79,215.53,222.05,5086100
2025-06-27,222.61,224.43,219.82,222.43,4924400
2025-06-30,223.77,225.51,222.61,224.4,3492400
2025-07-01,215.97,223.16,214.42,218.9,5398100
2025-07-02,217.34,218.29,214.52,215.61,2363700
2025-07-03,221.49,222.6,217.74,217.74,2761800
2025-07-07,225.79,225.86,220.18,221.43,4090000
2025-07-08,223.5,226.6,220.84,225.6,3412500
2025-07-09,221.9,224.75,220.93,224.6,2658400
2025-07-10,214.42,222.3,213.22,221.83,4794700
2025-07-11,210.84,215.49,209.46,213.48,3868600
2025-07-14,213.52,214.94,208.6,209.87,2863800
2025-07-15,212.79,215.1,212.25,213.75,3249100
2025-07-16,211.94,214.0,209.25,212.98,2789100
2025-07-17,211.58,214.03,210.31,211.75,2681800
2025-07-18,216.89,217.54,212.2,212.69,3384200
2025-07-21,215.65,218.72,214.26,217.0,2922500
2025-07-22,212.25,216.6,211.4,214.9,2537000
2025-07-23,212.56,213.61,210.4,211.77,1692500
2025-07-24,215.02,217.0,212.11,214.51,2226100
2025-07-25,219.51,220.92,215.14,215.43,3259100
2025-07-28,218.67,222.3,216.92,219.93,3441500
2025-07-29,218.76,220.6,217.01,220.36,2487900
2025-07-30,220.28,222.19,217.71,218.75,3175300
2025-07-31,223.5,229.27,220.94,225.13,6227700
2025-08-01,205.02,216.8,202.87,216.8,8578000
2025-08-04,208.48,210.41,205.65,207.7,3422700
2025-08-05,205.77,209.89,204.66,208.25,4003900
2025-08-06,210.54,211.0,205.8,205.97,3236600
2025-08-07,206.4,215.39,200.8,215.0,4619400
2025-08-08,191.73,206.4,191.33,205.79,8616100
2025-08-11,191.8,196.73,191.12,192.16,5214000
2025-08-12,193.06,194.0,188.0,191.75,3942400
2025-08-13,196.87,198.24,193.0,194.12,4429400
2025-08-14,194.9,197.5,193.71,195.94,2791000
2025-08-15,199.08,200.34,194.8,195.25,3344900
2025-08-18,198.24,198.64,196.11,197.47,2378900
2025-08-19,192.63,199.95,191.32,199.39,3582700
2025-08-20,194.8,197.77,189.99,197.61,4945600
2025-08-21,194.68,195.29,191.24,192.81,2848400
2025-08-22,196.81,199.91,193.87,195.16,3107900
2025-08-25,194.68,200.47,194.67,199.0,3770600
2025-08-26,194.35,196.5,193.42,195.2,4665900
2025-08-27,200.39,202.54,196.66,201.75,17841900
2025-08-28,241.0,249.99,218.09,222.0,42167400
2025-08-29,238.66,241.5,233.29,236.93,11742100
2025-09-02,233.6,235.26,228.4,234.0,7218000
2025-09-03,229.33,236.5,227.84,234.85,6749000
2025-09-04,221.9,224.05,215.05,222.7,13280000
2025-09-05,225.58,226.5,221.19,223.92,5889400
2025-09-08,226.52,230.95,225.99,226.84,4519500
2025-09-09,225.56,225.83,222.1,223.0,3949400
2025-09-10,225.85,232.21,224.02,229.9,5142100
2025-09-11,224.53,228.66,223.41,226.11,4152500
2025-09-12,221.15,224.82,220.81,224.5,2634700
2025-09-15,225.79,228.54,222.01,222.01,3722300
2025-09-16,215.95,222.35,215.95,221.24,7212200
2025-09-17,217.96,219.01,214.3,217.2,4366300
2025-09-18,222.11,222.25,218.51,219.99,3752600
2025-09-19,230.48,231.94,222.57,223.31,7774900
2025-09-22,229.54,230.13,225.33,228.91,3217100
2025-09-23,223.54,231.49,222.88,230.16,4939300
2025-09-24,222.57,228.06,221.12,226.8,3259400
2025-09-25,221.6,225.41,217.27,219.5,3006200
2025-09-26,224.64,225.97,220.29,222.31,3014800
2025-09-29,225.25,230.33,224.07,226.94,4429100
2025-09-30,225.55,227.5,221.52,225.84,3420000
2025-10-01,230.55,231.86,222.64,223.88,4678300
2025-10-02,240.54,241.12,234.01,235.0,6623100
2025-10-03,235.09,242.5,233.24,242.5,4073700
2025-10-06,242.52,245.76,239.5,240.36,5131200
2025-10-07,234.81,244.15,231.07,243.28,4898700
2025-10-08,250.21,251.81,237.05,239.04,7518200
2025-10-09,250.67,253.6,245.27,249.96,6562600
2025-10-10,242.17,255.39,241.12,253.0,5062700
2025-10-13,247.27,248.43,243.27,246.19,2938100
2025-10-14,240.83,244.36,238.0,244.04,4084300
2025-10-15,240.86,244.33,240.11,243.89,3030200
2025-10-16,240.06,251.74,237.01,246.0,8485800
2025-10-17,240.74,241.11,236.0,236.79,2379400
2025-10-20,245.67,246.65,241.02,243.77,2854800
2025-10-21,247.52,249.1,242.55,246.0,2407600
2025-10-22,241.67,249.28,238.26,245.97,3206100
2025-10-23,252.99,253.09,243.35,243.6,3685500
2025-10-24,257.94,259.75,252.7,256.77,5169300
2025-10-27,265.97,267.8,261.86,263.15,4778800
2025-10-28,267.05,270.94,264.5,266.11,4129000
2025-10-29,269.7,272.39,264.2,268.3,4105300
2025-10-30,271.18,273.29,261.32,263.59,4350700
2025-10-31,274.88,275.48,265.69,274.94,6207600
2025-11-03,277.14,280.67,273.61,277.73,4256200
2025-11-04,265.42,276.96,262.61,270.4,5249000
2025-11-05,264.79,268.38,262.77,264.43,3069300
2025-11-06,264.72,274.35,261.01,268.25,4100400
