Date,Close,High,Low,Open,Volume
2025-05-12,4780.93,4807.0,4708.15,4769.75,0
2025-05-13,4931.35,4952.9,4798.04,4799.56,0
2025-05-14,4960.73,4996.1,4918.87,4968.95,0
2025-05-15,4932.45,4968.7,4873.54,4909.69,0
2025-05-16,4922.19,4927.82,4868.75,4927.68,0
2025-05-19,4897.71,4907.47,4810.46,4812.78,0
2025-05-20,4890.78,4892.65,4841.83,4854.8,0
2025-05-21,4802.71,4949.27,4775.15,4857.07,0
2025-05-22,4775.47,4846.82,4772.54,4798.68,0
2025-05-23,4702.38,4728.38,4647.32,4659.72,0
2025-05-27,4861.09,4878.77,4767.78,4795.04,0
2025-05-28,4834.42,4889.17,4825.69,4868.56,0
2025-05-29,4860.48,4956.24,4832.35,4956.24,0
2025-05-30,4758.06,4828.25,4673.41,4828.25,0
2025-06-02,4832.79,4848.29,4759.02,4762.65,0
2025-06-03,4964.41,4970.4,4815.28,4836.26,0
2025-06-04,5033.35,5049.56,4959.55,5004.33,0
2025-06-05,5010.92,5112.16,4980.19,5079.4,0
2025-06-06,5038.06,5101.55,5034.78,5066.18,0
2025-06-09,5136.66,5185.9,5083.28,5083.75,0
2025-06-10,5242.5,5253.01,5149.83,5169.2,0
2025-06-11,5232.53,5302.64,5186.85,5270.02,0
2025-06-12,5249.15,5269.5,5200.91,5201.21,0
2025-06-13,5112.24,5193.86,5101.03,5140.9,0
2025-06-16,5267.3,5293.17,5178.35,5178.41,0
2025-06-17,5223.65,5311.76,5222.38,5243.39,0
2025-06-18,5251.02,5305.24,5219.63,5248.27,0
2025-06-20,5211.48,5304.58,5143.65,5296.14,0
2025-06-23,5244.3,5267.42,5140.38,5209.27,0
2025-06-24,5441.87,5444.39,5335.27,5335.27,0
2025-06-25,5493.3,5494.78,5443.4,5461.15,0
2025-06-26,5541.46,5553.29,5495.22,5530.46,0
2025-06-27,5544.99,5588.52,5488.68,5549.46,0
2025-06-30,5546.54,5571.39,5520.28,5564.17,0
2025-07-01,5507.5,5543.93,5429.16,5512.11,0
2025-07-02,5611.05,5627.64,5490.56,5503.26,0
2025-07-03,5647.12,5668.14,5630.24,5633.09,0
2025-07-07,5541.2,5613.92,5519.48,5596.47,0
2025-07-08,5641.22,5676.68,5572.88,5591.44,0
2025-07-09,5665.99,5722.38,5618.97,5665.87,0
2025-07-10,5708.28,5724.05,5657.89,5712.3,0
