Date,Close,High,Low,Open,Volume
2025/5/12,318.38,322.21,311.5,321.99,112826700
2025/5/13,334.07,337.59,316.8,320,136992600
2025/5/14,347.68,350,337,342.5,136997300
2025/5/15,342.82,346.14,334.72,340.34,97882600
2025/5/16,349.98,351.62,342.33,346.24,95895700
2025/5/19,342.09,343,333.37,336.3,88869900
2025/5/20,343.82,354.99,341.63,347.87,131715500
2025/5/21,334.62,347.35,332.2,344.43,102354800
2025/5/22,341.04,347.27,331.39,331.9,97113400
2025/5/23,339.34,343.18,333.21,337.92,84654800
2025/5/27,362.89,363.79,347.32,347.35,120146400
2025/5/28,356.9,365,355.91,364.84,91404300
2025/5/29,358.43,367.71,356,365.29,88087800
2025/5/30,346.46,363.68,345.29,355.52,123474900
2025/6/2,342.69,348.02,333.33,343.5,81873800
2025/6/3,344.27,355.4,343.04,346.6,99324500
2025/6/4,332.05,345.6,327.33,345.1,98912100
2025/6/5,284.7,324.55,273.21,322.49,287499800
2025/6/6,295.14,305.5,291.14,298.83,164747700
2025/6/9,308.58,309.83,281.85,285.96,140908900
2025/6/10,326.09,327.83,310.67,314.94,151256500
2025/6/11,326.43,335.5,322.5,334.4,122611400
2025/6/12,319.11,332.56,316.86,323.08,105127500
2025/6/13,325.31,332.99,313.3,313.97,128964300
2025/6/16,329.13,332.05,326.41,331.29,83925900
2025/6/17,316.35,327.26,314.74,326.09,88282700
2025/6/18,322.05,329.32,315.45,317.31,95137700
2025/6/20,322.16,332.36,317.78,327.95,108688000
2025/6/23,348.68,357.54,327.48,327.54,190716800
2025/6/24,340.47,356.26,340.44,356.17,114736200
2025/6/25,327.55,343,320.4,342.7,119845100
2025/6/26,325.78,331.05,323.61,324.61,80440900
2025/6/27,323.63,329.34,317.5,324.51,89067000
2025/6/30,317.66,325.58,316.6,319.9,76695100
2025/7/1,300.71,305.89,293.21,298.46,145085700
2025/7/2,315.65,316.83,303.82,312.63,119483700
2025/7/3,315.35,318.45,312.76,317.99,58042300
2025/7/7,293.94,296.15,288.77,291.37,131177900
2025/7/8,297.81,304.05,294.35,297,103246700
2025/7/9,295.88,300.15,293.55,297.55,75586800
2025/7/10,309.87,310.48,300,300.05,104365300
2025/7/11,313.51,314.09,305.65,307.89,79236400
2025/7/14,316.9,322.6,312.67,317.73,78043400
2025/7/15,310.78,321.2,310.5,319.68,77556300
2025/7/16,321.67,323.5,312.62,312.8,97284800
2025/7/17,319.41,324.34,317.06,323.15,73922900
2025/7/18,329.65,330.9,321.42,321.66,94255000
2025/7/21,328.49,338,326.88,334.4,75768800
2025/7/22,332.11,335.41,321.55,329.74,77370400
2025/7/23,332.56,336.2,328.67,330.9,92553800
2025/7/24,305.3,310.15,300.41,310,156966000
2025/7/25,316.06,323.63,308.01,308.74,148227000
2025/7/28,325.59,330.49,315.69,318.45,112673800
2025/7/29,321.2,326.25,318.25,325.55,87358900
2025/7/30,319.04,324.45,311.62,322.18,83931900
2025/7/31,308.27,321.37,306.1,319.61,85270900
2025/8/1,302.63,309.31,297.82,306.21,89121400
2025/8/4,309.26,312.12,303,309.08,78683900
2025/8/5,308.72,312.45,305.5,308.95,57961300
2025/8/6,319.91,320.47,306.93,307.89,78523600
2025/8/7,322.27,322.4,316.16,319.79,66658700
2025/8/8,329.65,335.15,320.98,321.43,91200300
2025/8/11,339.03,346.64,334.15,335,105320200
2025/8/12,340.84,345.26,332.94,345,80522100
2025/8/13,339.38,348.98,338.2,341.5,67838900
2025/8/14,335.58,340.47,330.4,335.76,75000700
2025/8/15,330.56,339.3,327.02,337.66,74319800
2025/8/18,335.16,336.27,329.59,329.62,56956600
2025/8/19,329.31,340.55,327.85,335.79,75956000
2025/8/20,323.9,331.37,314.6,329.22,77481800
2025/8/21,320.11,324.9,318.68,322.08,55744400
2025/8/22,340.01,340.25,319.69,321.66,94016300
2025/8/25,346.6,349.53,335.03,338.9,86670000
2025/8/26,351.67,351.9,343.72,344.93,76651600
2025/8/27,349.6,355.39,349.16,351.94,65519000
2025/8/28,345.98,353.55,340.26,350.91,67903200
2025/8/29,333.87,348.75,331.7,347.23,81145700
2025/9/2,329.36,333.33,325.6,328.23,58392000
2025/9/3,334.09,343.33,328.51,335.2,88733300
2025/9/4,338.53,338.89,331.48,336.15,60711000
2025/9/5,350.84,355.87,344.68,348,108989800
2025/9/8,346.4,358.44,344.84,354.64,75208300
2025/9/9,346.97,350.77,343.82,348.44,53816000
2025/9/10,347.79,356.33,346.07,350.55,72121700
2025/9/11,368.81,368.99,347.6,350.17,103756000
2025/9/12,395.94,396.69,370.24,370.94,168156400
2025/9/15,410.04,425.7,402.43,423.13,163823700
2025/9/16,421.62,423.25,411.43,414.5,104285700
2025/9/17,425.86,428.31,409.67,415.75,106133500
2025/9/18,416.85,432.22,416.56,428.87,90454500
