Date,Close,High,Low,Open,Volume
2025-05-12,184.69,186.86,182.35,184.99,22064900
2025-05-13,191.62,191.9,185.42,185.42,19996000
2025-05-14,192.38,193.82,190.87,192.89,12359000
2025-05-15,191.84,192.11,189.29,190.74,10241800
2025-05-16,191.84,192.69,190.21,192.15,9146700
2025-05-19,191.13,191.13,186.5,186.69,10144400
2025-05-20,191.08,191.36,188.48,189.45,7054100
2025-05-21,189.41,192.88,188.2,190.74,7375700
2025-05-22,193.79,194.42,189.0,189.0,11825000
2025-05-23,189.63,190.44,187.71,189.67,9403100
2025-05-27,195.26,195.88,191.33,191.73,12228200
2025-05-28,193.74,195.65,193.09,193.69,17787600
2025-05-29,194.74,197.36,193.68,197.02,14609900
2025-05-30,190.95,193.51,188.23,193.37,11998300
2025-06-02,192.46,192.77,189.85,190.68,7447400
2025-06-03,195.19,195.75,191.27,191.97,9548300
2025-06-04,199.92,201.53,197.93,198.92,13531100
2025-06-05,200.85,203.24,199.81,202.37,12214300
2025-06-06,202.67,203.77,200.74,201.09,8532000
2025-06-09,204.47,206.71,203.35,203.87,11472300
2025-06-10,209.86,210.62,207.39,209.02,14514000
2025-06-11,211.48,214.77,210.34,212.37,13326400
2025-06-12,213.57,214.02,210.08,211.08,9796100
2025-06-13,209.28,211.42,207.59,208.3,10152500
2025-06-16,213.82,215.72,210.9,211.16,10932900
2025-06-17,212.06,214.08,211.66,212.05,8389700
2025-06-18,211.66,213.31,211.05,212.85,6932000
2025-06-20,207.7,213.64,206.36,213.34,16992000
2025-06-23,208.51,208.77,204.42,204.85,7535500
2025-06-24,218.19,218.47,212.04,212.54,14814700
2025-06-25,220.82,221.57,218.9,218.9,9168400
2025-06-26,222.08,223.28,220.78,223.04,7982200
2025-06-27,226.6,226.91,222.1,222.37,13133000
2025-06-30,224.54,226.18,222.86,225.48,9279800
2025-07-01,222.74,226.63,219.27,225.47,9990200
2025-07-02,231.59,231.8,222.07,222.54,12012500
2025-07-03,232.78,235.53,231.26,231.85,7779600
2025-07-07,227.19,230.54,225.48,229.63,13817500
2025-07-08,225.9,228.34,225.58,227.8,8854400
2025-07-09,229.84,231.26,228.25,228.46,9475300
2025-07-10,227.78,231.04,225.81,230.77,13124700
2025-07-11,228.41,230.27,227.42,229.01,8817800
2025-07-14,226.7,227.87,224.36,227.35,10673500
2025-07-15,234.91,235.66,231.83,232.44,14270100
2025-07-16,235.51,236.26,232.13,234.36,15092800
2025-07-17,243.48,246.14,239.31,243.67,27395700
2025-07-18,238.33,243.85,236.63,243.19,16252000
2025-07-21,236.79,240.25,236.65,238.05,11971800
2025-07-22,232.58,235.95,229.76,235.78,11919500
2025-07-23,238.26,238.43,234.34,236.46,9885400
2025-07-24,239.52,239.86,235.98,238.14,9081900
2025-07-25,243.48,244.12,238.86,239.24,11593400
2025-07-28,240.66,241.85,238.97,240.9,11892200
2025-07-29,239.25,241.87,237.75,239.42,9411500
2025-07-30,240.82,242.46,239.14,240.03,6823800
2025-07-31,239.54,245.28,237.73,243.86,13490700
2025-08-01,233.18,235.14,229.84,233.59,13549800
2025-08-04,236.94,236.94,234.35,235.86,6450700
2025-08-05,230.47,236.57,228.19,236.28,11868900
2025-08-06,229.38,230.2,226.85,229.04,9457200
2025-08-07,240.53,245.7,238.72,242.36,17691000
2025-08-08,239.74,241.06,236.91,241.06,10552500
2025-08-11,240.0,243.23,239.46,239.95,8272900
2025-08-12,242.18,242.66,239.62,241.62,7295800
2025-08-13,239.36,244.31,237.87,244.31,7971900
2025-08-14,238.92,239.3,234.78,235.92,11040500
