Date,Close,High,Low,Open,Volume
2025-05-12,182.17,184.19,180.06,180.58,16210400
2025-05-13,183.07,184.34,181.26,181.26,9837500
2025-05-14,182.23,182.61,180.0,182.36,6552300
2025-05-15,182.71,184.58,180.45,181.09,5534000
2025-05-16,183.36,184.14,181.71,184.14,4518700
2025-05-19,183.2,183.34,179.22,179.95,6460900
2025-05-20,183.56,183.84,181.82,183.2,5289200
2025-05-21,180.36,184.72,179.69,181.41,8977400
2025-05-22,175.29,181.81,175.07,180.87,7500800
2025-05-23,171.49,172.45,169.01,172.18,7416700
2025-05-27,178.24,178.33,172.99,174.21,7939400
2025-05-28,179.13,180.85,178.09,178.35,5752800
2025-05-29,179.94,181.39,177.94,181.16,4533800
2025-05-30,177.86,180.09,174.86,179.93,15101100
2025-06-02,179.18,179.67,176.66,176.89,5648300
2025-06-03,182.95,183.36,177.64,178.24,5612600
2025-06-04,185.52,186.86,183.34,183.76,5780600
2025-06-05,185.29,188.99,184.15,187.65,6017700
2025-06-06,187.17,189.52,187.01,188.41,5338800
2025-06-09,193.77,194.96,188.19,188.45,6869700
2025-06-10,196.77,197.63,194.04,194.52,6247700
2025-06-11,194.24,197.8,192.74,197.76,5062100
2025-06-12,194.21,194.85,192.7,192.84,3257600
2025-06-13,189.68,193.61,189.16,190.74,5138200
2025-06-16,193.78,194.41,191.24,191.9,5864500
2025-06-17,192.3,195.15,191.51,192.6,4656300
2025-06-18,192.94,195.1,191.91,193.18,3742000
2025-06-20,192.79,195.45,191.22,194.94,12910000
2025-06-23,195.9,196.32,192.95,193.57,4565400
2025-06-24,200.19,200.57,197.46,197.69,7597800
2025-06-25,199.78,200.79,197.76,200.41,4748300
2025-06-26,200.68,201.66,200.16,200.68,4579200
2025-06-27,201.43,202.02,199.69,199.89,8585100
2025-06-30,201.96,202.69,200.81,201.44,5319900
2025-07-01,204.71,205.9,200.86,201.35,5856200
2025-07-02,209.71,210.28,203.76,204.7,5533400
2025-07-03,210.13,211.02,208.86,209.38,2561100
2025-07-07,207.59,209.75,206.41,209.15,5221400
2025-07-08,210.72,213.38,208.18,209.13,6844600
2025-07-09,210.49,212.93,209.33,211.02,5231400
2025-07-10,213.67,214.76,211.62,213.3,3971400
2025-07-11,215.21,215.64,212.27,213.75,5396300
2025-07-14,214.05,214.25,211.37,213.42,4723600
2025-07-15,212.4,215.36,212.02,214.75,4419700
2025-07-16,210.73,212.65,205.93,212.44,6420900
2025-07-17,210.68,211.08,209.61,210.24,4920100
2025-07-18,210.71,212.68,210.02,212.53,4550100
2025-07-21,208.72,213.02,208.37,211.51,8269800
2025-07-22,209.06,210.11,206.37,208.2,11730800
2025-07-23,181.17,189.68,180.23,189.58,30755700
2025-07-24,180.62,182.76,179.98,181.33,9049500
2025-07-25,179.94,180.81,178.2,180.63,7031800
2025-07-28,184.09,185.34,182.63,182.75,8586800
2025-07-29,186.16,187.63,183.75,184.53,7144700
2025-07-30,184.35,187.33,183.16,186.91,6985100
2025-07-31,177.39,183.12,176.17,182.37,10144000
2025-08-01,177.2,177.91,174.32,175.99,6625100
2025-08-04,179.03,179.73,176.97,178.04,4682700
2025-08-05,181.65,182.71,179.87,181.2,5761900
2025-08-06,182.14,183.11,180.27,180.95,7089000
