Date,Close,High,Low,Open,Volume
2025-05-12,18.39,20.44,18.14,19.84,0
2025-05-13,18.22,18.85,17.65,18.69,0
2025-05-14,18.62,18.82,18.06,18.1,0
2025-05-15,17.83,19.38,17.77,19.19,0
2025-05-16,17.24,17.96,17.15,17.96,0
2025-05-19,18.14,19.92,17.92,19.84,0
2025-05-20,18.09,18.68,17.7,18.46,0
2025-05-21,20.87,21.05,17.77,18.77,0
2025-05-22,20.28,22.07,19.64,20.62,0
2025-05-23,22.29,25.53,19.83,20.14,0
2025-05-27,18.96,21.01,18.95,20.63,0
2025-05-28,19.31,19.43,18.68,19.21,0
2025-05-29,19.18,20.2,18.11,18.25,0
2025-05-30,18.57,20.55,18.57,19.61,0
2025-06-02,18.36,20.45,18.36,19.81,0
2025-06-03,17.69,19.21,17.64,18.83,0
2025-06-04,17.61,18.07,17.41,17.68,0
2025-06-05,18.48,18.8,17.08,17.68,0
2025-06-06,16.77,18.35,16.65,18.16,0
2025-06-09,17.16,17.72,16.82,17.69,0
2025-06-10,16.95,17.99,16.68,17.5,0
2025-06-11,17.26,18.09,16.23,17.04,0
2025-06-12,18.02,18.87,17.43,17.87,0
2025-06-13,20.82,22.0,18.88,21.76,0
2025-06-16,19.11,20.22,18.67,19.78,0
2025-06-17,21.6,21.79,19.55,20.53,0
2025-06-18,20.14,21.58,19.59,20.9,0
2025-06-20,20.62,21.07,19.11,20.74,0
2025-06-23,19.83,22.51,19.82,21.15,0
2025-06-24,17.48,18.72,17.33,18.19,0
2025-06-25,16.76,17.51,16.68,17.28,0
2025-06-26,16.59,16.78,16.11,16.67,0
2025-06-27,16.32,17.29,16.12,16.31,0
2025-06-30,16.73,17.43,16.55,17.19,0
2025-07-01,16.83,17.48,16.51,16.98,0
2025-07-02,16.64,17.37,16.54,16.75,0
2025-07-03,16.38,16.83,16.14,16.65,0
2025-07-07,17.79,18.5,17.51,17.83,0
2025-07-08,16.81,17.44,16.54,17.41,0
2025-07-09,15.94,16.76,15.76,16.76,0
2025-07-10,15.78,16.24,15.7,16.23,0
2025-07-11,16.4,17.24,15.98,16.41,0
2025-07-14,17.2,17.85,16.91,17.73,0
2025-07-15,17.38,17.39,16.56,16.89,0
2025-07-16,17.16,19.48,16.69,17.66,0
2025-07-17,16.52,17.37,16.48,17.16,0
2025-07-18,16.41,16.81,16.28,16.43,0
2025-07-21,16.65,16.99,16.3,16.87,0
2025-07-22,16.5,17.48,16.43,16.75,0
2025-07-23,15.37,16.32,15.32,16.23,0
2025-07-24,15.39,15.54,14.95,15.39,0
2025-07-25,14.93,15.39,14.92,15.33,0
2025-07-28,15.03,15.54,15.0,15.15,0
2025-07-29,15.98,16.12,14.7,14.95,0
2025-07-30,15.48,17.27,15.44,15.87,0
2025-07-31,16.72,17.17,14.74,14.99,0
2025-08-01,20.38,21.9,17.39,17.4,0
2025-08-04,17.52,19.58,17.48,19.56,0
2025-08-05,17.85,18.94,17.11,17.21,0
2025-08-06,16.77,17.88,16.56,17.22,0
2025-08-07,16.57,17.64,15.98,16.41,0
2025-08-08,15.15,16.52,15.15,16.48,0
2025-08-11,16.25,16.36,15.52,15.81,0
2025-08-12,14.73,16.56,14.66,16.09,0
2025-08-13,14.49,14.81,14.3,14.62,0
2025-08-14,14.83,15.39,14.57,14.66,0
2025-08-15,15.09,15.18,14.4,14.43,0
2025-08-18,14.99,15.95,14.95,15.73,0
2025-08-19,15.57,15.91,14.76,15.23,0
2025-08-20,15.69,17.19,15.57,15.95,0
2025-08-21,16.6,17.24,15.65,15.72,0
2025-08-22,14.22,16.83,14.21,16.81,0
2025-08-25,14.79,15.19,14.24,15.05,0
2025-08-26,14.62,15.75,14.62,15.75,0
2025-08-27,14.85,15.23,14.66,14.66,0
2025-08-28,14.43,14.69,14.12,14.42,0
2025-08-29,15.36,15.97,14.31,14.31,0
2025-09-02,17.17,19.38,16.55,16.65,0
2025-09-03,16.35,17.57,16.34,17.4,0
2025-09-04,15.3,16.35,15.28,16.22,0
2025-09-05,15.18,16.92,14.74,15.23,0
2025-09-08,15.11,15.65,14.99,15.58,0
2025-09-09,15.04,15.82,14.97,15.02,0
2025-09-10,15.35,15.63,14.63,14.98,0
2025-09-11,14.71,15.24,14.65,15.19,0
2025-09-12,14.76,14.97,14.41,14.62,0
2025-09-15,15.69,15.84,14.92,15.14,0
2025-09-16,16.36,16.38,15.44,15.6,0
2025-09-17,15.72,16.75,15.26,16.42,0
2025-09-18,15.7,15.8,14.33,14.93,0
2025-09-19,15.45,16.13,15.29,15.76,0
