Date,Close,High,Low,Open,Volume
2025-05-12,21.12,21.35,20.88,21.15,11396300
2025-05-13,20.77,20.82,20.14,20.36,8608800
2025-05-14,20.91,21.1,20.62,20.94,4702300
2025-05-15,20.62,20.67,20.26,20.41,4764700
2025-05-16,20.67,20.68,20.15,20.23,5680700
2025-05-19,19.98,20.03,19.52,19.88,7710300
2025-05-20,19.69,20.09,19.68,20.01,6628100
2025-05-21,22.25,22.85,21.0,21.13,28740100
2025-05-22,20.5,21.29,20.5,21.29,13081800
2025-05-23,20.0,20.21,19.82,19.93,8982800
2025-05-27,19.33,19.57,19.12,19.3,8687500
2025-05-28,19.33,19.77,19.33,19.6,5749400
2025-05-29,20.1,20.38,19.95,20.32,6368100
2025-05-30,19.31,19.62,19.07,19.6,6442000
2025-06-02,19.26,19.35,19.06,19.26,3889900
2025-06-03,19.63,19.67,19.4,19.67,3885600
2025-06-04,20.37,20.54,19.89,20.06,6331600
2025-06-05,19.98,20.43,19.78,20.31,6173700
2025-06-06,19.5,19.89,19.3,19.75,5476500
2025-06-09,20.16,20.16,19.7,19.85,5220000
2025-06-10,20.48,20.48,20.05,20.37,4392500
2025-06-11,20.43,21.05,20.39,20.8,6822600
2025-06-12,19.23,19.99,19.21,19.85,9400800
2025-06-13,18.18,18.6,18.15,18.5,10367500
2025-06-16,18.65,19.04,18.64,18.75,4871600
2025-06-17,18.57,19.09,18.56,19.06,5319300
2025-06-18,18.61,18.75,18.43,18.55,4219000
2025-06-20,18.31,18.59,18.17,18.51,6124300
2025-06-23,19.17,19.18,18.72,18.75,5568300
2025-06-24,19.85,19.95,19.28,19.5,6982900
2025-06-25,19.2,19.63,19.09,19.62,4407000
2025-06-26,17.95,19.0,17.9,18.95,16993300
2025-06-27,18.13,18.22,17.88,18.22,7528100
2025-06-30,17.88,17.98,17.71,17.91,6097700
2025-07-01,18.26,18.57,17.92,18.03,8221100
2025-07-02,18.37,18.52,18.17,18.41,4041500
2025-07-03,18.85,19.11,18.5,18.97,6877400
2025-07-07,17.91,18.18,17.85,18.06,7289200
2025-07-08,17.93,18.1,17.8,18.09,4849600
2025-07-09,17.65,17.73,17.46,17.7,5134400
2025-07-10,17.43,17.48,17.26,17.43,5402500
2025-07-11,17.4,17.75,17.34,17.4,6053400
2025-07-14,17.64,17.73,17.42,17.5,4537500
2025-07-15,17.92,18.18,17.67,18.0,7175300
2025-07-16,17.93,17.97,17.44,17.82,4902000
2025-07-17,18.22,18.51,18.0,18.0,7576300
2025-07-18,18.31,18.67,18.26,18.4,5370400
2025-07-21,18.24,18.51,18.15,18.35,3849900
2025-07-22,18.87,19.1,18.31,18.45,9514600
2025-07-23,18.83,19.42,18.7,19.02,6241100
2025-07-24,19.13,19.33,18.9,19.22,5780300
2025-07-25,18.97,19.04,18.63,18.86,4382900
2025-07-28,18.94,19.18,18.86,19.06,3224700
